,ENSPFOT00000024980,ENSAOCT00000000872,ENSLCAT00010059946,ENSHCOT00000027317,ENSLCAT00010015160,ENSLCAT00010015163,ENSONIT00000017347,ENSFHET00000029186,ENSAOCT00000000905,ENSSDUT00000023072,ENSACLT00000036938,ENSHBUT00000012573,ENSSDUT00000023082
ENSPFOT00000024980,1.0,0.29394197952218426,0.3458384583845838,0.3060043404870991,0.4095336787564767,0.4095336787564767,0.2849740932642487,0.5759794946905895,0.29394197952218426,0.31777673545966234,0.2737823834196891,0.2756476683937824,0.3437565582371458
ENSAOCT00000000872,0.29394197952218426,1.0,0.4291187739463602,0.345182642804609,0.438673591689972,0.44359438030324105,0.44548444219580063,0.354207143924675,1.0,0.4800208251984901,0.44308120414874774,0.43966607639767263,0.4913435747378688
ENSLCAT00010059946,0.3458384583845838,0.4291187739463602,1.0,0.4130850047755492,0.5683490383374209,0.5618326800919043,0.4600706713780919,0.4047552447552447,0.43103448275862066,0.6166726900373449,0.45448171087998124,0.45214444314596236,0.6189936536718041
ENSHCOT00000027317,0.3060043404870991,0.345182642804609,0.4130850047755492,1.0,0.42422044960116034,0.42422044960116034,0.3210055595842398,0.32124728063814356,0.345182642804609,0.4347466960352423,0.3193135122069133,0.3178631858834904,0.44452501812907896
ENSLCAT00010015160,0.4095336787564767,0.438673591689972,0.5683490383374209,0.42422044960116034,1.0,1.0,0.49002188747264064,0.4653323802716226,0.44359438030324105,0.5946277611126262,0.4853868932663834,0.48306939616325484,0.5992614287533427
ENSLCAT00010015163,0.4095336787564767,0.44359438030324105,0.5618326800919043,0.42422044960116034,1.0,1.0,0.49080506742950547,0.46166419019316496,0.44359438030324105,0.5872488072863958,0.48889797030377335,0.48644598828497476,0.5926573426573427
ENSONIT00000017347,0.2849740932642487,0.44548444219580063,0.4600706713780919,0.3210055595842398,0.49002188747264064,0.49080506742950547,1.0,0.37207017543859644,0.4508999470619375,0.500682297481702,0.9406809406809407,0.939042939042939,0.5074592074592075
ENSFHET00000029186,0.5759794946905895,0.354207143924675,0.4047552447552447,0.32124728063814356,0.4653323802716226,0.46166419019316496,0.37207017543859644,1.0,0.35075315093759607,0.4206597999701448,0.3672873818788216,0.3653418565869928,0.42906622333056244
ENSAOCT00000000905,0.29394197952218426,1.0,0.43103448275862066,0.345182642804609,0.44359438030324105,0.44359438030324105,0.4508999470619375,0.35075315093759607,1.0,0.48027210884353744,0.44891476971942823,0.44534145050291163,0.4920574405896556
ENSSDUT00000023072,0.31777673545966234,0.4800208251984901,0.6166726900373449,0.4347466960352423,0.5946277611126262,0.5872488072863958,0.500682297481702,0.4206597999701448,0.48027210884353744,1.0,0.4940959409594097,0.4915129151291513,1.0
ENSACLT00000036938,0.2737823834196891,0.44308120414874774,0.45448171087998124,0.3193135122069133,0.4853868932663834,0.48889797030377335,0.9406809406809407,0.3672873818788216,0.44891476971942823,0.4940959409594097,1.0,0.9968688391511075,0.49936408833391144
ENSHBUT00000012573,0.2756476683937824,0.43966607639767263,0.45214444314596236,0.3178631858834904,0.48306939616325484,0.48644598828497476,0.939042939042939,0.3653418565869928,0.44534145050291163,0.4915129151291513,0.9968688391511075,1.0,0.4962423401549312
ENSSDUT00000023082,0.3437565582371458,0.4913435747378688,0.6189936536718041,0.44452501812907896,0.5992614287533427,0.5926573426573427,0.5074592074592075,0.42906622333056244,0.4920574405896556,1.0,0.49936408833391144,0.4962423401549312,1.0
