apteryx_rowi ENSARWG00000010963
apteryx_owenii ENSAOWG00000004484
dromaius_novaehollandiae ENSDNVG00000007658
nothoprocta_perdicaria ENSNPEG00000011254
calidris_pugnax ENSCPUG00000004670
calidris_pygmaea ENSCPGG00000000766
melopsittacus_undulatus ENSMUNG00000000542
manacus_vitellinus ENSMVIG00005010503
lepidothrix_coronata ENSLCOG00000011306
lonchura_striata_domestica ENSLSDG00000012027
serinus_canaria ENSSCAG00000006617
anser_brachyrhynchus ENSABRG00000007024
anas_platyrhynchos_platyrhynchos ENSAPLG00000026938
meleagris_gallopavo ENSMGAG00000001783
coturnix_japonica ENSCJPG00005010016
gallus_gallus ENSGALG00000002329
numida_meleagris ENSNMEG00000015532
chrysemys_picta_bellii ENSCPBG00000002758
chelonoidis_abingdonii ENSCABG00000004413
