vombatus_ursinus ENSVURG00010020518
phascolarctos_cinereus ENSPCIG00000022204
ursus_americanus ENSUAMG00000023216
ailuropoda_melanoleuca ENSAMEG00000002418
mustela_putorius ENSMPUG00000005147
neovison_vison ENSNVIG00000002855
canis_lupus ENSCAFG00000006746
canis_lupus ENSCAFG00020025298
vulpes_vulpes ENSVVUG00000009234
panthera_pardus ENSPPRG00000004534
felis_catus ENSFCAG00000034557
equus_asinus ENSEASG00005022482
equus_caballus ENSECAG00000000679
sus_scrofa ENSSSCG00000035817
tursiops_truncatus ENSTTRG00000002811
bos_indicus ENSBIXG00000029845
bos_indicus ENSBIXG00005005368
bos_taurus ENSBTAG00000010690
bos_mutus ENSBMUG00000023207
bison_bison ENSBBBG00000001839
capra_hircus ENSCHIG00000016212
erinaceus_europaeus ENSEEUG00000007501
pteropus_vampyrus ENSPVAG00000011521
myotis_lucifugus ENSMLUG00000010639
microtus_ochrogaster ENSMOCG00000007886
peromyscus_maniculatus ENSPEMG00000001176
cricetulus_griseus ENSCGRG00015016784
cricetulus_griseus ENSCGRG00000011253
cricetulus_griseus ENSCGRG00001024891
mesocricetus_auratus ENSMAUG00000021082
mus_musculus ENSMUSG00000029644
mus_spretus MGP_SPRETEiJ_G0029034
mus_spicilegus ENSMSIG00000023956
mus_caroli MGP_CAROLIEiJ_G0028036
mus_pahari MGP_PahariEiJ_G0024602
rattus_norvegicus ENSRNOG00000046458
nannospalax_galili ENSNGAG00000024275
jaculus_jaculus ENSJJAG00000017468
castor_canadensis ENSCCNG00000019833
dipodomys_ordii ENSDORG00000008418
heterocephalus_glaber ENSHGLG00000010243
heterocephalus_glaber ENSHGLG00100017315
fukomys_damarensis ENSFDAG00000014584
chinchilla_lanigera ENSCLAG00000006652
cavia_porcellus ENSCPOG00000024534
octodon_degus ENSODEG00000005235
ictidomys_tridecemlineatus ENSSTOG00000028173
urocitellus_parryii ENSUPAG00010018122
spermophilus_dauricus ENSSDAG00000016600
oryctolagus_cuniculus ENSOCUG00000004891
ochotona_princeps ENSOPRG00000011346
tupaia_belangeri ENSTBEG00000014859
pan_troglodytes ENSPTRG00000005736
gorilla_gorilla ENSGGOG00000002569
homo_sapiens ENSG00000139515
pan_paniscus ENSPPAG00000032720
pongo_abelii ENSPPYG00000005240
nomascus_leucogenys ENSNLEG00000000362
theropithecus_gelada ENSTGEG00000020156
papio_anubis ENSPANG00000012683
cercocebus_atys ENSCATG00000035793
mandrillus_leucophaeus ENSMLEG00000032316
macaca_mulatta ENSMMUG00000064615
macaca_nemestrina ENSMNEG00000032095
macaca_fascicularis ENSMFAG00000045682
chlorocebus_sabaeus ENSCSAG00000017977
rhinopithecus_roxellana ENSRROG00000038796
rhinopithecus_bieti ENSRBIG00000039353
piliocolobus_tephrosceles ENSPTEG00000018414
colobus_angolensis ENSCANG00000027496
saimiri_boliviensis ENSSBOG00000031436
cebus_capucinus ENSCCAG00000036295
callithrix_jacchus ENSCJAG00000065005
aotus_nancymaae ENSANAG00000033534
prolemur_simus ENSPSMG00000023637
propithecus_coquereli ENSPCOG00000006631
microcebus_murinus ENSMICG00000043487
otolemur_garnettii ENSOGAG00000016688
procavia_capensis ENSPCAG00000014347
echinops_telfairi ENSETEG00000004114
dasypus_novemcinctus ENSDNOG00000003213
sphenodon_punctatus ENSSPUG00000005068
