drosophila_melanogaster FBgn0037580
caenorhabditis_elegans_strain_n2 WBGene00008532
petromyzon_marinus ENSPMAG00000007464
petromyzon_marinus ENSPMAG00000006426
eptatretus_burgeri ENSEBUG00000006289
pogona_vitticeps ENSPVIG00000010487
notechis_scutatus ENSNSUG00000005579
salvator_merianae ENSSMRG00000020370
anolis_carolinensis ENSACAG00000004159
sphenodon_punctatus ENSSPUG00000008593
gopherus_agassizii ENSGAGG00000006797
chelonoidis_abingdonii ENSCABG00000017459
chrysemys_picta_bellii ENSCPBG00000022600
pelodiscus_sinensis ENSPSIG00000003027
loxodonta_africana ENSLAFG00000012015
procavia_capensis ENSPCAG00000014815
echinops_telfairi ENSETEG00000015218
dasypus_novemcinctus ENSDNOG00000010071
choloepus_hoffmanni ENSCHOG00000011778
pan_troglodytes ENSPTRG00000050638
pan_paniscus ENSPPAG00000041339
homo_sapiens ENSG00000254986
gorilla_gorilla ENSGGOG00000013228
pongo_abelii ENSPPYG00000003023
nomascus_leucogenys ENSNLEG00000006123
piliocolobus_tephrosceles ENSPTEG00000030479
colobus_angolensis_palliatus ENSCANG00000030134
rhinopithecus_roxellana ENSRROG00000044075
rhinopithecus_bieti ENSRBIG00000034831
macaca_fascicularis ENSMFAG00000038663
macaca_mulatta ENSMMUG00000031207
macaca_nemestrina ENSMNEG00000040775
mandrillus_leucophaeus ENSMLEG00000034833
cercocebus_atys ENSCATG00000005186
papio_anubis ENSPANG00000019270
papio_anubis ENSPANG00000017256
theropithecus_gelada ENSTGEG00000006334
chlorocebus_sabaeus ENSCSAG00000008287
callithrix_jacchus ENSCJAG00000001381
cebus_capucinus_imitator ENSCCAG00000028525
saimiri_boliviensis_boliviensis ENSSBOG00000030294
aotus_nancymaae ENSANAG00000024098
carlito_syrichta ENSTSYG00000026548
carlito_syrichta ENSTSYG00000031929
prolemur_simus ENSPSMG00000025902
propithecus_coquereli ENSPCOG00000026253
microcebus_murinus ENSMICG00000003766
otolemur_garnettii ENSOGAG00000010455
chinchilla_lanigera ENSCLAG00000015558
octodon_degus ENSODEG00000017834
cavia_porcellus ENSCPOG00000000690
cavia_aperea ENSCAPG00000017391
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010108
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018305
fukomys_damarensis ENSFDAG00000013668
spermophilus_dauricus ENSSDAG00000011567
urocitellus_parryii ENSUPAG00010008679
ictidomys_tridecemlineatus ENSSTOG00000009722
marmota_marmota_marmota ENSMMMG00000021721
castor_canadensis ENSCCNG00000024448
dipodomys_ordii ENSDORG00000015249
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063904
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023438
mus_spicilegus ENSMSIG00000004718
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022524
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014021
rattus_norvegicus ENSRNOG00000031485
meriones_unguiculatus ENSMUGG00000005160
cricetulus_griseus_crigri-picr ENSCGRG00015017076
cricetulus_griseus_crigri_1.0 ENSCGRG00000018159
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020707
mesocricetus_auratus ENSMAUG00000016413
microtus_ochrogaster ENSMOCG00000009159
peromyscus_maniculatus_bairdii ENSPEMG00000017868
nannospalax_galili ENSNGAG00000011648
jaculus_jaculus ENSJJAG00000011535
oryctolagus_cuniculus ENSOCUG00000010915
ochotona_princeps ENSOPRG00000009029
tupaia_belangeri ENSTBEG00000017399
ovis_aries ENSOARG00000005600
capra_hircus ENSCHIG00000003957
bos_mutus ENSBMUG00000020659
bos_taurus ENSBTAG00000022242
bison_bison_bison ENSBBBG00000010621
tursiops_truncatus ENSTTRG00000006640
sus_scrofa ENSSSCG00000030415
equus_asinus_asinus ENSEASG00005004993
equus_caballus ENSECAG00000015518
ursus_maritimus ENSUMAG00000011260
ursus_americanus ENSUAMG00000014875
ailuropoda_melanoleuca ENSAMEG00000011226
mustela_putorius_furo ENSMPUG00000003079
neovison_vison ENSNVIG00000014321
canis_lupus_dingo ENSCAFG00020015439
canis_lupus_familiaris ENSCAFG00000012638
vulpes_vulpes ENSVVUG00000027008
panthera_pardus ENSPPRG00000006335
panthera_tigris_altaica ENSPTIG00000002980
felis_catus ENSFCAG00000009310
pteropus_vampyrus ENSPVAG00000007144
myotis_lucifugus ENSMLUG00000004061
sorex_araneus ENSSARG00000002461
ornithorhynchus_anatinus ENSOANG00000011536
phascolarctos_cinereus ENSPCIG00000008438
notamacropus_eugenii ENSMEUG00000010316
sarcophilus_harrisii ENSSHAG00000009116
monodelphis_domestica ENSMODG00000008243
ornithorhynchus_anatinus ENSOANG00000029232
xenopus_tropicalis ENSXETG00000020577
lepisosteus_oculatus ENSLOCG00000001626
paramormyrops_kingsleyae ENSPKIG00000003665
scleropages_formosus ENSSFOG00015020949
pygocentrus_nattereri ENSPNAG00000012426
astyanax_mexicanus ENSAMXG00000007258
ictalurus_punctatus ENSIPUG00000021182
danio_rerio ENSDARG00000020676
takifugu_rubripes ENSTRUG00000009234
tetraodon_nigroviridis ENSTNIG00000018231
mola_mola ENSMMOG00000014503
cynoglossus_semilaevis ENSCSEG00000019735
labrus_bergylta ENSLBEG00000001107
gasterosteus_aculeatus ENSGACG00000020441
monopterus_albus ENSMALG00000019151
mastacembelus_armatus ENSMAMG00000021308
anabas_testudineus ENSATEG00000009590
seriola_dumerili ENSSDUG00000020699
seriola_lalandi_dorsalis ENSSLDG00000006251
scophthalmus_maximus ENSSMAG00000002154
poecilia_formosa ENSPFOG00000004916
poecilia_latipinna ENSPLAG00000017419
poecilia_mexicana ENSPMEG00000004865
poecilia_reticulata ENSPREG00000007298
xiphophorus_maculatus ENSXMAG00000000342
gambusia_affinis ENSGAFG00000004383
cyprinodon_variegatus ENSCVAG00000014773
fundulus_heteroclitus ENSFHEG00000020932
