heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000945
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017623
fukomys_damarensis ENSFDAG00000015412
octodon_degus ENSODEG00000016090
cavia_aperea ENSCAPG00000015354
chinchilla_lanigera ENSCLAG00000010793
urocitellus_parryii ENSUPAG00010019365
spermophilus_dauricus ENSSDAG00000005516
marmota_marmota_marmota ENSMMMG00000004455
ictidomys_tridecemlineatus ENSSTOG00000028687
castor_canadensis ENSCCNG00000009476
dipodomys_ordii ENSDORG00000025407
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015586
cricetulus_griseus_crigri_1.0 ENSCGRG00000016756
cricetulus_griseus_crigri-picr ENSCGRG00015009065
mesocricetus_auratus ENSMAUG00000005535
microtus_ochrogaster ENSMOCG00000018687
peromyscus_maniculatus_bairdii ENSPEMG00000002145
mus_spicilegus ENSMSIG00000003955
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030593
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000098022
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029497
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012731
rattus_norvegicus ENSRNOG00000053115
rattus_norvegicus ENSRNOG00000052023
meriones_unguiculatus ENSMUGG00000012148
nannospalax_galili ENSNGAG00000014645
ochotona_princeps ENSOPRG00000015306
tupaia_belangeri ENSTBEG00000005456
pan_troglodytes ENSPTRG00000010894
pan_paniscus ENSPPAG00000031631
homo_sapiens ENSG00000181007
pongo_abelii ENSPPYG00000029921
nomascus_leucogenys ENSNLEG00000003051
papio_anubis ENSPANG00000011871
mandrillus_leucophaeus ENSMLEG00000030757
theropithecus_gelada ENSTGEG00000007729
cercocebus_atys ENSCATG00000013092
macaca_nemestrina ENSMNEG00000031288
macaca_fascicularis ENSMFAG00000022094
macaca_mulatta ENSMMUG00000044093
chlorocebus_sabaeus ENSCSAG00000004216
rhinopithecus_roxellana ENSRROG00000035854
rhinopithecus_bieti ENSRBIG00000033198
colobus_angolensis_palliatus ENSCANG00000029663
piliocolobus_tephrosceles ENSPTEG00000017570
cebus_capucinus_imitator ENSCCAG00000020680
saimiri_boliviensis_boliviensis ENSSBOG00000016698
callithrix_jacchus ENSCJAG00000009436
aotus_nancymaae ENSANAG00000026448
carlito_syrichta ENSTSYG00000002433
prolemur_simus ENSPSMG00000001851
microcebus_murinus ENSMICG00000006314
propithecus_coquereli ENSPCOG00000018606
otolemur_garnettii ENSOGAG00000008387
equus_asinus_asinus ENSEASG00005002298
equus_caballus ENSECAG00000021185
ovis_aries ENSOARG00000005338
capra_hircus ENSCHIG00000018313
bos_mutus ENSBMUG00000019119
bos_taurus ENSBTAG00000023464
bison_bison_bison ENSBBBG00000022037
ursus_americanus ENSUAMG00000008855
ursus_maritimus ENSUMAG00000020878
neovison_vison ENSNVIG00000015908
mustela_putorius_furo ENSMPUG00000005550
panthera_pardus ENSPPRG00000024083
panthera_tigris_altaica ENSPTIG00000006171
felis_catus ENSFCAG00000029562
tursiops_truncatus ENSTTRG00000013712
vicugna_pacos ENSVPAG00000008944
canis_lupus_familiaris ENSCAFG00000028475
canis_lupus_dingo ENSCAFG00020018081
vulpes_vulpes ENSVVUG00000013548
ursus_americanus ENSUAMG00000000307
sus_scrofa ENSSSCG00000031915
pteropus_vampyrus ENSPVAG00000014359
castor_canadensis ENSCCNG00000009464
mus_spicilegus ENSMSIG00000012825
bos_taurus ENSBTAG00000050174
bos_mutus ENSBMUG00000000187
echinops_telfairi ENSETEG00000007465
procavia_capensis ENSPCAG00000016111
dasypus_novemcinctus ENSDNOG00000007687
choloepus_hoffmanni ENSCHOG00000009333
