,ENSPPAT00000050711,ENSRROT00000050864,ENSPTET00000002222,ENSPTRT00000082974,ENSPTRT00000017597,ENSNLET00000038974,ENSMICT00000007507,ENSRBIT00000034009,ENSGGOT00000023341,ENSPPAT00000050707,ENSRBIT00000034017,ENSRBIT00000034015,ENSRBIT00000034018,ENST00000344935,ENSGGOT00000063162,ENSPCOT00000030336,ENSNLET00000001778,ENSPPYT00000010029,ENSPSMT00000042932,ENST00000397671
ENSPPAT00000050711,1.0,0.9527001862197393,0.9601489757914339,0.9954304954304954,1.0,0.9604438012542209,0.9068369646882044,0.957169459962756,0.990316573556797,1.0,0.9621046892039259,0.957169459962756,0.957169459962756,0.9899441340782122,0.9891461649782923,0.8863900736719659,0.9754189944134078,0.9749155812831645,0.9069852941176471,0.9917993246502653
ENSRROT00000050864,0.9527001862197393,1.0,0.9842620161633348,0.9527001862197393,0.9604423649510846,0.9655301611090296,0.8908412036020207,0.9929094236047575,0.95618885580604,0.9615283267457181,0.9921318846009741,0.9934112646121148,0.9929094236047575,0.9602296894938324,0.9623836126629423,0.9039281705948372,0.9604423649510846,0.9655301611090296,0.9013299013299013,0.9580367178718622
ENSPTET00000002222,0.9601489757914339,0.9842620161633348,1.0,0.9601489757914339,0.965024525485178,0.9748498498498499,0.9028998242530756,0.9938243366880146,0.9663041160162081,0.9657444005270093,0.996996996996997,0.9902231668437832,0.9938243366880146,0.9648112603966731,0.9698324022346368,0.907723394701392,0.965024525485178,0.9748498498498499,0.9073359073359073,0.9655301611090296
ENSPTRT00000082974,0.9954304954304954,0.9527001862197393,0.9601489757914339,1.0,1.0,0.9559884559884559,0.9068369646882044,0.957169459962756,0.990316573556797,1.0,0.9621046892039259,0.957169459962756,0.957169459962756,0.9899441340782122,0.9846079846079846,0.8863900736719659,0.9754189944134078,0.9704184704184704,0.9069852941176471,0.9872534872534873
ENSPTRT00000017597,1.0,0.9604423649510846,0.965024525485178,1.0,1.0,0.9754189944134078,0.9004195186575403,0.9579139981701739,0.9846186712240974,1.0,0.957169459962756,0.9608926673751328,0.9579139981701739,0.9942320017090366,0.990316573556797,0.8976324689966179,0.9792779320657979,0.9754189944134078,0.8970398970398971,0.9899441340782122
ENSNLET00000038974,0.9604438012542209,0.9655301611090296,0.9748498498498499,0.9559884559884559,0.9754189944134078,1.0,0.9139744552967694,0.9718468468468469,0.9851024208566108,0.9754189944134078,0.9673076923076923,0.9718468468468469,0.9718468468468469,0.9808917197452229,0.9649250120948234,0.8937572702597906,1.0,0.9649250120948234,0.9235294117647059,0.9594398841139546
ENSMICT00000007507,0.9068369646882044,0.8908412036020207,0.9028998242530756,0.9068369646882044,0.9004195186575403,0.9139744552967694,1.0,0.8977798334875116,0.9002880567250167,0.9047488333790832,0.9083395942900075,0.8970588235294118,0.8977798334875116,0.9033902060713495,0.9068369646882044,0.9433491955585769,0.9052164261931187,0.9042073628850489,0.932210802536628,0.9064613072877535
ENSRBIT00000034009,0.957169459962756,0.9929094236047575,0.9938243366880146,0.957169459962756,0.9579139981701739,0.9718468468468469,0.8977798334875116,1.0,0.9576852698993595,0.9612940496822646,1.0,1.0,1.0,0.9576852698993595,0.966852886405959,0.908813160987074,0.9579139981701739,0.9718468468468469,0.9033212010919017,0.9625327838141626
ENSGGOT00000023341,0.990316573556797,0.95618885580604,0.9663041160162081,0.990316573556797,0.9846186712240974,0.9851024208566108,0.9002880567250167,0.9576852698993595,1.0,0.9881422924901185,0.966852886405959,0.9566418703506907,0.9576852698993595,0.9877813504823151,1.0,0.8960686850429281,0.9808725553406404,0.9851024208566108,0.8993993993993994,0.9899441340782122
ENSPPAT00000050707,1.0,0.9615283267457181,0.9657444005270093,1.0,1.0,0.9754189944134078,0.9047488333790832,0.9612940496822646,0.9881422924901185,1.0,0.957169459962756,0.9646903820816864,0.9612940496822646,0.9928853754940712,0.990316573556797,0.8920134983127109,0.9805006587615284,0.9754189944134078,0.8896515311510031,0.9899441340782122
