,ENSVURT00010020695_ENSVURG00010013894,ENSPCIT00000036173_ENSPCIG00000021896,ENSPCIT00000055121_ENSPCIG00000021896,ENSMEUT00000014594_ENSMEUG00000014547,ENSMODT00000017679_ENSMODG00000013876,ENSMSIT00000044657_ENSMSIG00000029507,ENSMUST00000041093_ENSMUSG00000038648
ENSVURT00010020695_ENSVURG00010013894,1.0,0.98,0.82,0.79,0.95,0.78,0.78
ENSPCIT00000036173_ENSPCIG00000021896,0.98,1.0,0.84,0.79,0.95,0.79,0.78
ENSPCIT00000055121_ENSPCIG00000021896,0.82,0.84,1.0,0.63,0.79,0.64,0.64
ENSMEUT00000014594_ENSMEUG00000014547,0.79,0.79,0.63,1.0,0.77,0.63,0.63
ENSMODT00000017679_ENSMODG00000013876,0.95,0.95,0.79,0.77,1.0,0.78,0.78
ENSMSIT00000044657_ENSMSIG00000029507,0.78,0.79,0.64,0.63,0.78,1.0,0.99
ENSMUST00000041093_ENSMUSG00000038648,0.78,0.78,0.64,0.63,0.78,0.99,1.0
