,ENSMZET00005007155_ENSMZEG00005005273,ENSHBUT00000005877_ENSHBUG00000007487,ENSPNYT00000027105_ENSPNYG00000019958,ENSACIT00000027112_ENSACIG00000020477,ENSKMAT00000027227_ENSKMAG00000019939,ENSLBET00000018469_ENSLBEG00000013483
ENSMZET00005007155_ENSMZEG00005005273,1.0,0.93,0.73,0.44,0.25,0.35
ENSHBUT00000005877_ENSHBUG00000007487,0.93,1.0,0.78,0.44,0.25,0.35
ENSPNYT00000027105_ENSPNYG00000019958,0.73,0.78,1.0,0.52,0.23,0.35
ENSACIT00000027112_ENSACIG00000020477,0.44,0.44,0.52,1.0,0.3,0.3
ENSKMAT00000027227_ENSKMAG00000019939,0.25,0.25,0.23,0.3,1.0,0.22
ENSLBET00000018469_ENSLBEG00000013483,0.35,0.35,0.35,0.3,0.22,1.0
