amphiprion_ocellaris ENSAOCG00000006484
amphiprion_percula ENSAPEG00000000244
acanthochromis_polyacanthus ENSAPOG00000020933
stegastes_partitus ENSSPAG00000012580
pundamilia_nyererei ENSPNYG00000012854
haplochromis_burtoni ENSHBUG00000012354
maylandia_zebra ENSMZEG00005023758
astatotilapia_calliptera ENSACLG00000010506
oreochromis_niloticus ENSONIG00000021390
neolamprologus_brichardi ENSNBRG00000000260
amphilophus_citrinellus ENSACIG00000023888
poecilia_reticulata ENSPREG00000002616
poecilia_formosa ENSPFOG00000022850
xiphophorus_maculatus ENSXMAG00000022390
gambusia_affinis ENSGAFG00000016835
poecilia_mexicana ENSPMEG00000005836
poecilia_latipinna ENSPLAG00000009998
xiphophorus_couchianus ENSXCOG00000017770
fundulus_heteroclitus ENSFHEG00000019045
cyprinodon_variegatus ENSCVAG00000006756
kryptolebias_marmoratus ENSKMAG00000013039
oryzias_latipes_asm223469v1 ENSORLG00015013253
oryzias_latipes_asm223469v1 ENSORLG00015013435
oryzias_latipes_asm223471v1 ENSORLG00020015843
oryzias_latipes_asm223467v1 ENSORLG00000022500
oryzias_melastigma ENSOMEG00000021858
monopterus_albus ENSMALG00000006886
mastacembelus_armatus ENSMAMG00000009901
seriola_dumerili ENSSDUG00000013161
seriola_lalandi_dorsalis ENSSLDG00000014554
labrus_bergylta ENSLBEG00000018696
labrus_bergylta ENSLBEG00000016815
