,ENSACIT00000028047_ENSACIG00000021175,ENSLCRT00005047590_ENSLCRG00005017767,ENSBSLT00000047115_ENSBSLG00000020504,ENSECRT00000013265_ENSECRG00000008721
ENSACIT00000028047_ENSACIG00000021175,1.0,0.32,0.39,0.38
ENSLCRT00005047590_ENSLCRG00005017767,0.32,1.0,0.4,0.47
ENSBSLT00000047115_ENSBSLG00000020504,0.39,0.4,1.0,0.48
ENSECRT00000013265_ENSECRG00000008721,0.38,0.47,0.48,1.0
