lonchura_striata_domestica ENSLSDG00000004093
taeniopygia_guttata ENSTGUG00000015609
junco_hyemalis ENSJHYG00000000313
ficedula_albicollis ENSFALG00000000299
serinus_canaria ENSSCAG00000015414
manacus_vitellinus ENSMVIG00005016184
lepidothrix_coronata ENSLCOG00000007149
melopsittacus_undulatus ENSMUNG00000015460
calidris_pygmaea ENSCPGG00000017929
calidris_pugnax ENSCPUG00000007509
gallus_gallus ENSGALG00000039206
meleagris_gallopavo ENSMGAG00000016939
numida_meleagris ENSNMEG00000019869
coturnix_japonica ENSCJPG00005011934
anser_brachyrhynchus ENSABRG00000011420
apteryx_owenii ENSAOWG00000008502
apteryx_haastii ENSAHAG00000004758
apteryx_rowi ENSARWG00000018051
crocodylus_porosus ENSCPRG00005000102
pogona_vitticeps ENSPVIG00000018256
anolis_carolinensis ENSACAG00000006638
notechis_scutatus ENSNSUG00000010634
salvator_merianae ENSSMRG00000006948
sphenodon_punctatus ENSSPUG00000003325
chrysemys_picta_bellii ENSCPBG00000023170
chelonoidis_abingdonii ENSCABG00000011453
pelodiscus_sinensis ENSPSIG00000014127
loxodonta_africana ENSLAFG00000009162
procavia_capensis ENSPCAG00000006363
echinops_telfairi ENSETEG00000007905
dasypus_novemcinctus ENSDNOG00000035690
pan_troglodytes ENSPTRG00000012234
pan_paniscus ENSPPAG00000036311
homo_sapiens ENSG00000196843
gorilla_gorilla ENSGGOG00000017068
pongo_abelii ENSPPYG00000012072
nomascus_leucogenys ENSNLEG00000007764
theropithecus_gelada ENSTGEG00000009742
papio_anubis ENSPANG00000012565
cercocebus_atys ENSCATG00000035535
mandrillus_leucophaeus ENSMLEG00000044210
macaca_fascicularis ENSMFAG00000041379
macaca_nemestrina ENSMNEG00000006786
macaca_mulatta ENSMMUG00000030744
chlorocebus_sabaeus ENSCSAG00000017355
colobus_angolensis_palliatus ENSCANG00000031234
piliocolobus_tephrosceles ENSPTEG00000001606
rhinopithecus_bieti ENSRBIG00000039453
rhinopithecus_roxellana ENSRROG00000029852
cebus_capucinus_imitator ENSCCAG00000030973
saimiri_boliviensis_boliviensis ENSSBOG00000024862
callithrix_jacchus ENSCJAG00000007759
aotus_nancymaae ENSANAG00000025214
carlito_syrichta ENSTSYG00000007952
prolemur_simus ENSPSMG00000021893
propithecus_coquereli ENSPCOG00000014320
microcebus_murinus ENSMICG00000001964
otolemur_garnettii ENSOGAG00000004116
castor_canadensis ENSCCNG00000021400
dipodomys_ordii ENSDORG00000002540
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014837
mus_spicilegus ENSMSIG00000005133
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037447
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014033
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027279
rattus_norvegicus ENSRNOG00000015382
meriones_unguiculatus ENSMUGG00000022679
peromyscus_maniculatus_bairdii ENSPEMG00000017158
microtus_ochrogaster ENSMOCG00000022299
cricetulus_griseus_crigri_1.0 ENSCGRG00000014800
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015814
cricetulus_griseus_crigri-picr ENSCGRG00015015497
mesocricetus_auratus ENSMAUG00000021487
nannospalax_galili ENSNGAG00000022962
jaculus_jaculus ENSJJAG00000022401
chinchilla_lanigera ENSCLAG00000004553
octodon_degus ENSODEG00000007125
cavia_porcellus ENSCPOG00000026444
cavia_aperea ENSCAPG00000012580
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007255
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016191
fukomys_damarensis ENSFDAG00000021115
urocitellus_parryii ENSUPAG00010017212
ictidomys_tridecemlineatus ENSSTOG00000019546
spermophilus_dauricus ENSSDAG00000012605
marmota_marmota_marmota ENSMMMG00000000577
oryctolagus_cuniculus ENSOCUG00000012101
ochotona_princeps ENSOPRG00000015571
myotis_lucifugus ENSMLUG00000003208
pteropus_vampyrus ENSPVAG00000009400
sorex_araneus ENSSARG00000003004
ursus_maritimus ENSUMAG00000013079
bos_taurus ENSBTAG00000014090
bison_bison_bison ENSBBBG00000000248
bos_mutus ENSBMUG00000025040
capra_hircus ENSCHIG00000026035
ovis_aries ENSOARG00000013883
tursiops_truncatus ENSTTRG00000007812
sus_scrofa ENSSSCG00000008123
erinaceus_europaeus ENSEEUG00000008247
ursus_americanus ENSUAMG00000018541
ursus_maritimus ENSUMAG00000013085
ailuropoda_melanoleuca ENSAMEG00000008932
neovison_vison ENSNVIG00000015017
mustela_putorius_furo ENSMPUG00000008907
canis_lupus_dingo ENSCAFG00020021384
canis_lupus_familiaris ENSCAFG00000006546
vulpes_vulpes ENSVVUG00000026175
panthera_pardus ENSPPRG00000004309
panthera_tigris_altaica ENSPTIG00000012885
felis_catus ENSFCAG00000024950
equus_asinus_asinus ENSEASG00005001699
equus_caballus ENSECAG00000023667
phascolarctos_cinereus ENSPCIG00000023072
notamacropus_eugenii ENSMEUG00000014406
sarcophilus_harrisii ENSSHAG00000018209
monodelphis_domestica ENSMODG00000008611
latimeria_chalumnae ENSLACG00000014124
pygocentrus_nattereri ENSPNAG00000022435
ictalurus_punctatus ENSIPUG00000003539
seriola_lalandi_dorsalis ENSSLDG00000009730
lepisosteus_oculatus ENSLOCG00000015055
