rhinopithecus_bieti ENSRBIG00000030476
rhinopithecus_roxellana ENSRROG00000004710
colobus_angolensis_palliatus ENSCANG00000029474
piliocolobus_tephrosceles ENSPTEG00000036234
theropithecus_gelada ENSTGEG00000010400
papio_anubis ENSPANG00000030870
macaca_nemestrina ENSMNEG00000003657
macaca_fascicularis ENSMFAG00000030198
macaca_mulatta ENSMMUG00000044126
cercocebus_atys ENSCATG00000011928
mandrillus_leucophaeus ENSMLEG00000021369
spermophilus_dauricus ENSSDAG00000015346
marmota_marmota_marmota ENSMMMG00000001666
