	F39G3.1.1	M88.1.1	M88.1.2
F39G3.1.1	1.0	0.7362155388471178	0.7362155388471178
M88.1.1	0.7362155388471178	1.0	1.0
M88.1.2	0.7362155388471178	1.0	1.0
