	ENSNVIT00000017476	ENSCATT00000044573	ENSCATT00000044577	ENSBMUT00000002781	ENSCATT00000044582	ENSBMUT00000002779
ENSNVIT00000017476	1.0	0.513671875	0.908203125	0.494140625	0.634765625	0.79296875
ENSCATT00000044573	0.513671875	1.0	0.5546875	0.38671875	0.583984375	0.36328125
ENSCATT00000044577	0.908203125	0.5546875	1.0	0.486328125	0.697265625	0.75390625
ENSBMUT00000002781	0.494140625	0.38671875	0.486328125	1.0	0.76171875	0.69140625
ENSCATT00000044582	0.634765625	0.583984375	0.697265625	0.76171875	1.0	0.482421875
ENSBMUT00000002779	0.79296875	0.36328125	0.75390625	0.69140625	0.482421875	1.0
