,ENSCHAT00000036016_ENSCHAG00000015581,ENSCHAT00000036057_ENSCHAG00000015581,ENSCHAT00000036075_ENSCHAG00000015581,ENSCHAT00000036089_ENSCHAG00000015581,ENSCHAT00000036107_ENSCHAG00000015581,ENSCHAT00000036126_ENSCHAG00000015581,ENSCHAT00000036145_ENSCHAG00000015581,ENSCHAT00000036161_ENSCHAG00000015581,ENSCHAT00000036171_ENSCHAG00000015581,ENSCHAT00000036198_ENSCHAG00000015581,ENSDCDT00000043354_ENSDCDG00000018854,ENSDCDT00000043837_ENSDCDG00000018854,ENSDCDT00000043938_ENSDCDG00000018854,ENSDCDT00000043940_ENSDCDG00000018854,ENSDCDT00000043971_ENSDCDG00000018854,ENSDCDT00000043973_ENSDCDG00000018854,ENSAMXT00000000700_ENSAMXG00000000658
ENSCHAT00000036016_ENSCHAG00000015581,1.0,0.86,0.95,0.87,0.76,0.85,0.79,0.78,0.86,0.76,0.88,0.8,0.77,0.79,0.73,0.74,0.9
ENSCHAT00000036057_ENSCHAG00000015581,0.86,1.0,0.82,0.83,0.64,0.93,0.76,0.82,0.82,0.72,0.75,0.68,0.68,0.67,0.62,0.63,0.76
ENSCHAT00000036075_ENSCHAG00000015581,0.95,0.82,1.0,0.83,0.73,0.81,0.76,0.8,0.85,0.73,0.85,0.78,0.78,0.75,0.71,0.7,0.87
ENSCHAT00000036089_ENSCHAG00000015581,0.87,0.83,0.83,1.0,0.78,0.76,0.9,0.67,0.82,0.73,0.76,0.69,0.69,0.72,0.62,0.63,0.77
ENSCHAT00000036107_ENSCHAG00000015581,0.76,0.64,0.73,0.78,1.0,0.62,0.74,0.67,0.77,0.56,0.68,0.61,0.57,0.62,0.65,0.53,0.69
ENSCHAT00000036126_ENSCHAG00000015581,0.85,0.93,0.81,0.76,0.62,1.0,0.69,0.81,0.74,0.65,0.74,0.67,0.66,0.66,0.6,0.61,0.75
ENSCHAT00000036145_ENSCHAG00000015581,0.79,0.76,0.76,0.9,0.74,0.69,1.0,0.68,0.77,0.67,0.74,0.68,0.62,0.69,0.59,0.56,0.71
ENSCHAT00000036161_ENSCHAG00000015581,0.78,0.82,0.8,0.67,0.67,0.81,0.68,1.0,0.75,0.59,0.73,0.66,0.66,0.6,0.62,0.55,0.71
ENSCHAT00000036171_ENSCHAG00000015581,0.86,0.82,0.85,0.82,0.77,0.74,0.77,0.75,1.0,0.73,0.77,0.7,0.69,0.67,0.74,0.62,0.8
ENSCHAT00000036198_ENSCHAG00000015581,0.76,0.72,0.73,0.73,0.56,0.65,0.67,0.59,0.73,1.0,0.67,0.68,0.67,0.66,0.61,0.78,0.67
ENSDCDT00000043354_ENSDCDG00000018854,0.88,0.75,0.85,0.76,0.68,0.74,0.74,0.73,0.77,0.67,1.0,0.91,0.8,0.82,0.78,0.77,0.86
ENSDCDT00000043837_ENSDCDG00000018854,0.8,0.68,0.78,0.69,0.61,0.67,0.68,0.66,0.7,0.68,0.91,1.0,0.87,0.89,0.85,0.77,0.78
ENSDCDT00000043938_ENSDCDG00000018854,0.77,0.68,0.78,0.69,0.57,0.66,0.62,0.66,0.69,0.67,0.8,0.87,1.0,0.86,0.8,0.74,0.76
ENSDCDT00000043940_ENSDCDG00000018854,0.79,0.67,0.75,0.72,0.62,0.66,0.69,0.6,0.67,0.66,0.82,0.89,0.86,1.0,0.81,0.76,0.76
ENSDCDT00000043971_ENSDCDG00000018854,0.73,0.62,0.71,0.62,0.65,0.6,0.59,0.62,0.74,0.61,0.78,0.85,0.8,0.81,1.0,0.7,0.72
ENSDCDT00000043973_ENSDCDG00000018854,0.74,0.63,0.7,0.63,0.53,0.61,0.56,0.55,0.62,0.78,0.77,0.77,0.74,0.76,0.7,1.0,0.71
ENSAMXT00000000700_ENSAMXG00000000658,0.9,0.76,0.87,0.77,0.69,0.75,0.71,0.71,0.8,0.67,0.86,0.78,0.76,0.76,0.72,0.71,1.0
