ailuropoda_melanoleuca ENSAMEG00000004781
mustela_putorius_furo ENSMPUG00000011052
canis_lupus_familiaris ENSCAFG00000030670
myotis_lucifugus ENSMLUG00000023616
castor_canadensis ENSCCNG00000013989
dasypus_novemcinctus ENSDNOG00000049044
sarcophilus_harrisii ENSSHAG00000014256
monodelphis_domestica ENSMODG00000027993
ornithorhynchus_anatinus ENSOANG00000000472
mustela_putorius_furo ENSMPUG00000010611
mustela_putorius_furo ENSMPUG00000009468
mustela_putorius_furo ENSMPUG00000018024
mustela_putorius_furo ENSMPUG00000010624
mustela_putorius_furo ENSMPUG00000009454
mustela_putorius_furo ENSMPUG00000010619
dasypus_novemcinctus ENSDNOG00000035751
mustela_putorius_furo ENSMPUG00000010606
ornithorhynchus_anatinus ENSOANG00000019910
chrysemys_picta_bellii ENSCPBG00000023736
pelodiscus_sinensis ENSPSIG00000016644
