fundulus_heteroclitus ENSFHEG00000002249
cyprinodon_variegatus ENSCVAG00000008945
poecilia_mexicana ENSPMEG00000002821
poecilia_latipinna ENSPLAG00000002587
poecilia_formosa ENSPFOG00000020091
poecilia_reticulata ENSPREG00000019316
xiphophorus_couchianus ENSXCOG00000009610
xiphophorus_maculatus ENSXMAG00000019564
gambusia_affinis ENSGAFG00000004061
kryptolebias_marmoratus ENSKMAG00000021338
oryzias_latipes ENSORLG00000001542
oryzias_latipes_asm223469v1 ENSORLG00015007596
oryzias_latipes ENSORLG00020018815
oryzias_melastigma ENSOMEG00000023141
amphiprion_ocellaris ENSAOCG00000017278
amphiprion_percula ENSAPEG00000017215
acanthochromis_polyacanthus ENSAPOG00000014080
stegastes_partitus ENSSPAG00000002158
maylandia_zebra ENSMZEG00005024445
astatotilapia_calliptera ENSACLG00000017552
pundamilia_nyererei ENSPNYG00000021986
haplochromis_burtoni ENSHBUG00000002138
neolamprologus_brichardi ENSNBRG00000016367
oreochromis_niloticus ENSONIG00000007734
amphilophus_citrinellus ENSACIG00000008044
gasterosteus_aculeatus ENSGACG00000012382
labrus_bergylta ENSLBEG00000010700
takifugu_rubripes ENSTRUG00000007807
tetraodon_nigroviridis ENSTNIG00000000493
mola_mola ENSMMOG00000005166
seriola_dumerili ENSSDUG00000002517
seriola_lalandi_dorsalis ENSSLDG00000020450
cynoglossus_semilaevis ENSCSEG00000006054
mastacembelus_armatus ENSMAMG00000016809
monopterus_albus ENSMALG00000006062
anabas_testudineus ENSATEG00000005248
scophthalmus_maximus ENSSMAG00000019769
hippocampus_comes ENSHCOG00000015413
gadus_morhua ENSGMOG00000004245
esox_lucius ENSELUG00000017978
pygocentrus_nattereri ENSPNAG00000010334
astyanax_mexicanus ENSAMXG00000009048
ictalurus_punctatus ENSIPUG00000006756
danio_rerio ENSDARG00000055897
scleropages_formosus ENSSFOG00015006333
paramormyrops_kingsleyae ENSPKIG00000006963
lepisosteus_oculatus ENSLOCG00000017564
periophthalmus_magnuspinnatus ENSPMGG00000000265
pogona_vitticeps ENSPVIG00000018669
anolis_carolinensis ENSACAG00000028019
salvator_merianae ENSSMRG00000002772
sphenodon_punctatus ENSSPUG00000013023
gopherus_agassizii ENSGAGG00000019320
chelonoidis_abingdonii ENSCABG00000022034
chrysemys_picta_bellii ENSCPBG00000021766
latimeria_chalumnae ENSLACG00000016426
latimeria_chalumnae ENSLACG00000016524
xenopus_tropicalis ENSXETG00000000158
ciona_intestinalis ENSCING00000020428
