astyanax_mexicanus ENSAMXG00000041032
pygocentrus_nattereri ENSPNAG00000030061
danio_rerio ENSDARG00000105412
acanthochromis_polyacanthus ENSAPOG00000016225
amphiprion_percula ENSAPEG00000021117
maylandia_zebra ENSMZEG00005010899
pundamilia_nyererei ENSPNYG00000021721
haplochromis_burtoni ENSHBUG00000005531
neolamprologus_brichardi ENSNBRG00000019599
pundamilia_nyererei ENSPNYG00000000338
astatotilapia_calliptera ENSACLG00000003521
maylandia_zebra ENSMZEG00005010908
haplochromis_burtoni ENSHBUG00000005523
neolamprologus_brichardi ENSNBRG00000019606
amphilophus_citrinellus ENSACIG00000003605
neolamprologus_brichardi ENSNBRG00000019614
oreochromis_niloticus ENSONIG00000021348
astatotilapia_calliptera ENSACLG00000003509
amphilophus_citrinellus ENSACIG00000003610
hippocampus_comes ENSHCOG00000004673
hippocampus_comes ENSHCOG00000004677
cynoglossus_semilaevis ENSCSEG00000010212
lepisosteus_oculatus ENSLOCG00000000483
lepisosteus_oculatus ENSLOCG00000006898
