nannospalax_galili ENSNGAG00000020773
meriones_unguiculatus ENSMUGG00000020689
jaculus_jaculus ENSJJAG00000013392
ictidomys_tridecemlineatus ENSSTOG00000011176
spermophilus_dauricus ENSSDAG00000004330
fukomys_damarensis ENSFDAG00000013436
mandrillus_leucophaeus ENSMLEG00000017189
pongo_abelii ENSPPYG00000002825
aotus_nancymaae ENSANAG00000034866
castor_canadensis ENSCCNG00000029747
dipodomys_ordii ENSDORG00000029292
carlito_syrichta ENSTSYG00000032087
panthera_tigris_altaica ENSPTIG00000012313
neovison_vison ENSNVIG00000003151
erinaceus_europaeus ENSEEUG00000009201
procavia_capensis ENSPCAG00000010788
echinops_telfairi ENSETEG00000015472
