junco_hyemalis ENSJHYG00000000991
lonchura_striata_domestica ENSLSDG00000010092
ficedula_albicollis ENSFALG00000013769
lepidothrix_coronata ENSLCOG00000014928
parus_major ENSPMJG00000018860
calidris_pygmaea ENSCPGG00000005690
calidris_pugnax ENSCPUG00000009949
numida_meleagris ENSNMEG00000012591
gallus_gallus ENSGALG00000050734
coturnix_japonica ENSCJPG00005004343
anser_brachyrhynchus ENSABRG00000007200
anas_platyrhynchos_platyrhynchos ENSAPLG00000028295
apteryx_haastii ENSAHAG00000005004
apteryx_owenii ENSAOWG00000018103
apteryx_rowi ENSARWG00000006231
dromaius_novaehollandiae ENSDNVG00000005923
crocodylus_porosus ENSCPRG00005008117
pogona_vitticeps ENSPVIG00000009404
notechis_scutatus ENSNSUG00000005985
salvator_merianae ENSSMRG00000008774
anolis_carolinensis ENSACAG00000011516
sphenodon_punctatus ENSSPUG00000015061
sarcophilus_harrisii ENSSHAG00000004814
monodelphis_domestica ENSMODG00000013836
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000493
cricetulus_griseus_crigri-picr ENSCGRG00015004136
cricetulus_griseus_crigri_1.0 ENSCGRG00000000772
peromyscus_maniculatus_bairdii ENSPEMG00000015812
microtus_ochrogaster ENSMOCG00000008990
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028819
mus_spicilegus ENSMSIG00000009668
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040557
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024400
rattus_norvegicus ENSRNOG00000046700
rattus_norvegicus ENSRNOG00000029425
meriones_unguiculatus ENSMUGG00000023960
nannospalax_galili ENSNGAG00000021927
castor_canadensis ENSCCNG00000030107
spermophilus_dauricus ENSSDAG00000017589
spermophilus_dauricus ENSSDAG00000017637
ictidomys_tridecemlineatus ENSSTOG00000021502
urocitellus_parryii ENSUPAG00010000370
marmota_marmota_marmota ENSMMMG00000008950
ursus_americanus ENSUAMG00000004577
ursus_maritimus ENSUMAG00000013997
mustela_putorius_furo ENSMPUG00000016084
canis_lupus_familiaris ENSCAFG00000012503
canis_lupus_dingo ENSCAFG00020012379
vulpes_vulpes ENSVVUG00000024826
felis_catus ENSFCAG00000034574
myotis_lucifugus ENSMLUG00000002222
capra_hircus ENSCHIG00000020950
ovis_aries ENSOARG00000011998
