,H21P03.2.1_WBGene00010409,FBtr0273339_FBgn0032251,FBtr0301167_FBgn0032251,ENSEBUT00000009087_ENSEBUG00000005551,ENSEBUT00000009100_ENSEBUG00000005551,ENSPMAT00000004509_ENSPMAG00000004105,ENSGALT00000015470_ENSGALG00000009504
H21P03.2.1_WBGene00010409,1.0,0.12,0.12,0.03,0.07,0.04,0.03
FBtr0273339_FBgn0032251,0.12,1.0,0.89,1e-18,0.04,0.02,1e-18
FBtr0301167_FBgn0032251,0.12,0.89,1.0,1e-18,0.04,0.02,1e-18
ENSEBUT00000009087_ENSEBUG00000005551,0.03,1e-18,1e-18,1.0,0.44,0.08,0.23
ENSEBUT00000009100_ENSEBUG00000005551,0.07,0.04,0.04,0.44,1.0,0.06,0.21
ENSPMAT00000004509_ENSPMAG00000004105,0.04,0.02,0.02,0.08,0.06,1.0,0.21
ENSGALT00000015470_ENSGALG00000009504,0.03,1e-18,1e-18,0.23,0.21,0.21,1.0
