pogona_vitticeps ENSPVIG00000008721
anolis_carolinensis ENSACAG00000013919
notechis_scutatus ENSNSUG00000011385
salvator_merianae ENSSMRG00000002313
sphenodon_punctatus ENSSPUG00000003547
apteryx_haastii ENSAHAG00000010927
apteryx_owenii ENSAOWG00000009403
apteryx_rowi ENSARWG00000012446
dromaius_novaehollandiae ENSDNVG00000002654
nothoprocta_perdicaria ENSNPEG00000001334
calidris_pugnax ENSCPUG00000019876
calidris_pugnax ENSCPUG00000019875
calidris_pygmaea ENSCPGG00000007955
lepidothrix_coronata ENSLCOG00000008625
manacus_vitellinus ENSMVIG00005013758
cyanistes_caeruleus ENSCCEG00000013538
parus_major ENSPMJG00000019694
ficedula_albicollis ENSFALG00000005959
taeniopygia_guttata ENSTGUG00000016652
taeniopygia_guttata ENSTGUG00000006952
lonchura_striata_domestica ENSLSDG00000009238
serinus_canaria ENSSCAG00000010349
junco_hyemalis ENSJHYG00000003201
zonotrichia_albicollis ENSZALG00000015093
melopsittacus_undulatus ENSMUNG00000002585
anser_brachyrhynchus ENSABRG00000012936
anas_platyrhynchos_platyrhynchos ENSAPLG00000004676
meleagris_gallopavo ENSMGAG00000006646
gallus_gallus ENSGALG00000004649
coturnix_japonica ENSCJPG00005015891
numida_meleagris ENSNMEG00000018293
crocodylus_porosus ENSCPRG00005013113
gopherus_agassizii ENSGAGG00000003572
chelonoidis_abingdonii ENSCABG00000022478
chrysemys_picta_bellii ENSCPBG00000016203
pelodiscus_sinensis ENSPSIG00000017353
phascolarctos_cinereus ENSPCIG00000020001
notamacropus_eugenii ENSMEUG00000014774
sarcophilus_harrisii ENSSHAG00000001812
ovis_aries ENSOARG00000017132
capra_hircus ENSCHIG00000025473
bos_mutus ENSBMUG00000011977
bos_taurus ENSBTAG00000018880
bison_bison_bison ENSBBBG00000008033
tursiops_truncatus ENSTTRG00000001203
sus_scrofa ENSSSCG00000017863
equus_caballus ENSECAG00000022758
equus_asinus_asinus ENSEASG00005012779
pteropus_vampyrus ENSPVAG00000012735
myotis_lucifugus ENSMLUG00000016308
ursus_maritimus ENSUMAG00000007813
ursus_americanus ENSUAMG00000028011
ailuropoda_melanoleuca ENSAMEG00000009133
neovison_vison ENSNVIG00000015417
mustela_putorius_furo ENSMPUG00000012097
canis_lupus_dingo ENSCAFG00020008367
canis_lupus_familiaris ENSCAFG00000019339
vulpes_vulpes ENSVVUG00000025528
panthera_pardus ENSPPRG00000009839
panthera_tigris_altaica ENSPTIG00000001468
felis_catus ENSFCAG00000007921
sorex_araneus ENSSARG00000004344
erinaceus_europaeus ENSEEUG00000013355
pan_troglodytes ENSPTRG00000024045
pan_paniscus ENSPPAG00000005768
gorilla_gorilla ENSGGOG00000009871
homo_sapiens ENSG00000196689
pongo_abelii ENSPPYG00000007815
nomascus_leucogenys ENSNLEG00000017243
rhinopithecus_roxellana ENSRROG00000032639
rhinopithecus_bieti ENSRBIG00000043697
piliocolobus_tephrosceles ENSPTEG00000038916
colobus_angolensis_palliatus ENSCANG00000033282
theropithecus_gelada ENSTGEG00000016865
papio_anubis ENSPANG00000024358
mandrillus_leucophaeus ENSMLEG00000033670
cercocebus_atys ENSCATG00000041693
macaca_fascicularis ENSMFAG00000040334
macaca_nemestrina ENSMNEG00000027787
macaca_mulatta ENSMMUG00000000711
chlorocebus_sabaeus ENSCSAG00000013654
cebus_capucinus_imitator ENSCCAG00000037184
callithrix_jacchus ENSCJAG00000007063
saimiri_boliviensis_boliviensis ENSSBOG00000033403
aotus_nancymaae ENSANAG00000028188
carlito_syrichta ENSTSYG00000006457
prolemur_simus ENSPSMG00000018282
microcebus_murinus ENSMICG00000015702
propithecus_coquereli ENSPCOG00000023804
otolemur_garnettii ENSOGAG00000004445
tupaia_belangeri ENSTBEG00000005381
mus_spicilegus ENSMSIG00000011817
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017529
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000005952
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016692
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017825
rattus_norvegicus ENSRNOG00000019486
meriones_unguiculatus ENSMUGG00000020281
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016704
cricetulus_griseus_crigri-picr ENSCGRG00015021468
cricetulus_griseus_crigri_1.0 ENSCGRG00000012430
mesocricetus_auratus ENSMAUG00000008181
microtus_ochrogaster ENSMOCG00000015640
peromyscus_maniculatus_bairdii ENSPEMG00000017952
nannospalax_galili ENSNGAG00000013930
jaculus_jaculus ENSJJAG00000010388
castor_canadensis ENSCCNG00000007670
dipodomys_ordii ENSDORG00000009857
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011943
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001306
fukomys_damarensis ENSFDAG00000005682
chinchilla_lanigera ENSCLAG00000009084
octodon_degus ENSODEG00000016421
cavia_porcellus ENSCPOG00000010142
cavia_aperea ENSCAPG00000017565
urocitellus_parryii ENSUPAG00010021579
spermophilus_dauricus ENSSDAG00000000317
marmota_marmota_marmota ENSMMMG00000019397
ictidomys_tridecemlineatus ENSSTOG00000002029
oryctolagus_cuniculus ENSOCUG00000012228
ochotona_princeps ENSOPRG00000016865
loxodonta_africana ENSLAFG00000013211
procavia_capensis ENSPCAG00000011898
echinops_telfairi ENSETEG00000007781
dasypus_novemcinctus ENSDNOG00000018253
ornithorhynchus_anatinus ENSOANG00000012698
xenopus_tropicalis ENSXETG00000005790
latimeria_chalumnae ENSLACG00000004526
