notechis_scutatus ENSNSUG00000003544
apteryx_owenii ENSAOWG00000006643
latimeria_chalumnae ENSLACG00000000214
gopherus_agassizii ENSGAGG00000008716
chelonoidis_abingdonii ENSCABG00000012481
chrysemys_picta_bellii ENSCPBG00000013441
pelodiscus_sinensis ENSPSIG00000013834
apteryx_haastii ENSAHAG00000010375
apteryx_owenii ENSAOWG00000013147
apteryx_rowi ENSARWG00000009793
nothoprocta_perdicaria ENSNPEG00000010579
lonchura_striata_domestica ENSLSDG00000016976
taeniopygia_guttata ENSTGUG00000007177
serinus_canaria ENSSCAG00000008995
junco_hyemalis ENSJHYG00000008839
zonotrichia_albicollis ENSZALG00000009851
parus_major ENSPMJG00000012637
cyanistes_caeruleus ENSCCEG00000010042
ficedula_albicollis ENSFALG00000010309
lepidothrix_coronata ENSLCOG00000012264
manacus_vitellinus ENSMVIG00005003875
melopsittacus_undulatus ENSMUNG00000007397
calidris_pygmaea ENSCPGG00000001504
calidris_pugnax ENSCPUG00000004462
anas_platyrhynchos_platyrhynchos ENSAPLG00000015737
anser_brachyrhynchus ENSABRG00000001360
gallus_gallus ENSGALG00000010163
meleagris_gallopavo ENSMGAG00000010694
coturnix_japonica ENSCJPG00005016087
numida_meleagris ENSNMEG00000001791
dromaius_novaehollandiae ENSDNVG00000013484
apteryx_haastii ENSAHAG00000019302
meleagris_gallopavo ENSMGAG00000016423
crocodylus_porosus ENSCPRG00005006692
sphenodon_punctatus ENSSPUG00000001855
pogona_vitticeps ENSPVIG00000007362
anolis_carolinensis ENSACAG00000007193
salvator_merianae ENSSMRG00000017215
notamacropus_eugenii ENSMEUG00000007546
phascolarctos_cinereus ENSPCIG00000034751
monodelphis_domestica ENSMODG00000020406
colobus_angolensis_palliatus ENSCANG00000041058
piliocolobus_tephrosceles ENSPTEG00000032042
rhinopithecus_bieti ENSRBIG00000044619
rhinopithecus_roxellana ENSRROG00000029956
papio_anubis ENSPANG00000010802
theropithecus_gelada ENSTGEG00000024410
mandrillus_leucophaeus ENSMLEG00000029248
cercocebus_atys ENSCATG00000039556
chlorocebus_sabaeus ENSCSAG00000004119
macaca_nemestrina ENSMNEG00000043876
macaca_mulatta ENSMMUG00000020942
macaca_fascicularis ENSMFAG00000037729
pan_paniscus ENSPPAG00000034015
pan_troglodytes ENSPTRG00000005223
gorilla_gorilla ENSGGOG00000002897
homo_sapiens ENSG00000139292
pongo_abelii ENSPPYG00000004772
nomascus_leucogenys ENSNLEG00000004321
saimiri_boliviensis_boliviensis ENSSBOG00000021612
cebus_capucinus ENSCCAG00000023676
callithrix_jacchus ENSCJAG00000001428
aotus_nancymaae ENSANAG00000005420
carlito_syrichta ENSTSYG00000005445
propithecus_coquereli ENSPCOG00000016048
prolemur_simus ENSPSMG00000005539
microcebus_murinus ENSMICG00000009125
otolemur_garnettii ENSOGAG00000025619
tupaia_belangeri ENSTBEG00000000135
castor_canadensis ENSCCNG00000018029
dipodomys_ordii ENSDORG00000006266
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016637
mus_spicilegus ENSMSIG00000017617
mus_musculus ENSMUSG00000020140
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015815
mus_pahari MGP_PahariEiJ_G0031271
rattus_norvegicus ENSRNOG00000004221
meriones_unguiculatus ENSMUGG00000025846
cricetulus_griseus_crigri ENSCGRG00000012493
cricetulus_griseus_chok1gshd ENSCGRG00001004374
cricetulus_griseus_crigri-picr ENSCGRG00015008722
mesocricetus_auratus ENSMAUG00000020934
microtus_ochrogaster ENSMOCG00000014250
peromyscus_maniculatus_bairdii ENSPEMG00000021300
nannospalax_galili ENSNGAG00000013971
jaculus_jaculus ENSJJAG00000022872
chinchilla_lanigera ENSCLAG00000007212
octodon_degus ENSODEG00000005026
cavia_porcellus ENSCPOG00000036056
cavia_aperea ENSCAPG00000016718
heterocephalus_glaber_male ENSHGLG00100009009
heterocephalus_glaber_female ENSHGLG00000004903
fukomys_damarensis ENSFDAG00000017976
urocitellus_parryii ENSUPAG00010023426
ictidomys_tridecemlineatus ENSSTOG00000002616
spermophilus_dauricus ENSSDAG00000006336
marmota_marmota_marmota ENSMMMG00000003006
oryctolagus_cuniculus ENSOCUG00000009203
ochotona_princeps ENSOPRG00000008054
pteropus_vampyrus ENSPVAG00000012350
myotis_lucifugus ENSMLUG00000011694
sus_scrofa ENSSSCG00000030511
vicugna_pacos ENSVPAG00000010905
bos_taurus ENSBTAG00000013256
bos_mutus ENSBMUG00000019856
ovis_aries ENSOARG00000014558
capra_hircus ENSCHIG00000018190
tursiops_truncatus ENSTTRG00000007327
sorex_araneus ENSSARG00000008125
equus_caballus ENSECAG00000011949
equus_asinus_asinus ENSEASG00005008216
ursus_americanus ENSUAMG00000001895
ursus_maritimus ENSUMAG00000020996
ailuropoda_melanoleuca ENSAMEG00000000527
mustela_putorius_furo ENSMPUG00000017489
neovison_vison ENSNVIG00000011715
panthera_pardus ENSPPRG00000011314
panthera_tigris_altaica ENSPTIG00000003854
felis_catus ENSFCAG00000008064
bison_bison_bison ENSBBBG00000002870
canis_lupus_dingo ENSCAFG00020016549
erinaceus_europaeus ENSEEUG00000015433
choloepus_hoffmanni ENSCHOG00000011170
dasypus_novemcinctus ENSDNOG00000047884
loxodonta_africana ENSLAFG00000005815
procavia_capensis ENSPCAG00000003639
echinops_telfairi ENSETEG00000018359
ornithorhynchus_anatinus ENSOANG00000003010
xenopus_tropicalis ENSXETG00000032366
scleropages_formosus ENSSFOG00015018017
paramormyrops_kingsleyae ENSPKIG00000023126
scleropages_formosus ENSSFOG00015005424
paramormyrops_kingsleyae ENSPKIG00000022969
lepisosteus_oculatus ENSLOCG00000016234
poecilia_formosa ENSPFOG00000011103
poecilia_mexicana ENSPMEG00000022714
poecilia_latipinna ENSPLAG00000002656
poecilia_reticulata ENSPREG00000005750
xiphophorus_maculatus ENSXMAG00000023222
gambusia_affinis ENSGAFG00000003989
cyprinodon_variegatus ENSCVAG00000020174
kryptolebias_marmoratus ENSKMAG00000007689
oryzias_latipes_asm223469v1 ENSORLG00015004252
oryzias_latipes ENSORLG00000023868
oryzias_latipes ENSORLG00020004858
oryzias_melastigma ENSOMEG00000022743
amphiprion_percula ENSAPEG00000023978
amphiprion_ocellaris ENSAOCG00000012255
acanthochromis_polyacanthus ENSAPOG00000007699
stegastes_partitus ENSSPAG00000012943
scophthalmus_maximus ENSSMAG00000007310
mastacembelus_armatus ENSMAMG00000018441
anabas_testudineus ENSATEG00000023539
seriola_lalandi_dorsalis ENSSLDG00000013610
seriola_dumerili ENSSDUG00000014319
labrus_bergylta ENSLBEG00000005970
haplochromis_burtoni ENSHBUG00000003269
maylandia_zebra ENSMZEG00005020958
