denticeps_clupeoides ENSDCDG00000004941
clupea_harengus ENSCHAG00000002078
astyanax_mexicanus ENSAMXG00005013299
astyanax_mexicanus ENSAMXG00000032658
pygocentrus_nattereri ENSPNAG00000024843
electrophorus_electricus ENSEEEG00000017020
ictalurus_punctatus ENSIPUG00000002553
danio_rerio ENSDARG00000097284
hucho_hucho ENSHHUG00000008387
hucho_hucho ENSHHUG00000022038
esox_lucius ENSELUG00000000925
amphiprion_ocellaris ENSAOCG00000014833
amphiprion_percula ENSAPEG00000018206
acanthochromis_polyacanthus ENSAPOG00000014424
stegastes_partitus ENSSPAG00000021459
parambassis_ranga ENSPRNG00000011145
maylandia_zebra ENSMZEG00005025479
astatotilapia_calliptera ENSACLG00000011829
haplochromis_burtoni ENSHBUG00000012559
pundamilia_nyererei ENSPNYG00000005821
neolamprologus_brichardi ENSNBRG00000001787
amphilophus_citrinellus ENSACIG00000001689
monopterus_albus ENSMALG00000006668
mastacembelus_armatus ENSMAMG00000023619
anabas_testudineus ENSATEG00000023569
betta_splendens ENSBSLG00000017781
scophthalmus_maximus ENSSMAG00000001285
cynoglossus_semilaevis ENSCSEG00000005482
lates_calcarifer ENSLCAG00010007006
seriola_dumerili ENSSDUG00000013382
seriola_lalandi ENSSLDG00000015667
cottoperca_gobio ENSCGOG00000016228
larimichthys_crocea ENSLCRG00005010841
labrus_bergylta ENSLBEG00000011293
gouania_willdenowi ENSGWIG00000007406
hippocampus_comes ENSHCOG00000006881
mola_mola ENSMMOG00000014058
takifugu_rubripes ENSTRUG00000023415
xiphophorus_couchianus ENSXCOG00000015425
xiphophorus_maculatus ENSXMAG00000027239
gambusia_affinis ENSGAFG00000003396
poecilia_latipinna ENSPLAG00000005904
poecilia_formosa ENSPFOG00000007697
poecilia_mexicana ENSPMEG00000021046
poecilia_reticulata ENSPREG00000007869
fundulus_heteroclitus ENSFHEG00000005699
cyprinodon_variegatus ENSCVAG00000008355
kryptolebias_marmoratus ENSKMAG00000014102
oryzias_latipes ENSORLG00000029441
oryzias_latipes ENSORLG00020002636
oryzias_latipes ENSORLG00015018748
oryzias_melastigma ENSOMEG00000010605
periophthalmus_magnuspinnatus ENSPMGG00000013595
scleropages_formosus ENSSFOG00015019352
paramormyrops_kingsleyae ENSPKIG00000024579
