scleropages_formosus ENSSFOG00015000958
paramormyrops_kingsleyae ENSPKIG00000022600
mastacembelus_armatus ENSMAMG00000012029
monopterus_albus ENSMALG00000004615
anabas_testudineus ENSATEG00000002009
scophthalmus_maximus ENSSMAG00000008683
cynoglossus_semilaevis ENSCSEG00000016220
seriola_dumerili ENSSDUG00000009443
seriola_lalandi_dorsalis ENSSLDG00000003883
gasterosteus_aculeatus ENSGACG00000018408
tetraodon_nigroviridis ENSTNIG00000005612
labrus_bergylta ENSLBEG00000023146
xiphophorus_maculatus ENSXMAG00000010173
gambusia_affinis ENSGAFG00000006637
poecilia_formosa ENSPFOG00000001357
poecilia_mexicana ENSPMEG00000003382
poecilia_reticulata ENSPREG00000019337
fundulus_heteroclitus ENSFHEG00000007698
kryptolebias_marmoratus ENSKMAG00000008688
oryzias_latipes ENSORLG00000007236
oryzias_latipes ENSORLG00020006940
oryzias_latipes_asm223469v1 ENSORLG00015006073
oryzias_melastigma ENSOMEG00000011024
astatotilapia_calliptera ENSACLG00000002231
maylandia_zebra ENSMZEG00005009149
haplochromis_burtoni ENSHBUG00000004331
oreochromis_niloticus ENSONIG00000017698
amphiprion_percula ENSAPEG00000012124
amphiprion_ocellaris ENSAOCG00000021056
acanthochromis_polyacanthus ENSAPOG00000007033
amphilophus_citrinellus ENSACIG00000016951
hippocampus_comes ENSHCOG00000006438
gadus_morhua ENSGMOG00000007000
esox_lucius ENSELUG00000019853
esox_lucius ENSELUG00000019826
pygocentrus_nattereri ENSPNAG00000012752
astyanax_mexicanus ENSAMXG00000003182
ictalurus_punctatus ENSIPUG00000016662
danio_rerio ENSDARG00000068586
lepisosteus_oculatus ENSLOCG00000011878
xenopus_tropicalis ENSXETG00000019629
