ENSVURP00010001946	ENSVURG00010001621	Vombatus_ursinus
ENSPCIP00000002351	ENSPCIG00000001942	Phascolarctos_cinereus
ENSMEUP00000003824	ENSMEUG00000004197	Notamacropus_eugenii
ENSSHAP00000018055	ENSSHAG00000015330	Sarcophilus_harrisii
ENSMODP00000051192	ENSMODG00000018105	Monodelphis_domestica
ENSPTIP00000015956	ENSPTIG00000014865	Panthera_tigris_altaica
ENSPPRP00000013175	ENSPPRG00000006494	Panthera_pardus
ENSCAFP00000021750	ENSCAFG00000014740	Canis_lupus_familiaris
ENSVVUP00000015444	ENSVVUG00000011329	Vulpes_vulpes
ENSFCAP00000045043	ENSFCAG00000006882	Felis_catus
ENSNVIP00000032004	ENSNVIG00000024638	Neovison_vison
ENSPANP00000017329	ENSPANG00000014845	Papio_anubis
ENSTGEP00000010789	ENSTGEG00000008794	Theropithecus_gelada
ENSMNEP00000010084	ENSMNEG00000029452	Macaca_nemestrina
ENSPTEP00000040958	ENSPTEG00000037654	Piliocolobus_tephrosceles
ENSPPAP00000041881	ENSPPAG00000043539	Pan_paniscus
ENSSBOP00000006967	ENSSBOG00000020182	Saimiri_boliviensis_boliviensis
ENSRROP00000022261	ENSRROG00000034990	Rhinopithecus_roxellana
ENSCSAP00000006589	ENSCSAG00000010379	Chlorocebus_sabaeus
ENSNLEP00000005448	ENSNLEG00000004506	Nomascus_leucogenys
ENSP00000380019	ENSG00000126746	Homo_sapiens
ENSCCAP00000028338	ENSCCAG00000032088	Cebus_capucinus_imitator
ENSCJAP00000014771	ENSCJAG00000007944	Callithrix_jacchus
ENSMLEP00000006854	ENSMLEG00000027305	Mandrillus_leucophaeus
ENSCATP00000001986	ENSCATG00000008991	Cercocebus_atys
ENSMMUP00000022348	ENSMMUG00000016990	Macaca_mulatta
ENSMFAP00000002447	ENSMFAG00000037538	Macaca_fascicularis
ENSRBIP00000020802	ENSRBIG00000034371	Rhinopithecus_bieti
ENSCANP00000039586	ENSCANG00000043460	Colobus_angolensis_palliatus
ENSGGOP00000025548	ENSGGOG00000016048	Gorilla_gorilla
ENSPTRP00000044259	ENSPTRG00000004584	Pan_troglodytes
ENSPPYP00000004781	ENSPPYG00000004196	Pongo_abelii
ENSPSMP00000023239	ENSPSMG00000016435	Prolemur_simus
ENSPCOP00000024467	ENSPCOG00000024423	Propithecus_coquereli
