,ENSLOCT00000004285_ENSLOCG00000003611,ENSECRT00000008168_ENSECRG00000005364,ENSOART00000008401_ENSOARG00000007718,ENSCHIT00000020646_ENSCHIG00000014477
ENSLOCT00000004285_ENSLOCG00000003611,1.0,0.31,0.36,0.36
ENSECRT00000008168_ENSECRG00000005364,0.31,1.0,0.75,0.75
ENSOART00000008401_ENSOARG00000007718,0.36,0.75,1.0,0.9
ENSCHIT00000020646_ENSCHIG00000014477,0.36,0.75,0.9,1.0
