,ENSGAGT00000021847,ENSGAGT00000021849,ENSCABT00000017464
ENSGAGT00000021847,1.0,0.6186291739894552,0.6151142355008787
ENSGAGT00000021849,0.6186291739894552,1.0,0.9964850615114236
ENSCABT00000017464,0.6151142355008787,0.9964850615114236,1.0
