	ENSVURT00010026838	ENSMUST00000040536	ENSMODT00000007452	MGP_CAROLIEiJ_T0032903	ENSSHAT00000020448	ENSMSIT00000016100	ENSRNOT00000011563	MGP_SPRETEiJ_T0034420	MGP_PahariEiJ_T0083022	ENSMUGT00000019281	ENSPCIT00000004208
ENSVURT00010026838	1.0	0.7367149758454107	0.927536231884058	0.7294685990338164	0.929951690821256	0.7342995169082126	0.7318840579710145	0.7270531400966184	0.7294685990338164	0.7391304347826086	0.961352657004831
ENSMUST00000040536	0.7367149758454107	1.0	0.7391304347826086	0.9855072463768116	0.7222222222222222	0.997584541062802	0.9565217391304348	0.9903381642512076	0.9685990338164252	0.929951690821256	0.7198067632850241
ENSMODT00000007452	0.927536231884058	0.7391304347826086	1.0	0.7294685990338164	0.9057971014492754	0.7367149758454107	0.7318840579710145	0.7342995169082126	0.7246376811594203	0.7294685990338164	0.9202898550724636
MGP_CAROLIEiJ_T0032903	0.7294685990338164	0.9855072463768116	0.7294685990338164	1.0	0.7125603864734299	0.9830917874396136	0.9516908212560388	0.9903381642512076	0.9734299516908212	0.9154589371980676	0.7125603864734299
ENSSHAT00000020448	0.929951690821256	0.7222222222222222	0.9057971014492754	0.7125603864734299	1.0	0.7198067632850241	0.7173913043478259	0.7125603864734299	0.7173913043478259	0.7198067632850241	0.932367149758454
ENSMSIT00000016100	0.7342995169082126	0.997584541062802	0.7367149758454107	0.9830917874396136	0.7198067632850241	1.0	0.9541062801932368	0.9879227053140096	0.966183574879227	0.927536231884058	0.7173913043478259
ENSRNOT00000011563	0.7318840579710145	0.9565217391304348	0.7318840579710145	0.9516908212560388	0.7173913043478259	0.9541062801932368	1.0	0.9468599033816424	0.9541062801932368	0.927536231884058	0.7173913043478259
MGP_SPRETEiJ_T0034420	0.7270531400966184	0.9903381642512076	0.7342995169082126	0.9903381642512076	0.7125603864734299	0.9879227053140096	0.9468599033816424	1.0	0.9734299516908212	0.9202898550724636	0.7149758454106279
MGP_PahariEiJ_T0083022	0.7294685990338164	0.9685990338164252	0.7246376811594203	0.9734299516908212	0.7173913043478259	0.966183574879227	0.9541062801932368	0.9734299516908212	1.0	0.9178743961352656	0.7149758454106279
ENSMUGT00000019281	0.7391304347826086	0.929951690821256	0.7294685990338164	0.9154589371980676	0.7198067632850241	0.927536231884058	0.927536231884058	0.9202898550724636	0.9178743961352656	1.0	0.7270531400966184
ENSPCIT00000004208	0.961352657004831	0.7198067632850241	0.9202898550724636	0.7125603864734299	0.932367149758454	0.7173913043478259	0.7173913043478259	0.7149758454106279	0.7149758454106279	0.7270531400966184	1.0
