serinus_canaria ENSSCAG00000000395
parus_major ENSPMJG00000018313
anas_platyrhynchos_platyrhynchos ENSAPLG00000024946
apteryx_owenii ENSAOWG00000000148
crocodylus_porosus ENSCPRG00005002490
notechis_scutatus ENSNSUG00000013300
mandrillus_leucophaeus ENSMLEG00000037136
papio_anubis ENSPANG00000002589
macaca_nemestrina ENSMNEG00000019507
cercocebus_atys ENSCATG00000033447
piliocolobus_tephrosceles ENSPTEG00000014165
cebus_capucinus ENSCCAG00000022440
microcebus_murinus ENSMICG00000042030
mus_spicilegus ENSMSIG00000016777
vicugna_pacos ENSVPAG00000002224
vulpes_vulpes ENSVVUG00000004759
