anolis_carolinensis ENSACAG00000008047
pogona_vitticeps ENSPVIG00000016010
salvator_merianae ENSSMRG00000012047
notechis_scutatus ENSNSUG00000006926
sphenodon_punctatus ENSSPUG00000015944
chelonoidis_abingdonii ENSCABG00000007131
gopherus_agassizii ENSGAGG00000008123
chrysemys_picta_bellii ENSCPBG00000020129
lepidothrix_coronata ENSLCOG00000007818
junco_hyemalis ENSJHYG00000000180
melopsittacus_undulatus ENSMUNG00000008162
calidris_pygmaea ENSCPGG00000017023
calidris_pugnax ENSCPUG00000019410
anser_brachyrhynchus ENSABRG00000017529
anas_platyrhynchos_platyrhynchos ENSAPLG00000026184
gallus_gallus ENSGALG00000046727
coturnix_japonica ENSCJPG00005003561
numida_meleagris ENSNMEG00000013622
lonchura_striata_domestica ENSLSDG00000003562
apteryx_haastii ENSAHAG00000015731
apteryx_owenii ENSAOWG00000016795
apteryx_rowi ENSARWG00000007595
dromaius_novaehollandiae ENSDNVG00000004768
nothoprocta_perdicaria ENSNPEG00000002261
latimeria_chalumnae ENSLACG00000018703
labrus_bergylta ENSLBEG00000022390
gasterosteus_aculeatus ENSGACG00000000443
mola_mola ENSMMOG00000003903
amphiprion_percula ENSAPEG00000008228
amphiprion_ocellaris ENSAOCG00000018306
acanthochromis_polyacanthus ENSAPOG00000009333
stegastes_partitus ENSSPAG00000001637
astatotilapia_calliptera ENSACLG00000004782
maylandia_zebra ENSMZEG00005022931
haplochromis_burtoni ENSHBUG00000005426
pundamilia_nyererei ENSPNYG00000019312
neolamprologus_brichardi ENSNBRG00000011717
oreochromis_niloticus ENSONIG00000019266
amphilophus_citrinellus ENSACIG00000022691
cyprinodon_variegatus ENSCVAG00000004798
cyprinodon_variegatus ENSCVAG00000004908
fundulus_heteroclitus ENSFHEG00000006759
xiphophorus_maculatus ENSXMAG00000003597
xiphophorus_couchianus ENSXCOG00000010244
gambusia_affinis ENSGAFG00000003970
poecilia_formosa ENSPFOG00000016233
poecilia_mexicana ENSPMEG00000003031
poecilia_latipinna ENSPLAG00000006014
poecilia_reticulata ENSPREG00000013358
