erinaceus_europaeus ENSEEUG00000004978
sorex_araneus ENSSARG00000000227
ursus_maritimus ENSUMAG00000000985
ursus_americanus ENSUAMG00000012325
ailuropoda_melanoleuca ENSAMEG00000010600
mustela_putorius_furo ENSMPUG00000015174
neovison_vison ENSNVIG00000023348
canis_lupus_dingo ENSCAFG00020025815
canis_lupus_familiaris ENSCAFG00000031888
vulpes_vulpes ENSVVUG00000008256
panthera_pardus ENSPPRG00000011252
panthera_tigris_altaica ENSPTIG00000014219
felis_catus ENSFCAG00000029371
pteropus_vampyrus ENSPVAG00000001365
myotis_lucifugus ENSMLUG00000009837
bos_mutus ENSBMUG00000015347
bos_taurus ENSBTAG00000005195
bison_bison_bison ENSBBBG00000022509
bison_bison_bison ENSBBBG00000023270
capra_hircus ENSCHIG00000022207
capra_hircus ENSCHIG00000005451
capra_hircus ENSCHIG00000015083
ovis_aries ENSOARG00000001482
tursiops_truncatus ENSTTRG00000011655
sus_scrofa ENSSSCG00000007965
equus_caballus ENSECAG00000007791
equus_asinus_asinus ENSEASG00005006098
gorilla_gorilla ENSGGOG00000025449
homo_sapiens ENSG00000010539
pan_troglodytes ENSPTRG00000048527
pan_troglodytes ENSPTRG00000007689
pan_paniscus ENSPPAG00000029115
pongo_abelii ENSPPYG00000007036
nomascus_leucogenys ENSNLEG00000033803
cercocebus_atys ENSCATG00000037175
mandrillus_leucophaeus ENSMLEG00000038087
theropithecus_gelada ENSTGEG00000025586
papio_anubis ENSPANG00000009198
macaca_mulatta ENSMMUG00000017972
macaca_fascicularis ENSMFAG00000043461
macaca_nemestrina ENSMNEG00000044921
chlorocebus_sabaeus ENSCSAG00000010096
piliocolobus_tephrosceles ENSPTEG00000012554
colobus_angolensis_palliatus ENSCANG00000030727
rhinopithecus_bieti ENSRBIG00000038768
rhinopithecus_roxellana ENSRROG00000034377
cebus_capucinus_imitator ENSCCAG00000023518
saimiri_boliviensis_boliviensis ENSSBOG00000029594
callithrix_jacchus ENSCJAG00000015577
aotus_nancymaae ENSANAG00000024384
carlito_syrichta ENSTSYG00000029961
castor_canadensis ENSCCNG00000004479
chinchilla_lanigera ENSCLAG00000013759
octodon_degus ENSODEG00000013640
cavia_porcellus ENSCPOG00000032215
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007477
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003359
fukomys_damarensis ENSFDAG00000016524
spermophilus_dauricus ENSSDAG00000008478
urocitellus_parryii ENSUPAG00010018607
ictidomys_tridecemlineatus ENSSTOG00000013104
marmota_marmota_marmota ENSMMMG00000007935
oryctolagus_cuniculus ENSOCUG00000004948
ochotona_princeps ENSOPRG00000012944
microcebus_murinus ENSMICG00000026729
prolemur_simus ENSPSMG00000017320
propithecus_coquereli ENSPCOG00000017747
otolemur_garnettii ENSOGAG00000028728
tupaia_belangeri ENSTBEG00000012192
choloepus_hoffmanni ENSCHOG00000006590
dasypus_novemcinctus ENSDNOG00000042651
procavia_capensis ENSPCAG00000015754
loxodonta_africana ENSLAFG00000008040
echinops_telfairi ENSETEG00000008038
sarcophilus_harrisii ENSSHAG00000016550
monodelphis_domestica ENSMODG00000024573
phascolarctos_cinereus ENSPCIG00000010640
