numida_meleagris ENSNMEG00000015047
gallus_gallus ENSGALG00000016276
anser_brachyrhynchus ENSABRG00000021697
anas_platyrhynchos_platyrhynchos ENSAPLG00000013452
calidris_pygmaea ENSCPGG00000005187
calidris_pugnax ENSCPUG00000005989
manacus_vitellinus ENSMVIG00005011902
lepidothrix_coronata ENSLCOG00000003470
taeniopygia_guttata ENSTGUG00000012786
lonchura_striata_domestica ENSLSDG00000007721
serinus_canaria ENSSCAG00000008710
junco_hyemalis ENSJHYG00000018170
zonotrichia_albicollis ENSZALG00000005464
ficedula_albicollis ENSFALG00000001691
cyanistes_caeruleus ENSCCEG00000001052
parus_major ENSPMJG00000008850
coturnix_japonica ENSCJPG00005007414
meleagris_gallopavo ENSMGAG00000013877
apteryx_rowi ENSARWG00000005811
apteryx_owenii ENSAOWG00000016705
dromaius_novaehollandiae ENSDNVG00000011797
nothoprocta_perdicaria ENSNPEG00000008207
crocodylus_porosus ENSCPRG00005012485
chelonoidis_abingdonii ENSCABG00000019956
gopherus_agassizii ENSGAGG00000001484
chrysemys_picta_bellii ENSCPBG00000022649
pelodiscus_sinensis ENSPSIG00000015531
sphenodon_punctatus ENSSPUG00000006155
gopherus_agassizii ENSGAGG00000023457
ornithorhynchus_anatinus ENSOANG00000029334
melopsittacus_undulatus ENSMUNG00000010790
melopsittacus_undulatus ENSMUNG00000010789
gopherus_agassizii ENSGAGG00000002208
chelonoidis_abingdonii ENSCABG00000021061
pelodiscus_sinensis ENSPSIG00000015682
nannospalax_galili ENSNGAG00000002976
castor_canadensis ENSCCNG00000007538
rhinopithecus_roxellana ENSRROG00000033811
bison_bison_bison ENSBBBG00000022945
anolis_carolinensis ENSACAG00000006691
pogona_vitticeps ENSPVIG00000012478
notechis_scutatus ENSNSUG00000006713
salvator_merianae ENSSMRG00000011860
ornithorhynchus_anatinus ENSOANG00000032105
ornithorhynchus_anatinus ENSOANG00000030721
notamacropus_eugenii ENSMEUG00000009120
phascolarctos_cinereus ENSPCIG00000019624
sarcophilus_harrisii ENSSHAG00000013169
monodelphis_domestica ENSMODG00000018714
prolemur_simus ENSPSMG00000021354
propithecus_coquereli ENSPCOG00000018881
microcebus_murinus ENSMICG00000010315
otolemur_garnettii ENSOGAG00000015071
pan_troglodytes ENSPTRG00000018311
pan_paniscus ENSPPAG00000032651
gorilla_gorilla ENSGGOG00000025068
homo_sapiens ENSG00000112232
pongo_abelii ENSPPYG00000029598
rhinopithecus_roxellana ENSRROG00000034097
rhinopithecus_bieti ENSRBIG00000039774
colobus_angolensis_palliatus ENSCANG00000021348
piliocolobus_tephrosceles ENSPTEG00000038243
macaca_nemestrina ENSMNEG00000042875
macaca_fascicularis ENSMFAG00000002823
cercocebus_atys ENSCATG00000042976
papio_anubis ENSPANG00000021881
theropithecus_gelada ENSTGEG00000008358
chlorocebus_sabaeus ENSCSAG00000013462
mandrillus_leucophaeus ENSMLEG00000022013
