ENSEBUP00000004793	ENSEBUG00000003329	Eptatretus_burgeri	ENSEBUT00000005230
ENSPMAP00000000388	ENSPMAG00000000350	Petromyzon_marinus	ENSPMAT00000000389
ENSCAPP00000007179	ENSCAPG00000009176	Cavia_aperea
ENSCPOP00000027989	ENSCPOG00000012287	Cavia_porcellus
ENSCLAP00000007577	ENSCLAG00000005321	Chinchilla_lanigera
ENSODEP00000006188	ENSODEG00000004635	Octodon_degus
ENSHGLP00100016765	ENSHGLG00100012372	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000025033	ENSHGLG00000017840	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000012548	ENSFDAG00000019886	Fukomys_damarensis
ENSEEUP00000001417	ENSEEUG00000001567	Erinaceus_europaeus
ENSPPRP00000012221	ENSPPRG00000005809	Panthera_pardus
ENSPTIP00000026590	ENSPTIG00000021958	Panthera_tigris_altaica
ENSSSCP00000039346	ENSSSCG00000038861	Sus_scrofa_strain_reference
ENSCCNP00000032712	ENSCCNG00000031008	Castor_canadensis
ENSMLUP00000016531	ENSMLUG00000028750	Myotis_lucifugus
ENSPVAP00000012771	ENSPVAG00000013536	Pteropus_vampyrus
ENSBIXP00000042906	ENSBIXG00000026927	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005038110	ENSBIXG00005020166	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000022805	ENSBTAG00000017161	Bos_taurus
ENSBMUP00000001033	ENSBMUG00000000863	Bos_mutus
ENSBBBP00000012398	ENSBBBG00000020219	Bison_bison_bison
ENSCHIP00000032585	ENSCHIG00000026504	Capra_hircus
ENSOARP00000009616	ENSOARG00000008955	Ovis_aries
ENSTTRP00000008209	ENSTTRG00000008650	Tursiops_truncatus
ENSVPAP00000003769	ENSVPAG00000004056	Vicugna_pacos
ENSECAP00000012649	ENSECAG00000015035	Equus_caballus
ENSEASP00005012787	ENSEASG00005008936	Equus_asinus_asinus
ENSSARP00000008964	ENSSARG00000009907	Sorex_araneus
ENSAMEP00000012302	ENSAMEG00000011705	Ailuropoda_melanoleuca
ENSUAMP00000035298	ENSUAMG00000026791	Ursus_americanus
ENSNVIP00000011559	ENSNVIG00000009157	Neovison_vison
ENSMPUP00000007482	ENSMPUG00000007538	Mustela_putorius_furo
ENSCAFP00020015959	ENSCAFG00020012812	Canis_lupus_dingo
ENSFCAP00000051618	ENSFCAG00000000772	Felis_catus
ENSUPAP00010014997	ENSUPAG00010012015	Urocitellus_parryii
ENSSTOP00000025931	ENSSTOG00000008651	Ictidomys_tridecemlineatus
ENSMMMP00000016478	ENSMMMG00000014648	Marmota_marmota_marmota
ENSSDAP00000018262	ENSSDAG00000016691	Spermophilus_dauricus
ENSSDAP00000017714	ENSSDAG00000016144	Spermophilus_dauricus
ENSDORP00000005032	ENSDORG00000005379	Dipodomys_ordii
ENSDORP00000023266	ENSDORG00000024921	Dipodomys_ordii
ENSMSIP00000021580	ENSMSIG00000018301	Mus_spicilegus
ENSMUSP00000099855	ENSMUSG00000028563	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0065531	MGP_SPRETEiJ_G0027151	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0063044	MGP_CAROLIEiJ_G0026183	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0078173	MGP_PahariEiJ_G0028520	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009897	ENSRNOG00000007527	Rattus_norvegicus
