lepisosteus_oculatus ENSLOCG00000015623
erpetoichthys_calabaricus ENSECRG00000000107
salvator_merianae ENSSMRG00000016304
notechis_scutatus ENSNSUG00000020304
sphenodon_punctatus ENSSPUG00000004357
chelonoidis_abingdonii ENSCABG00000019611
gopherus_agassizii ENSGAGG00000009604
chrysemys_picta ENSCPBG00000004481
pelodiscus_sinensis ENSPSIG00000004849
crocodylus_porosus ENSCPRG00005000482
loxodonta_africana ENSLAFG00000002675
procavia_capensis ENSPCAG00000007819
choloepus_hoffmanni ENSCHOG00000011446
dasypus_novemcinctus ENSDNOG00000007141
equus_asinus ENSEASG00005012559
equus_caballus ENSECAG00000026855
sorex_araneus ENSSARG00000008827
ursus_americanus ENSUAMG00000016183
ursus_maritimus ENSUMAG00000025563
ailuropoda_melanoleuca ENSAMEG00000005128
mustela_putorius ENSMPUG00000012714
neovison_vison ENSNVIG00000008723
canis_lupus ENSCAFG00000005508
canis_lupus ENSCAFG00020003499
vulpes_vulpes ENSVVUG00000000644
panthera_pardus ENSPPRG00000002472
panthera_tigris ENSPTIG00000014023
felis_catus ENSFCAG00000038685
pteropus_vampyrus ENSPVAG00000014820
castor_canadensis ENSCCNG00000010033
dipodomys_ordii ENSDORG00000002426
microtus_ochrogaster ENSMOCG00000006839
microtus_ochrogaster ENSMOCG00000010376
peromyscus_maniculatus ENSPEMG00000000525
cricetulus_griseus ENSCGRG00001018975
cricetulus_griseus ENSCGRG00000016330
cricetulus_griseus ENSCGRG00015022526
mesocricetus_auratus ENSMAUG00000014089
mus_spretus MGP_SPRETEiJ_G0032016
mus_musculus ENSMUSG00000031535
mus_spicilegus ENSMSIG00000022292
mus_caroli MGP_CAROLIEiJ_G0030900
mus_pahari MGP_PahariEiJ_G0021368
rattus_norvegicus ENSRNOG00000019267
meriones_unguiculatus ENSMUGG00000011139
nannospalax_galili ENSNGAG00000000367
jaculus_jaculus ENSJJAG00000014214
urocitellus_parryii ENSUPAG00010022713
spermophilus_dauricus ENSSDAG00000015984
ictidomys_tridecemlineatus ENSSTOG00000005875
marmota_marmota ENSMMMG00000004584
pan_paniscus ENSPPAG00000033722
pan_troglodytes ENSPTRG00000020204
homo_sapiens ENSG00000104371
gorilla_gorilla ENSGGOG00000015784
pongo_abelii ENSPPYG00000018553
nomascus_leucogenys ENSNLEG00000012886
macaca_fascicularis ENSMFAG00000034088
macaca_mulatta ENSMMUG00000020794
macaca_nemestrina ENSMNEG00000010449
chlorocebus_sabaeus ENSCSAG00000015030
papio_anubis ENSPANG00000012834
theropithecus_gelada ENSTGEG00000012450
cercocebus_atys ENSCATG00000035914
mandrillus_leucophaeus ENSMLEG00000031688
colobus_angolensis ENSCANG00000026443
piliocolobus_tephrosceles ENSPTEG00000037858
rhinopithecus_bieti ENSRBIG00000035528
rhinopithecus_roxellana ENSRROG00000016601
saimiri_boliviensis ENSSBOG00000023656
cebus_capucinus ENSCCAG00000036691
callithrix_jacchus ENSCJAG00000007996
aotus_nancymaae ENSANAG00000025941
carlito_syrichta ENSTSYG00000011895
microcebus_murinus ENSMICG00000045615
propithecus_coquereli ENSPCOG00000021679
prolemur_simus ENSPSMG00000017001
otolemur_garnettii ENSOGAG00000016159
ochotona_princeps ENSOPRG00000012196
bos_indicus ENSBIXG00000010170
bos_taurus ENSBTAG00000000226
bos_indicus ENSBIXG00005002403
bos_mutus ENSBMUG00000000654
bison_bison ENSBBBG00000012236
ovis_aries ENSOARG00000003350
tursiops_truncatus ENSTTRG00000009666
sus_scrofa ENSSSCG00000007029
vicugna_pacos ENSVPAG00000011128
erinaceus_europaeus ENSEEUG00000013724
heterocephalus_glaber ENSHGLG00000018668
heterocephalus_glaber ENSHGLG00100002489
fukomys_damarensis ENSFDAG00000014587
octodon_degus ENSODEG00000006319
cavia_porcellus ENSCPOG00000021700
echinops_telfairi ENSETEG00000002649
tupaia_belangeri ENSTBEG00000006910
vombatus_ursinus ENSVURG00010009013
phascolarctos_cinereus ENSPCIG00000018343
notamacropus_eugenii ENSMEUG00000012638
monodelphis_domestica ENSMODG00000010183
ornithorhynchus_anatinus ENSOANG00000020446
ornithorhynchus_anatinus ENSOANG00000019742
latimeria_chalumnae ENSLACG00000014455
callorhinchus_milii ENSCMIG00000012997
