ENSAMEP00000004355	ENSAMEG00000004136	Ailuropoda_melanoleuca
ENSUMAP00000006248	ENSUMAG00000004926	Ursus_maritimus
ENSVVUP00000030779	ENSVVUG00000022464	Vulpes_vulpes
ENSFCAP00000049075	ENSFCAG00000041024	Felis_catus
ENSBIXP00000021083	ENSBIXG00000004875	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005037036	ENSBIXG00005018754	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000026027	ENSBMUG00000019510	Bos_mutus
ENSBBBP00000003877	ENSBBBG00000012849	Bison_bison_bison
ENSBTAP00000027335	ENSBTAG00000020516	Bos_taurus
ENSOARP00000009416	ENSOARG00000008773	Ovis_aries
ENSCHIP00000032100	ENSCHIG00000026206	Capra_hircus
ENSMLUP00000001170	ENSMLUG00000001284	Myotis_lucifugus
ENSMMUP00000073878	ENSMMUG00000058481	Macaca_mulatta
ENSMNEP00000007706	ENSMNEG00000028422	Macaca_nemestrina
ENSPTEP00000028582	ENSPTEG00000028194	Piliocolobus_tephrosceles
ENSPPAP00000012593	ENSPPAG00000029481	Pan_paniscus
ENSPTRP00000062724	ENSPTRG00000029236	Pan_troglodytes
ENSGGOP00000030688	ENSGGOG00000007511	Gorilla_gorilla
ENSCJAP00000003539	ENSCJAG00000001954	Callithrix_jacchus
ENSPSMP00000012615	ENSPSMG00000009104	Prolemur_simus
ENSMUSP00000061773	ENSMUSG00000049902	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0036313	MGP_SPRETEiJ_G0019486	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000025269	ENSMSIG00000021349	Mus_spicilegus
MGP_CAROLIEiJ_P0034656	MGP_CAROLIEiJ_G0018606	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041276	MGP_PahariEiJ_G0019670	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000059484	ENSRNOG00000042206	Rattus_norvegicus
ENSMUGP00000008902	ENSMUGG00000007992	Meriones_unguiculatus
ENSPEMP00000025882	ENSPEMG00000022165	Peromyscus_maniculatus_bairdii
ENSMOCP00000027560	ENSMOCG00000022999	Microtus_ochrogaster
ENSCGRP00001001636	ENSCGRG00001001460	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015018642	ENSCGRG00015014358	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000009505	ENSCGRG00000006950	Cricetulus_griseus_CriGri_1.0
ENSCLAP00000012563	ENSCLAG00000008692	Chinchilla_lanigera
ENSUPAP00010030180	ENSUPAG00010023697	Urocitellus_parryii
ENSMMMP00000023801	ENSMMMG00000020847	Marmota_marmota_marmota
ENSSDAP00000009210	ENSSDAG00000008400	Spermophilus_dauricus
ENSDNOP00000029883	ENSDNOG00000034261	Dasypus_novemcinctus
ENSLAFP00000004232	ENSLAFG00000005061	Loxodonta_africana
