ovis_aries ENSOARG00000017647
sus_scrofa ENSSSCG00000032202
cebus_capucinus_imitator ENSCCAG00000033541
saimiri_boliviensis_boliviensis ENSSBOG00000018490
callithrix_jacchus ENSCJAG00000045738
aotus_nancymaae ENSANAG00000030850
papio_anubis ENSPANG00000021112
theropithecus_gelada ENSTGEG00000000903
mandrillus_leucophaeus ENSMLEG00000018862
macaca_mulatta ENSMMUG00000041595
rhinopithecus_roxellana ENSRROG00000044310
rhinopithecus_bieti ENSRBIG00000040877
colobus_angolensis_palliatus ENSCANG00000041413
