cyanistes_caeruleus ENSCCEG00000020103
parus_major ENSPMJG00000007455
manacus_vitellinus ENSMVIG00005001184
pelodiscus_sinensis ENSPSIG00000011666
anolis_carolinensis ENSACAG00000013602
ornithorhynchus_anatinus ENSOANG00000015835
anas_platyrhynchos_platyrhynchos ENSAPLG00000028298
gallus_gallus ENSGALG00000038191
lonchura_striata_domestica ENSLSDG00000010857
serinus_canaria ENSSCAG00000016661
junco_hyemalis ENSJHYG00000009072
lepidothrix_coronata ENSLCOG00000005327
calidris_pygmaea ENSCPGG00000000277
calidris_pugnax ENSCPUG00000002659
junco_hyemalis ENSJHYG00000009078
nothoprocta_perdicaria ENSNPEG00000014856
gopherus_agassizii ENSGAGG00000000666
sphenodon_punctatus ENSSPUG00000000007
ornithorhynchus_anatinus ENSOANG00000014686
fundulus_heteroclitus ENSFHEG00000001402
oryzias_latipes ENSORLG00000028916
stegastes_partitus ENSSPAG00000021830
periophthalmus_magnuspinnatus ENSPMGG00000017910
vicugna_pacos ENSVPAG00000006572
neovison_vison ENSNVIG00000024253
heterocephalus_glaber_male ENSHGLG00100001326
heterocephalus_glaber_female ENSHGLG00000001759
meriones_unguiculatus ENSMUGG00000007620
meriones_unguiculatus ENSMUGG00000007611
spermophilus_dauricus ENSSDAG00000010504
dasypus_novemcinctus ENSDNOG00000018912
choloepus_hoffmanni ENSCHOG00000003234
bison_bison_bison ENSBBBG00000018305
pteropus_vampyrus ENSPVAG00000014373
tursiops_truncatus ENSTTRG00000010188
ursus_americanus ENSUAMG00000010521
neovison_vison ENSNVIG00000011719
panthera_tigris_altaica ENSPTIG00000019750
panthera_pardus ENSPPRG00000000149
felis_catus ENSFCAG00000000232
pan_troglodytes ENSPTRG00000011724
pan_paniscus ENSPPAG00000028095
homo_sapiens ENSG00000138101
pongo_abelii ENSPPYG00000012590
chlorocebus_sabaeus ENSCSAG00000008613
theropithecus_gelada ENSTGEG00000021189
piliocolobus_tephrosceles ENSPTEG00000038346
prolemur_simus ENSPSMG00000005314
ochotona_princeps ENSOPRG00000007554
cavia_aperea ENSCAPG00000012675
castor_canadensis ENSCCNG00000000728
spermophilus_dauricus ENSSDAG00000022487
mus_spicilegus ENSMSIG00000029176
carlito_syrichta ENSTSYG00000036385
sus_scrofa ENSSSCG00000031467
manacus_vitellinus ENSMVIG00005007416
oryzias_melastigma ENSOMEG00000021119
monodelphis_domestica ENSMODG00000015846
