ENSPVIP00000032790	ENSPVIG00000024016	Pogona_vitticeps
ENSACAP00000012916	ENSACAG00000013138	Anolis_carolinensis
ENSNSUP00000020559	ENSNSUG00000014969	Notechis_scutatus
ENSSMRP00000014188	ENSSMRG00000011045	Salvator_merianae
ENSSPUP00000023668	ENSSPUG00000018144	Sphenodon_punctatus
ENSAHAP00000007743	ENSAHAG00000005773	Apteryx_haastii
ENSAOWP00000015217	ENSAOWG00000010353	Apteryx_owenii
ENSARWP00000002756	ENSARWG00000002070	Apteryx_rowi
ENSDNVP00000012792	ENSDNVG00000009041	Dromaius_novaehollandiae
ENSNPEP00000007549	ENSNPEG00000005655	Nothoprocta_perdicaria
ENSGALP00000051751	ENSGALG00000029264	Gallus_gallus
ENSCJPP00005014010	ENSCJPG00005011755	Coturnix_japonica
ENSMGAP00000012121	ENSMGAG00000011582	Meleagris_gallopavo
ENSNMEP00000020385	ENSNMEG00000017495	Numida_meleagris
ENSABRP00000009683	ENSABRG00000008684	Anser_brachyrhynchus
ENSAPLP00000013177	ENSAPLG00000013351	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005022673	ENSMVIG00005015911	Manacus_vitellinus
ENSLCOP00000005789	ENSLCOG00000004292	Lepidothrix_coronata
ENSTGUP00000011929	ENSTGUG00000011576	Taeniopygia_guttata
ENSLSDP00000018902	ENSLSDG00000013497	Lonchura_striata_domestica
ENSSCAP00000002616	ENSSCAG00000002278	Serinus_canaria
ENSZALP00000010527	ENSZALG00000008905	Zonotrichia_albicollis
ENSJHYP00000022623	ENSJHYG00000017056	Junco_hyemalis
ENSPMJP00000006218	ENSPMJG00000005276	Parus_major
ENSCCEP00000009920	ENSCCEG00000010014	Cyanistes_caeruleus
ENSFALP00000008935	ENSFALG00000008567	Ficedula_albicollis
ENSMUNP00000007785	ENSMUNG00000006221	Melopsittacus_undulatus
ENSCPUP00000024441	ENSCPUG00000016572	Calidris_pugnax
ENSCPGP00000006710	ENSCPGG00000004805	Calidris_pygmaea
ENSCPRP00005026541	ENSCPRG00005018420	Crocodylus_porosus
ENSGAGP00000005242	ENSGAGG00000004253	Gopherus_agassizii
ENSCABP00000010097	ENSCABG00000007558	Chelonoidis_abingdonii
ENSCPBP00000009128	ENSCPBG00000007058	Chrysemys_picta_bellii
ENSPSIP00000003935	ENSPSIG00000003725	Pelodiscus_sinensis
ENSSSCP00000006583	ENSSSCG00000006172	Sus_scrofa_strain_reference
ENSVPAP00000010440	ENSVPAG00000011213	Vicugna_pacos
ENSBIXP00000013574	ENSBIXG00000018487	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005036585	ENSBIXG00005018163	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000026091	ENSBTAG00000019587	Bos_taurus
ENSBMUP00000025791	ENSBMUG00000019347	Bos_mutus
ENSBBBP00000015986	ENSBBBG00000023842	Bison_bison_bison
ENSOARP00000007208	ENSOARG00000006730	Ovis_aries
ENSCHIP00000015441	ENSCHIG00000016089	Capra_hircus
ENSTTRP00000002063	ENSTTRG00000002193	Tursiops_truncatus
ENSEEUP00000011144	ENSEEUG00000012234	Erinaceus_europaeus
ENSSARP00000011177	ENSSARG00000012384	Sorex_araneus
ENSUAMP00000016126	ENSUAMG00000012848	Ursus_americanus	ENSUAMT00000018067
ENSUMAP00000026122	ENSUMAG00000019029	Ursus_maritimus	ENSUMAT00000030923
ENSAMEP00000015428	ENSAMEG00000014643	Ailuropoda_melanoleuca	ENSAMET00000016069
ENSMPUP00000010085	ENSMPUG00000010162	Mustela_putorius_furo
ENSNVIP00000019373	ENSNVIG00000015168	Neovison_vison
ENSCAFP00000012058	ENSCAFG00000008193	Canis_lupus_familiaris
ENSCAFP00020022620	ENSCAFG00020017842	Canis_lupus_dingo
ENSVVUP00000026571	ENSVVUG00000019517	Vulpes_vulpes
ENSPPRP00000025829	ENSPPRG00000016184	Panthera_pardus
ENSPTIP00000005520	ENSPTIG00000007725	Panthera_tigris_altaica
ENSFCAP00000032542	ENSFCAG00000035893	Felis_catus
ENSMLUP00000015486	ENSMLUG00000016990	Myotis_lucifugus
ENSPVAP00000015124	ENSPVAG00000016025	Pteropus_vampyrus
ENSECAP00000028440	ENSECAG00000013100	Equus_caballus
ENSEASP00005029755	ENSEASG00005020227	Equus_asinus_asinus
ENSCCNP00000005311	ENSCCNG00000005647	Castor_canadensis
ENSDORP00000003712	ENSDORG00000003978	Dipodomys_ordii
ENSCGRP00000007693	ENSCGRG00000005604	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001024058	ENSCGRG00001022091	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025118	ENSCGRG00015019072	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000015662	ENSMAUG00000015054	Mesocricetus_auratus
ENSMOCP00000000597	ENSMOCG00000000477	Microtus_ochrogaster
ENSPEMP00000010016	ENSPEMG00000011138	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0017835	MGP_SPRETEiJ_G0014779	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000032305	ENSMSIG00000027071	Mus_spicilegus
ENSMUSP00000085826	ENSMUSG00000067780	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0016844	MGP_CAROLIEiJ_G0013974	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0056665	MGP_PahariEiJ_G0023845	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023899	ENSRNOG00000017686	Rattus_norvegicus
ENSNGAP00000018811	ENSNGAG00000018827	Nannospalax_galili
ENSJJAP00000015817	ENSJJAG00000017870	Jaculus_jaculus
ENSUPAP00010014333	ENSUPAG00010011507	Urocitellus_parryii
ENSSTOP00000011839	ENSSTOG00000013212	Ictidomys_tridecemlineatus
ENSSDAP00000015649	ENSSDAG00000014106	Spermophilus_dauricus
ENSMMMP00000006026	ENSMMMG00000005399	Marmota_marmota_marmota
ENSCLAP00000003097	ENSCLAG00000002216	Chinchilla_lanigera
ENSODEP00000004029	ENSODEG00000003073	Octodon_degus
ENSCAPP00000017724	ENSCAPG00000017317	Cavia_aperea
ENSCPOP00000028356	ENSCPOG00000036651	Cavia_porcellus
ENSHGLP00100001447	ENSHGLG00100001142	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000022323	ENSHGLG00000015916	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006698	ENSFDAG00000015393	Fukomys_damarensis
ENSOCUP00000018551	ENSOCUG00000022299	Oryctolagus_cuniculus
ENSOPRP00000012543	ENSOPRG00000013759	Ochotona_princeps
ENSPPAP00000017482	ENSPPAG00000031836	Pan_paniscus
ENSPTRP00000069293	ENSPTRG00000052312	Pan_troglodytes
ENSGGOP00000041963	ENSGGOG00000043334	Gorilla_gorilla
ENSP00000260113	ENSG00000137558	Homo_sapiens
ENSPPYP00000020958	ENSPPYG00000018683	Pongo_abelii
ENSNLEP00000039696	ENSNLEG00000028636	Nomascus_leucogenys
ENSCANP00000016867	ENSCANG00000031896	Colobus_angolensis_palliatus
ENSPTEP00000012694	ENSPTEG00000014245	Piliocolobus_tephrosceles
ENSRROP00000011243	ENSRROG00000029976	Rhinopithecus_roxellana
ENSRBIP00000031413	ENSRBIG00000039544	Rhinopithecus_bieti
ENSMFAP00000017572	ENSMFAG00000031904	Macaca_fascicularis
ENSMNEP00000029663	ENSMNEG00000038317	Macaca_nemestrina
ENSMMUP00000068996	ENSMMUG00000049279	Macaca_mulatta
ENSTGEP00000029295	ENSTGEG00000023566	Theropithecus_gelada
ENSCATP00000034553	ENSCATG00000040179	Cercocebus_atys
ENSMLEP00000005959	ENSMLEG00000025565	Mandrillus_leucophaeus
ENSCSAP00000009651	ENSCSAG00000013489	Chlorocebus_sabaeus
ENSPANP00000038149	ENSPANG00000001259	Papio_anubis
ENSCCAP00000010756	ENSCCAG00000023132	Cebus_capucinus_imitator
ENSSBOP00000006428	ENSSBOG00000020166	Saimiri_boliviensis_boliviensis
ENSCJAP00000000964	ENSCJAG00000000555	Callithrix_jacchus
ENSANAP00000012120	ENSANAG00000023987	Aotus_nancymaae
ENSTSYP00000025594	ENSTSYG00000036157	Carlito_syrichta
ENSMICP00000049022	ENSMICG00000003386	Microcebus_murinus
ENSPCOP00000020242	ENSPCOG00000022081	Propithecus_coquereli
ENSPSMP00000017259	ENSPSMG00000012296	Prolemur_simus
ENSOGAP00000008260	ENSOGAG00000009220	Otolemur_garnettii
ENSTBEP00000003430	ENSTBEG00000003963	Tupaia_belangeri
ENSDNOP00000012965	ENSDNOG00000016736	Dasypus_novemcinctus
ENSCHOP00000003385	ENSCHOG00000003830	Choloepus_hoffmanni
ENSLAFP00000013164	ENSLAFG00000015699	Loxodonta_africana
ENSPCAP00000011022	ENSPCAG00000011860	Procavia_capensis
ENSETEP00000006900	ENSETEG00000008490	Echinops_telfairi
ENSVURP00010027921	ENSVURG00010021375	Vombatus_ursinus
ENSVURP00010022056	ENSVURG00010016909	Vombatus_ursinus
ENSPCIP00000016723	ENSPCIG00000012851	Phascolarctos_cinereus
ENSSHAP00000015071	ENSSHAG00000012862	Sarcophilus_harrisii
ENSMODP00000008550	ENSMODG00000006902	Monodelphis_domestica
ENSXETP00000054256	ENSXETG00000012059	Xenopus_tropicalis
ENSOANP00000013195	ENSOANG00000008301	Ornithorhynchus_anatinus
ENSLACP00000011916	ENSLACG00000010488	Latimeria_chalumnae
ENSAMXP00005039841	ENSAMXG00005018744	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000000428	ENSAMXG00000000424	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000017205	ENSPNAG00000006693	Pygocentrus_nattereri
ENSIPUP00000011686	ENSIPUG00000007916	Ictalurus_punctatus
ENSEEEP00000020373	ENSEEEG00000009945	Electrophorus_electricus
ENSDCDP00000028404	ENSDCDG00000020481	Denticeps_clupeoides
ENSCHAP00000028920	ENSCHAG00000013919	Clupea_harengus
ENSDARP00000117953	ENSDARG00000045378	Danio_rerio
ENSCGOP00000030385	ENSCGOG00000014111	Cottoperca_gobio
ENSGACP00000003567	ENSGACG00000002723	Gasterosteus_aculeatus
ENSLCRP00005022769	ENSLCRG00005009185	Larimichthys_crocea
ENSMALP00000002333	ENSMALG00000001746	Monopterus_albus
ENSMAMP00000034261	ENSMAMG00000023023	Mastacembelus_armatus
ENSATEP00000019582	ENSATEG00000013647	Anabas_testudineus
ENSSDUP00000017034	ENSSDUG00000012427	Seriola_dumerili
ENSSLDP00000009225	ENSSLDG00000007333	Seriola_lalandi_dorsalis
ENSLCAP00010032154	ENSLCAG00010015120	Lates_calcarifer
ENSXMAP00000010475	ENSXMAG00000010455	Xiphophorus_maculatus
ENSXCOP00000009205	ENSXCOG00000007021	Xiphophorus_couchianus
ENSGAFP00000013209	ENSGAFG00000008893	Gambusia_affinis
ENSPFOP00000013369	ENSPFOG00000013337	Poecilia_formosa
ENSPMEP00000005893	ENSPMEG00000007328	Poecilia_mexicana
ENSPLAP00000013768	ENSPLAG00000017333	Poecilia_latipinna
ENSPREP00000020106	ENSPREG00000013596	Poecilia_reticulata
ENSFHEP00000016809	ENSFHEG00000018496	Fundulus_heteroclitus
ENSCVAP00000010723	ENSCVAG00000000959	Cyprinodon_variegatus
ENSKMAP00000008931	ENSKMAG00000006711	Kryptolebias_marmoratus
ENSORLP00000031172	ENSORLG00000030011	Oryzias_latipes_ASM223467v1
ENSORLP00020015749	ENSORLG00020000454	Oryzias_latipes_ASM223471v1
ENSORLP00015016092	ENSORLG00015017063	Oryzias_latipes_ASM223469v1
ENSOMEP00000009543	ENSOMEG00000010747	Oryzias_melastigma
ENSACLP00000035384	ENSACLG00000023973	Astatotilapia_calliptera
ENSHBUP00000018221	ENSHBUG00000020296	Haplochromis_burtoni
ENSMZEP00005028749	ENSMZEG00005021443	Maylandia_zebra
ENSPNYP00000001211	ENSPNYG00000000973	Pundamilia_nyererei
ENSNBRP00000031429	ENSNBRG00000023879	Neolamprologus_brichardi
ENSONIP00000017998	ENSONIG00000014314	Oreochromis_niloticus
ENSACIP00000001145	ENSACIG00000000962	Amphilophus_citrinellus
ENSAPEP00000031391	ENSAPEG00000022285	Amphiprion_percula
ENSAOCP00000025572	ENSAOCG00000013233	Amphiprion_ocellaris
ENSAPOP00000029731	ENSAPOG00000015868	Acanthochromis_polyacanthus
ENSSPAP00000029374	ENSSPAG00000022076	Stegastes_partitus
ENSPRNP00000045845	ENSPRNG00000022168	Parambassis_ranga
ENSSMAP00000027254	ENSSMAG00000016655	Scophthalmus_maximus
ENSCSEP00000015823	ENSCSEG00000010164	Cynoglossus_semilaevis
ENSBSLP00000032297	ENSBSLG00000015840	Betta_splendens
ENSLBEP00000018638	ENSLBEG00000014368	Labrus_bergylta
