	ENSTGET00000021727	ENSTGET00000021707	ENSMNET00000066417	ENSMNET00000066414	ENSMNET00000066413	ENSMFAT00000031597	ENSMFAT00000031592	ENSTGET00000021729	ENSANAT00000024095	ENSCATT00000000198	ENSPTET00000002543	ENSGGOT00000009619	ENSCATT00000000241	ENSPTRT00000106723	ENSMNET00000066423	ENSMMUT00000066909	ENSRROT00000040533	ENSMFAT00000031584	ENSPTRT00000020005	ENSANAT00000024106	ENSPPAT00000041673	ENSGGOT00000064619	ENSMMUT00000015849	ENSPPAT00000041681	ENSPTET00000002534	ENSPTET00000002537	ENSMMUT00000084807
ENSTGET00000021727	1.0	0.3722760290556901	0.3837772397094431	0.9933414043583536	0.9933414043583536	0.3843825665859564	0.3819612590799031	0.8964891041162227	0.3577481840193705	0.3698547215496368	0.8928571428571429	0.37893462469733663	0.8928571428571429	0.8898305084745762	0.8934624697336562	0.3813559322033898	0.4243341404358354	0.99455205811138	0.3783292978208233	0.8801452784503632	0.3783292978208233	0.8831719128329297	0.3813559322033898	0.8898305084745762	0.8383777239709443	0.42372881355932196	0.3813559322033898
ENSTGET00000021707	0.3722760290556901	1.0	0.953995157384988	0.36682808716707016	0.36682808716707016	0.9552058111380144	0.976997578692494	0.26876513317191275	0.9364406779661016	0.9957627118644068	0.2663438256658596	0.9606537530266344	0.26694915254237284	0.2651331719128329	0.26694915254237284	0.9763922518159808	0.9303874092009684	0.3674334140435835	0.9594430992736076	0.2596852300242131	0.9594430992736076	0.2615012106537531	0.9763922518159808	0.2651331719128329	0.21186440677966098	0.9315980629539952	0.9763922518159808
ENSMNET00000066417	0.3837772397094431	0.953995157384988	1.0	0.38922518159806296	0.38922518159806296	0.9987893462469734	0.976997578692494	0.2838983050847458	0.9176755447941888	0.9570217917675544	0.2838983050847458	0.9552058111380144	0.28450363196125905	0.28268765133171914	0.2857142857142857	0.9763922518159808	0.9085956416464892	0.3886198547215496	0.953995157384988	0.276634382566586	0.953995157384988	0.2790556900726393	0.9763922518159808	0.28268765133171914	0.2294188861985472	0.9110169491525424	0.9763922518159808
ENSMNET00000066414	0.9933414043583536	0.36682808716707016	0.38922518159806296	1.0	1.0	0.3886198547215496	0.3861985472154963	0.8934624697336562	0.3547215496368039	0.3680387409200969	0.8934624697336562	0.3795399515738499	0.8934624697336562	0.8904358353510896	0.8964891041162227	0.3855932203389831	0.42372881355932196	0.9987893462469734	0.37893462469733663	0.8795399515738499	0.37893462469733663	0.8837772397094431	0.3855932203389831	0.8904358353510896	0.8389830508474576	0.4243341404358354	0.3855932203389831
ENSMNET00000066413	0.9933414043583536	0.36682808716707016	0.38922518159806296	1.0	1.0	0.3886198547215496	0.3861985472154963	0.8934624697336562	0.3547215496368039	0.3680387409200969	0.8934624697336562	0.3795399515738499	0.8934624697336562	0.8904358353510896	0.8964891041162227	0.3855932203389831	0.42372881355932196	0.9987893462469734	0.37893462469733663	0.8795399515738499	0.37893462469733663	0.8837772397094431	0.3855932203389831	0.8904358353510896	0.8389830508474576	0.4243341404358354	0.3855932203389831
ENSMFAT00000031597	0.3843825665859564	0.9552058111380144	0.9987893462469734	0.3886198547215496	0.3886198547215496	1.0	0.9782082324455206	0.2838983050847458	0.9188861985472156	0.9582324455205812	0.2838983050847458	0.9564164648910412	0.28450363196125905	0.28268765133171914	0.2857142857142857	0.9776029055690072	0.9098062953995156	0.38922518159806296	0.9552058111380144	0.276634382566586	0.9552058111380144	0.2790556900726393	0.9776029055690072	0.28268765133171914	0.2294188861985472	0.912227602905569	0.9776029055690072
ENSMFAT00000031592	0.3819612590799031	0.976997578692494	0.976997578692494	0.3861985472154963	0.3861985472154963	0.9782082324455206	1.0	0.2814769975786925	0.9382566585956416	0.9800242130750604	0.2814769975786925	0.9776029055690072	0.28208232445520576	0.28026634382566584	0.2832929782082325	0.9993946731234868	0.9315980629539952	0.3868038740920097	0.9763922518159808	0.2736077481840193	0.9763922518159808	0.276634382566586	0.9993946731234868	0.28026634382566584	0.22699757869249396	0.9340193704600483	0.9993946731234868
ENSTGET00000021729	0.8964891041162227	0.26876513317191275	0.2838983050847458	0.8934624697336562	0.8934624697336562	0.2838983050847458	0.2814769975786925	1.0	0.2560532687651331	0.26694915254237284	0.99636803874092	0.2796610169491525	0.99636803874092	0.9933414043583536	0.9969733656174334	0.2814769975786925	0.3238498789346247	0.8940677966101694	0.2796610169491525	0.9836561743341404	0.2796610169491525	0.9866828087167071	0.2814769975786925	0.9933414043583536	0.927360774818402	0.32263922518159804	0.2814769975786925
ENSANAT00000024095	0.3577481840193705	0.9364406779661016	0.9176755447941888	0.3547215496368039	0.3547215496368039	0.9188861985472156	0.9382566585956416	0.2560532687651331	1.0	0.9382566585956416	0.2560532687651331	0.9412832929782082	0.25544794188861986	0.2560532687651331	0.25544794188861986	0.9376513317191284	0.8783292978208233	0.3553268765133172	0.9400726392251816	0.2651331719128329	0.9400726392251816	0.2524213075060533	0.9376513317191284	0.2560532687651331	0.20157384987893456	0.8819612590799032	0.9376513317191284
ENSCATT00000000198	0.3698547215496368	0.9957627118644068	0.9570217917675544	0.3680387409200969	0.3680387409200969	0.9582324455205812	0.9800242130750604	0.26694915254237284	0.9382566585956416	1.0	0.26694915254237284	0.9636803874092008	0.26876513317191275	0.2657384987893463	0.2675544794188862	0.9794188861985472	0.9322033898305084	0.3686440677966102	0.9624697336561744	0.2590799031476998	0.9624697336561744	0.2621065375302664	0.9794188861985472	0.2657384987893463	0.21246973365617428	0.9346246973365616	0.9794188861985472
