tetraodon_nigroviridis ENSTNIG00000001443
takifugu_rubripes ENSTRUG00000022310
mola_mola ENSMMOG00000002399
labrus_bergylta ENSLBEG00000014460
seriola_dumerili ENSSDUG00000013092
scophthalmus_maximus ENSSMAG00000009875
mastacembelus_armatus ENSMAMG00000010427
monopterus_albus ENSMALG00000010692
anabas_testudineus ENSATEG00000007775
poecilia_formosa ENSPFOG00000004238
poecilia_latipinna ENSPLAG00000006657
poecilia_reticulata ENSPREG00000003027
poecilia_mexicana ENSPMEG00000011275
xiphophorus_maculatus ENSXMAG00000007659
gambusia_affinis ENSGAFG00000019438
fundulus_heteroclitus ENSFHEG00000007022
cyprinodon_variegatus ENSCVAG00000019513
kryptolebias_marmoratus ENSKMAG00000013882
oryzias_melastigma ENSOMEG00000013884
oryzias_melastigma ENSOMEG00000013875
oryzias_latipes_asm223467v1 ENSORLG00000017529
oryzias_latipes_asm223471v1 ENSORLG00020018286
oryzias_latipes_asm223469v1 ENSORLG00015014656
astatotilapia_calliptera ENSACLG00000019962
haplochromis_burtoni ENSHBUG00000020488
maylandia_zebra ENSMZEG00005006460
pundamilia_nyererei ENSPNYG00000004959
amphiprion_ocellaris ENSAOCG00000001876
amphiprion_ocellaris ENSAOCG00000022091
amphiprion_percula ENSAPEG00000018841
acanthochromis_polyacanthus ENSAPOG00000001175
stegastes_partitus ENSSPAG00000009643
periophthalmus_magnuspinnatus ENSPMGG00000008754
hippocampus_comes ENSHCOG00000012923
astyanax_mexicanus ENSAMXG00000034982
astyanax_mexicanus ENSAMXG00000034520
ictalurus_punctatus ENSIPUG00000019929
danio_rerio ENSDARG00000030440
