pelodiscus_sinensis ENSPSIG00000005407
salvator_merianae ENSSMRG00000004969
heterocephalus_glaber_female ENSHGLG00000018937
heterocephalus_glaber_male ENSHGLG00100016919
fukomys_damarensis ENSFDAG00000012324
octodon_degus ENSODEG00000009001
ictidomys_tridecemlineatus ENSSTOG00000012166
urocitellus_parryii ENSUPAG00010020429
macaca_nemestrina ENSMNEG00000026332
macaca_fascicularis ENSMFAG00000034699
cercocebus_atys ENSCATG00000041740
rhinopithecus_roxellana ENSRROG00000044962
pan_troglodytes ENSPTRG00000050184
callithrix_jacchus ENSCJAG00000018490
aotus_nancymaae ENSANAG00000032461
equus_caballus ENSECAG00000019415
myotis_lucifugus ENSMLUG00000006503
neovison_vison ENSNVIG00000013777
mustela_putorius_furo ENSMPUG00000005800
canis_lupus_dingo ENSCAFG00020001745
canis_lupus_familiaris ENSCAFG00000002034
vulpes_vulpes ENSVVUG00000024895
felis_catus ENSFCAG00000022148
dasypus_novemcinctus ENSDNOG00000038304
