drosophila_melanogaster FBgn0038524
caenorhabditis_elegans_strain_n2 WBGene00004206
zonotrichia_albicollis ENSZALG00000011269
junco_hyemalis ENSJHYG00000012347
serinus_canaria ENSSCAG00000013646
taeniopygia_guttata ENSTGUG00000007969
lonchura_striata_domestica ENSLSDG00000010340
ficedula_albicollis ENSFALG00000011291
cyanistes_caeruleus ENSCCEG00000003196
parus_major ENSPMJG00000014803
lepidothrix_coronata ENSLCOG00000001767
manacus_vitellinus ENSMVIG00005006894
calidris_pugnax ENSCPUG00000002129
calidris_pygmaea ENSCPGG00000003510
melopsittacus_undulatus ENSMUNG00000007945
gallus_gallus ENSGALG00000010174
coturnix_japonica ENSCJPG00005010304
meleagris_gallopavo ENSMGAG00000010805
numida_meleagris ENSNMEG00000016478
anas_platyrhynchos_platyrhynchos ENSAPLG00000015415
anser_brachyrhynchus ENSABRG00000019639
apteryx_owenii ENSAOWG00000003947
apteryx_rowi ENSARWG00000004645
apteryx_haastii ENSAHAG00000017224
dromaius_novaehollandiae ENSDNVG00000007443
nothoprocta_perdicaria ENSNPEG00000009606
crocodylus_porosus ENSCPRG00005010751
gopherus_agassizii ENSGAGG00000014157
chelonoidis_abingdonii ENSCABG00000022007
chrysemys_picta_bellii ENSCPBG00000025319
pelodiscus_sinensis ENSPSIG00000017991
pogona_vitticeps ENSPVIG00000001918
anolis_carolinensis ENSACAG00000014775
notechis_scutatus ENSNSUG00000009103
salvator_merianae ENSSMRG00000005787
sphenodon_punctatus ENSSPUG00000007489
loxodonta_africana ENSLAFG00000005151
echinops_telfairi ENSETEG00000014892
mus_spicilegus ENSMSIG00000023500
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022559
mus_musculus ENSMUSG00000037089
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021647
mus_pahari MGP_PahariEiJ_G0020639
rattus_norvegicus ENSRNOG00000019900
meriones_unguiculatus ENSMUGG00000000629
cricetulus_griseus_chok1gshd ENSCGRG00001009510
cricetulus_griseus_crigri ENSCGRG00000004624
cricetulus_griseus_chok1gshd ENSCGRG00001003069
cricetulus_griseus_crigri ENSCGRG00000000401
cricetulus_griseus_chok1gshd ENSCGRG00001017772
cricetulus_griseus_crigri-picr ENSCGRG00015004923
cricetulus_griseus_crigri ENSCGRG00000005382
mesocricetus_auratus ENSMAUG00000017236
microtus_ochrogaster ENSMOCG00000016485
peromyscus_maniculatus_bairdii ENSPEMG00000010433
nannospalax_galili ENSNGAG00000016794
jaculus_jaculus ENSJJAG00000020418
castor_canadensis ENSCCNG00000015764
dipodomys_ordii ENSDORG00000010985
heterocephalus_glaber_male ENSHGLG00100008780
heterocephalus_glaber_female ENSHGLG00000013337
fukomys_damarensis ENSFDAG00000011005
chinchilla_lanigera ENSCLAG00000010878
octodon_degus ENSODEG00000015458
cavia_porcellus ENSCPOG00000032240
oryctolagus_cuniculus ENSOCUG00000017893
homo_sapiens ENSG00000157593
gorilla_gorilla ENSGGOG00000008896
pan_paniscus ENSPPAG00000027390
pan_troglodytes ENSPTRG00000045028
pongo_abelii ENSPPYG00000014314
nomascus_leucogenys ENSNLEG00000003703
colobus_angolensis_palliatus ENSCANG00000037745
piliocolobus_tephrosceles ENSPTEG00000013150
rhinopithecus_roxellana ENSRROG00000032586
rhinopithecus_bieti ENSRBIG00000034146
cercocebus_atys ENSCATG00000029059
chlorocebus_sabaeus ENSCSAG00000012413
papio_anubis ENSPANG00000007014
theropithecus_gelada ENSTGEG00000029672
mandrillus_leucophaeus ENSMLEG00000021766
macaca_nemestrina ENSMNEG00000008714
macaca_mulatta ENSMMUG00000022687
macaca_fascicularis ENSMFAG00000037986
cebus_capucinus ENSCCAG00000036364
saimiri_boliviensis_boliviensis ENSSBOG00000028774
callithrix_jacchus ENSCJAG00000046050
aotus_nancymaae ENSANAG00000030995
carlito_syrichta ENSTSYG00000025846
propithecus_coquereli ENSPCOG00000022881
microcebus_murinus ENSMICG00000027103
prolemur_simus ENSPSMG00000019040
otolemur_garnettii ENSOGAG00000029873
spermophilus_dauricus ENSSDAG00000001583
ictidomys_tridecemlineatus ENSSTOG00000026446
urocitellus_parryii ENSUPAG00010004089
marmota_marmota_marmota ENSMMMG00000024578
tupaia_belangeri ENSTBEG00000015761
equus_asinus_asinus ENSEASG00005003717
equus_caballus ENSECAG00000017860
sorex_araneus ENSSARG00000003939
pteropus_vampyrus ENSPVAG00000016834
myotis_lucifugus ENSMLUG00000005249
capra_hircus ENSCHIG00000018057
ovis_aries ENSOARG00000009445
bos_taurus ENSBTAG00000008076
bos_mutus ENSBMUG00000011640
bison_bison_bison ENSBBBG00000005002
tursiops_truncatus ENSTTRG00000006927
sus_scrofa ENSSSCG00000001702
vicugna_pacos ENSVPAG00000002965
neovison_vison ENSNVIG00000009456
mustela_putorius_furo ENSMPUG00000012591
ursus_americanus ENSUAMG00000016665
ursus_maritimus ENSUMAG00000005353
ailuropoda_melanoleuca ENSAMEG00000011798
canis_lupus_dingo ENSCAFG00020012221
canis_lupus_familiaris ENSCAFG00000001983
vulpes_vulpes ENSVVUG00000029223
panthera_pardus ENSPPRG00000024707
panthera_tigris_altaica ENSPTIG00000013686
felis_catus ENSFCAG00000038971
dasypus_novemcinctus ENSDNOG00000049618
ochotona_princeps ENSOPRG00000013632
notamacropus_eugenii ENSMEUG00000013946
phascolarctos_cinereus ENSPCIG00000036241
sarcophilus_harrisii ENSSHAG00000017443
monodelphis_domestica ENSMODG00000018930
xenopus_tropicalis ENSXETG00000010892
latimeria_chalumnae ENSLACG00000009044
paramormyrops_kingsleyae ENSPKIG00000002605
scleropages_formosus ENSSFOG00015007846
pygocentrus_nattereri ENSPNAG00000012061
astyanax_mexicanus ENSAMXG00000034080
ictalurus_punctatus ENSIPUG00000021155
danio_rerio ENSDARG00000007886
poecilia_mexicana ENSPMEG00000019011
