seriola_dumerili ENSSDUG00000016450
seriola_lalandi_dorsalis ENSSLDG00000022703
amphiprion_percula ENSAPEG00000000589
periophthalmus_magnuspinnatus ENSPMGG00000019839
labrus_bergylta ENSLBEG00000005715
anabas_testudineus ENSATEG00000008273
gasterosteus_aculeatus ENSGACG00000016708
takifugu_rubripes ENSTRUG00000022843
scophthalmus_maximus ENSSMAG00000021271
cynoglossus_semilaevis ENSCSEG00000002162
oryzias_latipes_asm223471v1 ENSORLG00020012095
oryzias_melastigma ENSOMEG00000021903
kryptolebias_marmoratus ENSKMAG00000007892
gambusia_affinis ENSGAFG00000012812
xiphophorus_maculatus ENSXMAG00000029365
poecilia_latipinna ENSPLAG00000007410
poecilia_formosa ENSPFOG00000009153
poecilia_mexicana ENSPMEG00000019463
poecilia_reticulata ENSPREG00000000042
amphilophus_citrinellus ENSACIG00000015729
cyprinodon_variegatus ENSCVAG00000020629
fundulus_heteroclitus ENSFHEG00000000070
mola_mola ENSMMOG00000003613
amphiprion_ocellaris ENSAOCG00000013656
acanthochromis_polyacanthus ENSAPOG00000000176
stegastes_partitus ENSSPAG00000023063
astatotilapia_calliptera ENSACLG00000001306
maylandia_zebra ENSMZEG00005012115
haplochromis_burtoni ENSHBUG00000018938
pundamilia_nyererei ENSPNYG00000021772
neolamprologus_brichardi ENSNBRG00000008923
periophthalmus_magnuspinnatus ENSPMGG00000019841
monopterus_albus ENSMALG00000002746
mastacembelus_armatus ENSMAMG00000008481
hippocampus_comes ENSHCOG00000000800
gadus_morhua ENSGMOG00000007802
