gallus_gallus ENSGALG00000029721
coturnix_japonica ENSCJPG00005016346
numida_meleagris ENSNMEG00000006016
calidris_pygmaea ENSCPGG00000018123
calidris_pugnax ENSCPUG00000016299
taeniopygia_guttata ENSTGUG00000001056
crocodylus_porosus ENSCPRG00005004265
gopherus_agassizii ENSGAGG00000000334
salvator_merianae ENSSMRG00000001060
pogona_vitticeps ENSPVIG00000015657
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027595
mus_spicilegus ENSMSIG00000002277
mus_musculus ENSMUSG00000108398
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026615
mus_pahari MGP_PahariEiJ_G0028948
rattus_norvegicus ENSRNOG00000054734
meriones_unguiculatus ENSMUGG00000019875
cricetulus_griseus_crigri ENSCGRG00000005348
cricetulus_griseus_crigri-picr ENSCGRG00015017967
cricetulus_griseus_chok1gshd ENSCGRG00001023133
mesocricetus_auratus ENSMAUG00000015307
microtus_ochrogaster ENSMOCG00000016150
peromyscus_maniculatus_bairdii ENSPEMG00000012736
nannospalax_galili ENSNGAG00000009964
castor_canadensis ENSCCNG00000023180
heterocephalus_glaber_female ENSHGLG00000013042
heterocephalus_glaber_male ENSHGLG00100015662
octodon_degus ENSODEG00000003718
cavia_porcellus ENSCPOG00000030787
chinchilla_lanigera ENSCLAG00000011904
ictidomys_tridecemlineatus ENSSTOG00000030099
marmota_marmota_marmota ENSMMMG00000014234
urocitellus_parryii ENSUPAG00010021707
felis_catus ENSFCAG00000040939
panthera_pardus ENSPPRG00000023359
neovison_vison ENSNVIG00000023599
equus_caballus ENSECAG00000028695
pan_paniscus ENSPPAG00000031691
pan_troglodytes ENSPTRG00000050100
gorilla_gorilla ENSGGOG00000038054
homo_sapiens ENSG00000282872
nomascus_leucogenys ENSNLEG00000028850
rhinopithecus_bieti ENSRBIG00000043678
rhinopithecus_roxellana ENSRROG00000045362
colobus_angolensis_palliatus ENSCANG00000028806
piliocolobus_tephrosceles ENSPTEG00000017126
macaca_mulatta ENSMMUG00000039194
macaca_fascicularis ENSMFAG00000023073
macaca_nemestrina ENSMNEG00000035214
theropithecus_gelada ENSTGEG00000006517
cercocebus_atys ENSCATG00000031422
saimiri_boliviensis_boliviensis ENSSBOG00000028377
callithrix_jacchus ENSCJAG00000040746
cebus_capucinus ENSCCAG00000025437
aotus_nancymaae ENSANAG00000034940
carlito_syrichta ENSTSYG00000034461
prolemur_simus ENSPSMG00000012059
propithecus_coquereli ENSPCOG00000023815
microcebus_murinus ENSMICG00000034667
fukomys_damarensis ENSFDAG00000008971
dipodomys_ordii ENSDORG00000026074
ovis_aries ENSOARG00000005355
bison_bison_bison ENSBBBG00000014227
papio_anubis ENSPANG00000034733
mandrillus_leucophaeus ENSMLEG00000000238
panthera_tigris_altaica ENSPTIG00000015215
dasypus_novemcinctus ENSDNOG00000048646
phascolarctos_cinereus ENSPCIG00000033361
latimeria_chalumnae ENSLACG00000016679
astyanax_mexicanus ENSAMXG00000038974
pygocentrus_nattereri ENSPNAG00000020643
ictalurus_punctatus ENSIPUG00000023197
danio_rerio ENSDARG00000103312
periophthalmus_magnuspinnatus ENSPMGG00000000555
hippocampus_comes ENSHCOG00000005737
anabas_testudineus ENSATEG00000008629
cynoglossus_semilaevis ENSCSEG00000014413
amphiprion_ocellaris ENSAOCG00000001248
amphiprion_percula ENSAPEG00000004543
acanthochromis_polyacanthus ENSAPOG00000024563
stegastes_partitus ENSSPAG00000019250
mola_mola ENSMMOG00000018475
takifugu_rubripes ENSTRUG00000021134
seriola_dumerili ENSSDUG00000010818
seriola_lalandi_dorsalis ENSSLDG00000000321
scophthalmus_maximus ENSSMAG00000002923
pundamilia_nyererei ENSPNYG00000012722
astatotilapia_calliptera ENSACLG00000000810
haplochromis_burtoni ENSHBUG00000010301
maylandia_zebra ENSMZEG00005008083
neolamprologus_brichardi ENSNBRG00000010789
amphilophus_citrinellus ENSACIG00000005225
labrus_bergylta ENSLBEG00000007843
mastacembelus_armatus ENSMAMG00000008315
monopterus_albus ENSMALG00000011354
fundulus_heteroclitus ENSFHEG00000017961
cyprinodon_variegatus ENSCVAG00000018077
poecilia_formosa ENSPFOG00000023309
poecilia_mexicana ENSPMEG00000001753
poecilia_latipinna ENSPLAG00000002758
poecilia_reticulata ENSPREG00000019345
xiphophorus_maculatus ENSXMAG00000029022
xiphophorus_couchianus ENSXCOG00000007658
gambusia_affinis ENSGAFG00000009737
kryptolebias_marmoratus ENSKMAG00000019417
oryzias_latipes ENSORLG00000026460
oryzias_latipes_asm223469v1 ENSORLG00015003361
oryzias_latipes ENSORLG00020018327
oryzias_melastigma ENSOMEG00000020440
esox_lucius ENSELUG00000016881
paramormyrops_kingsleyae ENSPKIG00000000292
scleropages_formosus ENSSFOG00015020929
lepisosteus_oculatus ENSLOCG00000000174
