myotis_lucifugus ENSMLUG00000015177
pteropus_vampyrus ENSPVAG00000010617
equus_caballus ENSECAG00000011417
equus_asinus_asinus ENSEASG00005006638
ursus_maritimus ENSUMAG00000022401
ursus_americanus ENSUAMG00000008136
ailuropoda_melanoleuca ENSAMEG00000005421
neovison_vison ENSNVIG00000011313
mustela_putorius_furo ENSMPUG00000011051
canis_lupus_dingo ENSCAFG00020018375
canis_lupus_familiaris ENSCAFG00000015955
vulpes_vulpes ENSVVUG00000018779
panthera_pardus ENSPPRG00000002037
panthera_tigris_altaica ENSPTIG00000019689
felis_catus ENSFCAG00000001926
bos_taurus ENSBTAG00000016384
bos_mutus ENSBMUG00000019549
bison_bison_bison ENSBBBG00000010194
ovis_aries ENSOARG00000016666
capra_hircus ENSCHIG00000010085
tursiops_truncatus ENSTTRG00000014656
vicugna_pacos ENSVPAG00000005393
sus_scrofa ENSSSCG00000017439
erinaceus_europaeus ENSEEUG00000001013
oryctolagus_cuniculus ENSOCUG00000013079
ochotona_princeps ENSOPRG00000007824
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017222
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009759
fukomys_damarensis ENSFDAG00000002779
octodon_degus ENSODEG00000017895
dasypus_novemcinctus ENSDNOG00000000683
choloepus_hoffmanni ENSCHOG00000009758
pan_troglodytes ENSPTRG00000009164
pan_paniscus ENSPPAG00000014018
homo_sapiens ENSG00000108759
gorilla_gorilla ENSGGOG00000016863
pongo_abelii ENSPPYG00000008420
nomascus_leucogenys ENSNLEG00000010704
macaca_fascicularis ENSMFAG00000041780
macaca_nemestrina ENSMNEG00000045031
macaca_mulatta ENSMMUG00000018644
cercocebus_atys ENSCATG00000000009
mandrillus_leucophaeus ENSMLEG00000016779
theropithecus_gelada ENSTGEG00000008082
papio_anubis ENSPANG00000021554
chlorocebus_sabaeus ENSCSAG00000002953
colobus_angolensis_palliatus ENSCANG00000033811
piliocolobus_tephrosceles ENSPTEG00000030102
rhinopithecus_bieti ENSRBIG00000033774
rhinopithecus_roxellana ENSRROG00000035134
cebus_capucinus_imitator ENSCCAG00000021372
callithrix_jacchus ENSCJAG00000037849
saimiri_boliviensis_boliviensis ENSSBOG00000031581
aotus_nancymaae ENSANAG00000035400
carlito_syrichta ENSTSYG00000014314
prolemur_simus ENSPSMG00000014291
microcebus_murinus ENSMICG00000012857
propithecus_coquereli ENSPCOG00000025475
otolemur_garnettii ENSOGAG00000011449
tupaia_belangeri ENSTBEG00000002335
castor_canadensis ENSCCNG00000015335
dipodomys_ordii ENSDORG00000006959
mus_spicilegus ENSMSIG00000001532
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017998
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046095
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017156
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018285
rattus_norvegicus ENSRNOG00000013611
meriones_unguiculatus ENSMUGG00000020321
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019573
cricetulus_griseus_crigri-picr ENSCGRG00015004013
cricetulus_griseus_crigri_1.0 ENSCGRG00000016052
mesocricetus_auratus ENSMAUG00000011384
peromyscus_maniculatus_bairdii ENSPEMG00000018356
microtus_ochrogaster ENSMOCG00000000760
nannospalax_galili ENSNGAG00000013427
jaculus_jaculus ENSJJAG00000021346
urocitellus_parryii ENSUPAG00010008877
ictidomys_tridecemlineatus ENSSTOG00000014374
spermophilus_dauricus ENSSDAG00000007851
marmota_marmota_marmota ENSMMMG00000006755
loxodonta_africana ENSLAFG00000017179
procavia_capensis ENSPCAG00000003070
echinops_telfairi ENSETEG00000008833
notamacropus_eugenii ENSMEUG00000009603
phascolarctos_cinereus ENSPCIG00000002521
sarcophilus_harrisii ENSSHAG00000005214
monodelphis_domestica ENSMODG00000014396
