drosophila_melanogaster FBgn0015270
caenorhabditis_elegans_strain_n2 WBGene00003882
petromyzon_marinus ENSPMAG00000008946
eptatretus_burgeri ENSEBUG00000004595
astyanax_mexicanus ENSAMXG00000020816
pygocentrus_nattereri ENSPNAG00000007996
ictalurus_punctatus ENSIPUG00000021681
danio_rerio ENSDARG00000101465
labrus_bergylta ENSLBEG00000004202
gasterosteus_aculeatus ENSGACG00000012499
takifugu_rubripes ENSTRUG00000003785
tetraodon_nigroviridis ENSTNIG00000007912
mola_mola ENSMMOG00000013539
cyprinodon_variegatus ENSCVAG00000015629
fundulus_heteroclitus ENSFHEG00000018622
xiphophorus_maculatus ENSXMAG00000011765
xiphophorus_couchianus ENSXCOG00000007886
gambusia_affinis ENSGAFG00000015262
poecilia_formosa ENSPFOG00000014686
poecilia_latipinna ENSPLAG00000021186
poecilia_mexicana ENSPMEG00000001766
poecilia_reticulata ENSPREG00000021418
kryptolebias_marmoratus ENSKMAG00000019234
oryzias_latipes_asm223467v1 ENSORLG00000011520
oryzias_latipes_asm223469v1 ENSORLG00015003635
oryzias_latipes_asm223471v1 ENSORLG00020009012
oryzias_melastigma ENSOMEG00000011518
pundamilia_nyererei ENSPNYG00000016961
haplochromis_burtoni ENSHBUG00000022578
astatotilapia_calliptera ENSACLG00000018079
maylandia_zebra ENSMZEG00005011216
oreochromis_niloticus ENSONIG00000015654
neolamprologus_brichardi ENSNBRG00000015996
amphilophus_citrinellus ENSACIG00000010403
amphiprion_ocellaris ENSAOCG00000010181
amphiprion_percula ENSAPEG00000021850
acanthochromis_polyacanthus ENSAPOG00000010148
stegastes_partitus ENSSPAG00000003306
periophthalmus_magnuspinnatus ENSPMGG00000020618
cynoglossus_semilaevis ENSCSEG00000008857
mastacembelus_armatus ENSMAMG00000017247
monopterus_albus ENSMALG00000012808
anabas_testudineus ENSATEG00000005434
seriola_lalandi_dorsalis ENSSLDG00000004011
seriola_dumerili ENSSDUG00000001777
scophthalmus_maximus ENSSMAG00000012921
hippocampus_comes ENSHCOG00000014912
gadus_morhua ENSGMOG00000004135
esox_lucius ENSELUG00000012606
paramormyrops_kingsleyae ENSPKIG00000003680
scleropages_formosus ENSSFOG00015013824
lepisosteus_oculatus ENSLOCG00000009832
pogona_vitticeps ENSPVIG00000016661
anolis_carolinensis ENSACAG00000001915
notechis_scutatus ENSNSUG00000013192
salvator_merianae ENSSMRG00000020017
sphenodon_punctatus ENSSPUG00000003152
lonchura_striata_domestica ENSLSDG00000000399
taeniopygia_guttata ENSTGUG00000010352
serinus_canaria ENSSCAG00000002715
junco_hyemalis ENSJHYG00000008709
zonotrichia_albicollis ENSZALG00000017937
ficedula_albicollis ENSFALG00000004147
cyanistes_caeruleus ENSCCEG00000023245
parus_major ENSPMJG00000018173
manacus_vitellinus ENSMVIG00005018279
lepidothrix_coronata ENSLCOG00000016035
melopsittacus_undulatus ENSMUNG00000015202
calidris_pygmaea ENSCPGG00000001548
calidris_pugnax ENSCPUG00000008211
meleagris_gallopavo ENSMGAG00000007673
coturnix_japonica ENSCJPG00005015236
gallus_gallus ENSGALG00000008234
numida_meleagris ENSNMEG00000021327
anser_brachyrhynchus ENSABRG00000013617
apteryx_haastii ENSAHAG00000016651
apteryx_owenii ENSAOWG00000000484
apteryx_rowi ENSARWG00000004969
dromaius_novaehollandiae ENSDNVG00000015398
nothoprocta_perdicaria ENSNPEG00000008409
crocodylus_porosus ENSCPRG00005008409
gopherus_agassizii ENSGAGG00000010451
chelonoidis_abingdonii ENSCABG00000012349
chrysemys_picta_bellii ENSCPBG00000011736
pelodiscus_sinensis ENSPSIG00000004159
phascolarctos_cinereus ENSPCIG00000034597
notamacropus_eugenii ENSMEUG00000005184
sarcophilus_harrisii ENSSHAG00000012779
monodelphis_domestica ENSMODG00000015068
choloepus_hoffmanni ENSCHOG00000007580
dasypus_novemcinctus ENSDNOG00000001397
loxodonta_africana ENSLAFG00000022430
procavia_capensis ENSPCAG00000005851
echinops_telfairi ENSETEG00000007281
myotis_lucifugus ENSMLUG00000001662
pteropus_vampyrus ENSPVAG00000008117
