ENSPTRT00000002455 ENSPTRG00000001334
ENSPPAT00000018391 ENSPPAG00000016811
ENST00000368765 ENSG00000163206
ENSPPYT00000001000 ENSPPYG00000000829
ENSRBIT00000023429 ENSRBIG00000021351
ENSRROT00000026938 ENSRROG00000024262
ENSPTET00000037707 ENSPTEG00000026802
ENSPANT00000021560 ENSPANG00000014666
ENSTGET00000026849 ENSTGEG00000018203
ENSMMUT00000024938 ENSMMUG00000017740
ENSMFAT00000063402 ENSMFAG00000029184
ENSMNET00000005057 ENSMNEG00000004702
ENSCSAT00000018496 ENSCSAG00000000039
ENSCJAT00000097528 ENSCJAG00000067984
ENSPSMT00000000467 ENSPSMG00000000342
ENSOPRT00000004397 ENSOPRG00000004416
ENSSSCT00000007224 ENSSSCG00000006594
