ENSGAGP00000020540	ENSGAGG00000015122	Gopherus_agassizii
ENSCABP00000027281	ENSCABG00000020025	Chelonoidis_abingdonii
ENSCPBP00000000705	ENSCPBG00000000582	Chrysemys_picta_bellii
ENSCPRP00005006751	ENSCPRG00005004806	Crocodylus_porosus
ENSPVIP00000028102	ENSPVIG00000020868	Pogona_vitticeps	ENSPVIT00000034530
ENSACAP00000008831	ENSACAG00000009038	Anolis_carolinensis	ENSACAT00000009021
ENSNSUP00000018339	ENSNSUG00000013416	Notechis_scutatus
ENSSMRP00000028770	ENSSMRG00000022122	Salvator_merianae
ENSSPUP00000024731	ENSSPUG00000018955	Sphenodon_punctatus
ENSMVIP00005013063	ENSMVIG00005009483	Manacus_vitellinus
ENSLCOP00000002019	ENSLCOG00000001591	Lepidothrix_coronata
ENSTGUP00000006970	ENSTGUG00000006783	Taeniopygia_guttata
ENSLSDP00000007199	ENSLSDG00000005416	Lonchura_striata_domestica
ENSSCAP00000007248	ENSSCAG00000005598	Serinus_canaria
ENSJHYP00000022512	ENSJHYG00000016981	Junco_hyemalis
ENSFALP00000013960	ENSFALG00000013377	Ficedula_albicollis
ENSPMJP00000022351	ENSPMJG00000016556	Parus_major
ENSCCEP00000022680	ENSCCEG00000020459	Cyanistes_caeruleus
ENSMUNP00000005124	ENSMUNG00000004242	Melopsittacus_undulatus
ENSCPGP00000011307	ENSCPGG00000008059	Calidris_pygmaea
ENSCPUP00000017048	ENSCPUG00000011748	Calidris_pugnax
ENSMGAP00000002298	ENSMGAG00000002693	Meleagris_gallopavo
ENSCJPP00005024367	ENSCJPG00005019224	Coturnix_japonica
ENSGALP00000010561	ENSGALG00000006547	Gallus_gallus
ENSNMEP00000005285	ENSNMEG00000005530	Numida_meleagris
ENSABRP00000024187	ENSABRG00000020315	Anser_brachyrhynchus
ENSAHAP00000021211	ENSAHAG00000014893	Apteryx_haastii
ENSARWP00000017201	ENSARWG00000011846	Apteryx_rowi
ENSAOWP00000001223	ENSAOWG00000000877	Apteryx_owenii
ENSDNVP00000013708	ENSDNVG00000009670	Dromaius_novaehollandiae
ENSNPEP00000000323	ENSNPEG00000000296	Nothoprocta_perdicaria
ENSSARP00000006465	ENSSARG00000007140	Sorex_araneus
ENSEEUP00000008960	ENSEEUG00000009853	Erinaceus_europaeus
ENSDNOP00000005757	ENSDNOG00000007433	Dasypus_novemcinctus
ENSPVAP00000016768	ENSPVAG00000017776	Pteropus_vampyrus
ENSMLUP00000004063	ENSMLUG00000004465	Myotis_lucifugus
ENSVPAP00000010260	ENSVPAG00000011021	Vicugna_pacos
ENSSSCP00000060070	ENSSSCG00000026585	Sus_scrofa_strain_reference
ENSBIXP00000037799	ENSBIXG00000021474	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045717	ENSBIXG00005001603	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000010911	ENSBTAG00000008291	Bos_taurus
ENSBMUP00000006284	ENSBMUG00000004929	Bos_mutus
ENSBBBP00000023091	ENSBBBG00000017455	Bison_bison_bison
ENSCHIP00000024635	ENSCHIG00000021754	Capra_hircus
ENSOARP00000012801	ENSOARG00000011939	Ovis_aries
ENSTTRP00000016125	ENSTTRG00000017009	Tursiops_truncatus
ENSEASP00005008059	ENSEASG00005005851	Equus_asinus_asinus
ENSECAP00000021910	ENSECAG00000024428	Equus_caballus
ENSUAMP00000009569	ENSUAMG00000007938	Ursus_americanus
ENSUMAP00000006518	ENSUMAG00000005112	Ursus_maritimus
ENSAMEP00000010182	ENSAMEG00000009692	Ailuropoda_melanoleuca
ENSNVIP00000019927	ENSNVIG00000015621	Neovison_vison
ENSMPUP00000017693	ENSMPUG00000017804	Mustela_putorius_furo
ENSCAFP00020006568	ENSCAFG00020005331	Canis_lupus_dingo
ENSCAFP00000052069	ENSCAFG00000007945	Canis_lupus_familiaris
ENSVVUP00000005311	ENSVVUG00000004169	Vulpes_vulpes
ENSPTIP00000021780	ENSPTIG00000018834	Panthera_tigris_altaica
ENSPPRP00000011755	ENSPPRG00000005506	Panthera_pardus
ENSFCAP00000055506	ENSFCAG00000002314	Felis_catus
ENSCCNP00000020902	ENSCCNG00000020799	Castor_canadensis
ENSDORP00000001108	ENSDORG00000001184	Dipodomys_ordii
ENSUPAP00010005399	ENSUPAG00010004359	Urocitellus_parryii
ENSSTOP00000010687	ENSSTOG00000011916	Ictidomys_tridecemlineatus
ENSSDAP00000021080	ENSSDAG00000019176	Spermophilus_dauricus
ENSMMMP00000026621	ENSMMMG00000023300	Marmota_marmota_marmota
ENSMUSP00000029140	ENSMUSG00000027611	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0057676	MGP_SPRETEiJ_G0025458	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000003501	ENSMSIG00000003240	Mus_spicilegus
MGP_CAROLIEiJ_P0055530	MGP_CAROLIEiJ_G0024536	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0066504	MGP_PahariEiJ_G0025981	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000052129	ENSRNOG00000019330	Rattus_norvegicus
ENSMUGP00000008792	ENSMUGG00000007914	Meriones_unguiculatus
ENSPEMP00000026273	ENSPEMG00000022438	Peromyscus_maniculatus_bairdii
ENSMOCP00000008070	ENSMOCG00000007987	Microtus_ochrogaster
ENSCGRP00001023130	ENSCGRG00001021446	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006108	ENSCGRG00000004467	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015034692	ENSCGRG00015026089	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000016646	ENSMAUG00000015719	Mesocricetus_auratus
ENSNGAP00000004090	ENSNGAG00000005146	Nannospalax_galili
ENSJJAP00000006623	ENSJJAG00000011230	Jaculus_jaculus
ENSCLAP00000023552	ENSCLAG00000016150	Chinchilla_lanigera
ENSODEP00000017195	ENSODEG00000012672	Octodon_degus
ENSCAPP00000004660	ENSCAPG00000007157	Cavia_aperea
ENSCPOP00000004740	ENSCPOG00000005271	Cavia_porcellus
ENSHGLP00000013403	ENSHGLG00000009583	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005272	ENSHGLG00100004001	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018438	ENSFDAG00000009827	Fukomys_damarensis
ENSOCUP00000014266	ENSOCUG00000016598	Oryctolagus_cuniculus
ENSOPRP00000015782	ENSOPRG00000017291	Ochotona_princeps
ENSCANP00000036933	ENSCANG00000042154	Colobus_angolensis_palliatus
ENSPTEP00000009499	ENSPTEG00000010781	Piliocolobus_tephrosceles
ENSRROP00000022514	ENSRROG00000035122	Rhinopithecus_roxellana
ENSRBIP00000029648	ENSRBIG00000038705	Rhinopithecus_bieti
ENSMFAP00000033235	ENSMFAG00000003141	Macaca_fascicularis
ENSMNEP00000009755	ENSMNEG00000029304	Macaca_nemestrina
ENSMMUP00000065487	ENSMMUG00000055802	Macaca_mulatta
ENSPANP00000016776	ENSPANG00000014243	Papio_anubis
ENSCATP00000001224	ENSCATG00000005902	Cercocebus_atys
ENSMLEP00000027311	ENSMLEG00000037869	Mandrillus_leucophaeus
ENSTGEP00000005784	ENSTGEG00000004779	Theropithecus_gelada
ENSCSAP00000008006	ENSCSAG00000011810	Chlorocebus_sabaeus
ENSPPAP00000010517	ENSPPAG00000028469	Pan_paniscus
ENSPTRP00000052237	ENSPTRG00000013431	Pan_troglodytes
ENSGGOP00000001005	ENSGGOG00000001019	Gorilla_gorilla
ENSP00000216968	ENSG00000101000	Homo_sapiens
ENSNLEP00000012430	ENSNLEG00000010201	Nomascus_leucogenys
ENSCCAP00000023776	ENSCCAG00000029686	Cebus_capucinus_imitator
ENSSBOP00000037298	ENSSBOG00000034753	Saimiri_boliviensis_boliviensis
ENSCJAP00000032987	ENSCJAG00000017877	Callithrix_jacchus
ENSANAP00000039740	ENSANAG00000037248	Aotus_nancymaae
ENSTSYP00000022714	ENSTSYG00000037554	Carlito_syrichta
ENSPCOP00000006116	ENSPCOG00000014168	Propithecus_coquereli
ENSMICP00000035508	ENSMICG00000038532	Microcebus_murinus
ENSPSMP00000002826	ENSPSMG00000002266	Prolemur_simus
ENSOGAP00000001628	ENSOGAG00000001829	Otolemur_garnettii
ENSCHOP00000002883	ENSCHOG00000003261	Choloepus_hoffmanni
ENSLAFP00000012626	ENSLAFG00000015078	Loxodonta_africana
ENSPCAP00000012120	ENSPCAG00000013011	Procavia_capensis
ENSVURP00010000202	ENSVURG00010000191	Vombatus_ursinus
ENSVURP00010000213	ENSVURG00010000202	Vombatus_ursinus
ENSPCIP00000046419	ENSPCIG00000027977	Phascolarctos_cinereus
ENSMEUP00000011151	ENSMEUG00000012233	Notamacropus_eugenii
ENSSHAP00000021578	ENSSHAG00000018276	Sarcophilus_harrisii
ENSMODP00000051378	ENSMODG00000001848	Monodelphis_domestica
ENSOANP00000023902	ENSOANG00000015181	Ornithorhynchus_anatinus
