apteryx_haastii ENSAHAG00000015472
apteryx_rowi ENSARWG00000015103
apteryx_owenii ENSAOWG00000015542
dromaius_novaehollandiae ENSDNVG00000018395
nothoprocta_perdicaria ENSNPEG00000012649
anser_brachyrhynchus ENSABRG00000009059
anas_platyrhynchos_platyrhynchos ENSAPLG00000006352
meleagris_gallopavo ENSMGAG00000005650
coturnix_japonica ENSCJPG00005014443
gallus_gallus ENSGALG00000021158
numida_meleagris ENSNMEG00000018541
taeniopygia_guttata ENSTGUG00000009229
lonchura_striata_domestica ENSLSDG00000010572
zonotrichia_albicollis ENSZALG00000016646
junco_hyemalis ENSJHYG00000010802
serinus_canaria ENSSCAG00000011944
ficedula_albicollis ENSFALG00000000274
cyanistes_caeruleus ENSCCEG00000019602
parus_major ENSPMJG00000003558
manacus_vitellinus ENSMVIG00005003527
lepidothrix_coronata ENSLCOG00000013612
melopsittacus_undulatus ENSMUNG00000014776
calidris_pugnax ENSCPUG00000008090
calidris_pygmaea ENSCPGG00000004091
crocodylus_porosus ENSCPRG00005004298
chelonoidis_abingdonii ENSCABG00000014614
gopherus_agassizii ENSGAGG00000010081
chrysemys_picta_bellii ENSCPBG00000000262
pelodiscus_sinensis ENSPSIG00000006224
anolis_carolinensis ENSACAG00000007311
pogona_vitticeps ENSPVIG00000008941
notechis_scutatus ENSNSUG00000012757
salvator_merianae ENSSMRG00000017135
sphenodon_punctatus ENSSPUG00000013215
notamacropus_eugenii ENSMEUG00000013405
phascolarctos_cinereus ENSPCIG00000020995
sarcophilus_harrisii ENSSHAG00000000814
monodelphis_domestica ENSMODG00000012256
pan_paniscus ENSPPAG00000040321
pan_troglodytes ENSPTRG00000010796
gorilla_gorilla ENSGGOG00000011960
homo_sapiens ENSG00000021488
pongo_abelii ENSPPYG00000009822
nomascus_leucogenys ENSNLEG00000007638
theropithecus_gelada ENSTGEG00000015230
papio_anubis ENSPANG00000001204
mandrillus_leucophaeus ENSMLEG00000034139
cercocebus_atys ENSCATG00000032830
macaca_mulatta ENSMMUG00000028800
macaca_fascicularis ENSMFAG00000002286
chlorocebus_sabaeus ENSCSAG00000004775
piliocolobus_tephrosceles ENSPTEG00000039262
colobus_angolensis_palliatus ENSCANG00000040128
rhinopithecus_roxellana ENSRROG00000036350
rhinopithecus_bieti ENSRBIG00000033770
saimiri_boliviensis_boliviensis ENSSBOG00000026844
cebus_capucinus ENSCCAG00000036558
callithrix_jacchus ENSCJAG00000000755
aotus_nancymaae ENSANAG00000023617
carlito_syrichta ENSTSYG00000029865
prolemur_simus ENSPSMG00000015023
propithecus_coquereli ENSPCOG00000026968
microcebus_murinus ENSMICG00000046921
otolemur_garnettii ENSOGAG00000012118
erinaceus_europaeus ENSEEUG00000012903
dasypus_novemcinctus ENSDNOG00000044029
capra_hircus ENSCHIG00000012474
capra_hircus ENSCHIG00000000333
ovis_aries ENSOARG00000004279
bos_mutus ENSBMUG00000019309
bos_taurus ENSBTAG00000013338
bison_bison_bison ENSBBBG00000010461
tursiops_truncatus ENSTTRG00000012215
vicugna_pacos ENSVPAG00000012055
sus_scrofa ENSSSCG00000022948
equus_caballus ENSECAG00000009914
equus_asinus_asinus ENSEASG00005021090
myotis_lucifugus ENSMLUG00000010760
pteropus_vampyrus ENSPVAG00000014602
ursus_americanus ENSUAMG00000007291
ursus_maritimus ENSUMAG00000014340
ailuropoda_melanoleuca ENSAMEG00000015459
mustela_putorius_furo ENSMPUG00000007696
neovison_vison ENSNVIG00000019724
canis_lupus_familiaris ENSCAFG00000007499
canis_lupus_dingo ENSCAFG00020019778
vulpes_vulpes ENSVVUG00000016626
panthera_pardus ENSPPRG00000000104
panthera_tigris_altaica ENSPTIG00000011909
felis_catus ENSFCAG00000014914
sorex_araneus ENSSARG00000003331
cricetulus_griseus_chok1gshd ENSCGRG00001005745
cricetulus_griseus_crigri ENSCGRG00000003817
cricetulus_griseus_crigri-picr ENSCGRG00015020107
mesocricetus_auratus ENSMAUG00000016182
microtus_ochrogaster ENSMOCG00000001789
peromyscus_maniculatus_bairdii ENSPEMG00000020346
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030685
mus_spicilegus ENSMSIG00000024211
mus_musculus ENSMUSG00000030492
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029586
mus_pahari MGP_PahariEiJ_G0012820
rattus_norvegicus ENSRNOG00000012344
meriones_unguiculatus ENSMUGG00000014858
nannospalax_galili ENSNGAG00000009688
jaculus_jaculus ENSJJAG00000014613
castor_canadensis ENSCCNG00000015802
dipodomys_ordii ENSDORG00000026148
heterocephalus_glaber_male ENSHGLG00100000233
heterocephalus_glaber_female ENSHGLG00000018693
fukomys_damarensis ENSFDAG00000018821
octodon_degus ENSODEG00000015062
octodon_degus ENSODEG00000014355
chinchilla_lanigera ENSCLAG00000012671
cavia_porcellus ENSCPOG00000034999
cavia_aperea ENSCAPG00000008982
cavia_porcellus ENSCPOG00000011225
cavia_aperea ENSCAPG00000014227
cavia_porcellus ENSCPOG00000030866
cavia_aperea ENSCAPG00000005114
ictidomys_tridecemlineatus ENSSTOG00000013674
marmota_marmota_marmota ENSMMMG00000007036
urocitellus_parryii ENSUPAG00010010354
spermophilus_dauricus ENSSDAG00000005189
ochotona_princeps ENSOPRG00000015841
oryctolagus_cuniculus ENSOCUG00000005496
tupaia_belangeri ENSTBEG00000008906
loxodonta_africana ENSLAFG00000008707
echinops_telfairi ENSETEG00000004711
procavia_capensis ENSPCAG00000005535
ornithorhynchus_anatinus ENSOANG00000012726
xenopus_tropicalis ENSXETG00000018268
latimeria_chalumnae ENSLACG00000012311
latimeria_chalumnae ENSLACG00000011856
cynoglossus_semilaevis ENSCSEG00000011504
cynoglossus_semilaevis ENSCSEG00000011475
takifugu_rubripes ENSTRUG00000000294
tetraodon_nigroviridis ENSTNIG00000004664
labrus_bergylta ENSLBEG00000005377
mola_mola ENSMMOG00000000431
gasterosteus_aculeatus ENSGACG00000016327
gasterosteus_aculeatus ENSGACG00000016317
mastacembelus_armatus ENSMAMG00000020324
monopterus_albus ENSMALG00000008260
anabas_testudineus ENSATEG00000018938
seriola_dumerili ENSSDUG00000002790
seriola_lalandi_dorsalis ENSSLDG00000005008
scophthalmus_maximus ENSSMAG00000006311
amphiprion_percula ENSAPEG00000002656
amphiprion_ocellaris ENSAOCG00000015001
acanthochromis_polyacanthus ENSAPOG00000006049
stegastes_partitus ENSSPAG00000017797
astatotilapia_calliptera ENSACLG00000012533
maylandia_zebra ENSMZEG00005009634
haplochromis_burtoni ENSHBUG00000021998
maylandia_zebra ENSMZEG00005009603
haplochromis_burtoni ENSHBUG00000022023
pundamilia_nyererei ENSPNYG00000018417
neolamprologus_brichardi ENSNBRG00000001777
oreochromis_niloticus ENSONIG00000002427
amphilophus_citrinellus ENSACIG00000021894
fundulus_heteroclitus ENSFHEG00000008658
cyprinodon_variegatus ENSCVAG00000012099
poecilia_formosa ENSPFOG00000014805
poecilia_latipinna ENSPLAG00000012018
poecilia_mexicana ENSPMEG00000006590
poecilia_formosa ENSPFOG00000014887
poecilia_mexicana ENSPMEG00000008330
poecilia_latipinna ENSPLAG00000005150
poecilia_reticulata ENSPREG00000012477
xiphophorus_maculatus ENSXMAG00000017467
xiphophorus_couchianus ENSXCOG00000012342
gambusia_affinis ENSGAFG00000009165
kryptolebias_marmoratus ENSKMAG00000018564
oryzias_latipes_asm223469v1 ENSORLG00015022932
oryzias_latipes ENSORLG00000011802
oryzias_latipes ENSORLG00020002261
oryzias_melastigma ENSOMEG00000011952
periophthalmus_magnuspinnatus ENSPMGG00000006228
gadus_morhua ENSGMOG00000000518
esox_lucius ENSELUG00000018001
