gopherus_agassizii ENSGAGG00000003895
chelonoidis_abingdonii ENSCABG00000008156
chrysemys_picta_bellii ENSCPBG00000027036
pelodiscus_sinensis ENSPSIG00000012159
crocodylus_porosus ENSCPRG00005008498
sphenodon_punctatus ENSSPUG00000005704
pogona_vitticeps ENSPVIG00000011359
anolis_carolinensis ENSACAG00000003660
notechis_scutatus ENSNSUG00000020388
salvator_merianae ENSSMRG00000007289
anas_platyrhynchos_platyrhynchos ENSAPLG00000029242
anser_brachyrhynchus ENSABRG00000002880
meleagris_gallopavo ENSMGAG00000008667
coturnix_japonica ENSCJPG00005015238
numida_meleagris ENSNMEG00000005452
phascolarctos_cinereus ENSPCIG00000007275
notamacropus_eugenii ENSMEUG00000015953
sarcophilus_harrisii ENSSHAG00000015223
monodelphis_domestica ENSMODG00000002707
oryctolagus_cuniculus ENSOCUG00000004396
ochotona_princeps ENSOPRG00000010670
sorex_araneus ENSSARG00000011909
propithecus_coquereli ENSPCOG00000021288
prolemur_simus ENSPSMG00000013004
microcebus_murinus ENSMICG00000012114
otolemur_garnettii ENSOGAG00000004589
gorilla_gorilla ENSGGOG00000003294
homo_sapiens ENSG00000181019
pan_troglodytes ENSPTRG00000008284
pan_paniscus ENSPPAG00000033488
pongo_abelii ENSPPYG00000007508
nomascus_leucogenys ENSNLEG00000032087
rhinopithecus_bieti ENSRBIG00000035089
rhinopithecus_roxellana ENSRROG00000044150
piliocolobus_tephrosceles ENSPTEG00000008835
macaca_mulatta ENSMMUG00000019684
macaca_nemestrina ENSMNEG00000033242
macaca_fascicularis ENSMFAG00000002412
theropithecus_gelada ENSTGEG00000009923
cercocebus_atys ENSCATG00000025805
mandrillus_leucophaeus ENSMLEG00000039095
papio_anubis ENSPANG00000032471
chlorocebus_sabaeus ENSCSAG00000004154
cebus_capucinus_imitator ENSCCAG00000034092
saimiri_boliviensis_boliviensis ENSSBOG00000026784
callithrix_jacchus ENSCJAG00000045541
aotus_nancymaae ENSANAG00000028964
carlito_syrichta ENSTSYG00000000709
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032653
mus_spicilegus ENSMSIG00000003570
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000003849
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031535
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023135
rattus_norvegicus ENSRNOG00000012772
meriones_unguiculatus ENSMUGG00000017574
microtus_ochrogaster ENSMOCG00000019596
microtus_ochrogaster ENSMOCG00000009352
peromyscus_maniculatus_bairdii ENSPEMG00000015874
cricetulus_griseus_crigri_1.0 ENSCGRG00000009975
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018914
cricetulus_griseus_crigri-picr ENSCGRG00015009783
mesocricetus_auratus ENSMAUG00000008644
nannospalax_galili ENSNGAG00000017725
jaculus_jaculus ENSJJAG00000016948
dipodomys_ordii ENSDORG00000000488
castor_canadensis ENSCCNG00000031610
urocitellus_parryii ENSUPAG00010023761
spermophilus_dauricus ENSSDAG00000024215
marmota_marmota_marmota ENSMMMG00000014019
ictidomys_tridecemlineatus ENSSTOG00000016054
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007320
