apteryx_owenii ENSAOWG00000009710
notechis_scutatus ENSNSUG00000015791
tetraodon_nigroviridis ENSTNIG00000014898
takifugu_rubripes ENSTRUG00000023012
mola_mola ENSMMOG00000020850
larimichthys_crocea ENSLCRG00005014824
labrus_bergylta ENSLBEG00000017196
maylandia_zebra ENSMZEG00005024415
astatotilapia_calliptera ENSACLG00000010674
haplochromis_burtoni ENSHBUG00000012883
pundamilia_nyererei ENSPNYG00000007351
neolamprologus_brichardi ENSNBRG00000003639
oreochromis_niloticus ENSONIG00000018581
amphilophus_citrinellus ENSACIG00000008092
monopterus_albus ENSMALG00000016234
betta_splendens ENSBSLG00000025946
scophthalmus_maximus ENSSMAG00000014887
tetraodon_nigroviridis ENSTNIG00000006251
erpetoichthys_calabaricus ENSECRG00000022064
eptatretus_burgeri ENSEBUG00000015912
