castor_canadensis ENSCCNG00000015200
chinchilla_lanigera ENSCLAG00000001157
mus_musculus ENSMUSG00000076473
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002255
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002409
mus_spicilegus ENSMSIG00000003873
mus_pahari MGP_PahariEiJ_G0002057
rattus_norvegicus ENSRNOG00000042112
meriones_unguiculatus ENSMUGG00000014466
peromyscus_maniculatus_bairdii ENSPEMG00000031162
cricetulus_griseus_crigri-picr ENSCGRG00015023083
oryctolagus_cuniculus ENSOCUG00000021032
pan_paniscus ENSPPAG00000043752
theropithecus_gelada ENSTGEG00000027863
cebus_capucinus ENSCCAG00000023259
cebus_capucinus ENSCCAG00000028793
homo_sapiens ENSG00000276953
gorilla_gorilla ENSGGOG00000043432
pongo_abelii ENSPPYG00000018090
pan_paniscus ENSPPAG00000012950
pan_troglodytes ENSPTRG00000048605
homo_sapiens ENSG00000274752
gorilla_gorilla ENSGGOG00000039484
nomascus_leucogenys ENSNLEG00000002655
rhinopithecus_bieti ENSRBIG00000041481
piliocolobus_tephrosceles ENSPTEG00000034038
chlorocebus_sabaeus ENSCSAG00000007776
theropithecus_gelada ENSTGEG00000027969
theropithecus_gelada ENSTGEG00000027972
mandrillus_leucophaeus ENSMLEG00000009753
chlorocebus_sabaeus ENSCSAG00000007771
macaca_nemestrina ENSMNEG00000029649
macaca_fascicularis ENSMFAG00000040021
cercocebus_atys ENSCATG00000037630
cebus_capucinus ENSCCAG00000017433
saimiri_boliviensis_boliviensis ENSSBOG00000014859
callithrix_jacchus ENSCJAG00000047149
aotus_nancymaae ENSANAG00000019721
prolemur_simus ENSPSMG00000000005
otolemur_garnettii ENSOGAG00000031442
marmota_marmota_marmota ENSMMMG00000008402
spermophilus_dauricus ENSSDAG00000006321
spermophilus_dauricus ENSSDAG00000006362
marmota_marmota_marmota ENSMMMG00000008375
marmota_marmota_marmota ENSMMMG00000008430
urocitellus_parryii ENSUPAG00010009768
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002408
mus_musculus ENSMUSG00000076472
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002254
mus_pahari MGP_PahariEiJ_G0002056
cricetulus_griseus_crigri-picr ENSCGRG00015023076
peromyscus_maniculatus_bairdii ENSPEMG00000025658
equus_caballus ENSECAG00000000985
equus_asinus_asinus ENSEASG00005009416
equus_caballus ENSECAG00000032453
equus_asinus_asinus ENSEASG00005009406
equus_asinus_asinus ENSEASG00005009424
equus_caballus ENSECAG00000010338
equus_caballus ENSECAG00000035675
equus_asinus_asinus ENSEASG00005009445
myotis_lucifugus ENSMLUG00000023189
myotis_lucifugus ENSMLUG00000024567
myotis_lucifugus ENSMLUG00000029733
myotis_lucifugus ENSMLUG00000027196
bos_mutus ENSBMUG00000010540
bos_taurus ENSBTAG00000052851
bison_bison_bison ENSBBBG00000015036
capra_hircus ENSCHIG00000007782
ovis_aries ENSOARG00000016091
bos_mutus ENSBMUG00000010558
bos_taurus ENSBTAG00000051811
bison_bison_bison ENSBBBG00000015043
ovis_aries ENSOARG00000016085
sus_scrofa ENSSSCG00000035898
mustela_putorius_furo ENSMPUG00000008560
mustela_putorius_furo ENSMPUG00000008564
ursus_americanus ENSUAMG00000011822
ursus_maritimus ENSUMAG00000012236
ursus_maritimus ENSUMAG00000012235
ailuropoda_melanoleuca ENSAMEG00000006308
canis_lupus_familiaris ENSCAFG00000024810
canis_lupus_dingo ENSCAFG00020021027
panthera_tigris_altaica ENSPTIG00000008004
panthera_pardus ENSPPRG00000019350
felis_catus ENSFCAG00000038741
pan_paniscus ENSPPAG00000023964
homo_sapiens ENSG00000275158
gorilla_gorilla ENSGGOG00000024768
pongo_abelii ENSPPYG00000018091
theropithecus_gelada ENSTGEG00000027980
piliocolobus_tephrosceles ENSPTEG00000034023
dasypus_novemcinctus ENSDNOG00000043190
loxodonta_africana ENSLAFG00000027090
