pogona_vitticeps ENSPVIG00000022351
anolis_carolinensis ENSACAG00000015868
notechis_scutatus ENSNSUG00000015201
salvator_merianae ENSSMRG00000011769
sphenodon_punctatus ENSSPUG00000016021
apteryx_haastii ENSAHAG00000003161
apteryx_owenii ENSAOWG00000010598
apteryx_rowi ENSARWG00000008821
dromaius_novaehollandiae ENSDNVG00000015532
nothoprocta_perdicaria ENSNPEG00000014824
lepidothrix_coronata ENSLCOG00000004952
manacus_vitellinus ENSMVIG00005004475
lonchura_striata_domestica ENSLSDG00000017559
taeniopygia_guttata ENSTGUG00000004265
serinus_canaria ENSSCAG00000016203
ficedula_albicollis ENSFALG00000013380
junco_hyemalis ENSJHYG00000009543
parus_major ENSPMJG00000015066
cyanistes_caeruleus ENSCCEG00000018948
zonotrichia_albicollis ENSZALG00000002040
taeniopygia_guttata ENSTGUG00000016536
calidris_pygmaea ENSCPGG00000007085
calidris_pugnax ENSCPUG00000014286
melopsittacus_undulatus ENSMUNG00000011573
anser_brachyrhynchus ENSABRG00000021898
anas_platyrhynchos_platyrhynchos ENSAPLG00000017191
gallus_gallus ENSGALG00000004569
meleagris_gallopavo ENSMGAG00000005032
coturnix_japonica ENSCJPG00005007749
numida_meleagris ENSNMEG00000016686
gopherus_agassizii ENSGAGG00000016049
chelonoidis_abingdonii ENSCABG00000007412
chrysemys_picta_bellii ENSCPBG00000025925
pelodiscus_sinensis ENSPSIG00000016884
crocodylus_porosus ENSCPRG00005008264
notamacropus_eugenii ENSMEUG00000016174
phascolarctos_cinereus ENSPCIG00000005028
sarcophilus_harrisii ENSSHAG00000008758
monodelphis_domestica ENSMODG00000008754
chinchilla_lanigera ENSCLAG00000011971
octodon_degus ENSODEG00000014463
cavia_porcellus ENSCPOG00000004794
cavia_aperea ENSCAPG00000002244
heterocephalus_glaber_female ENSHGLG00000014440
heterocephalus_glaber_male ENSHGLG00100012853
fukomys_damarensis ENSFDAG00000007651
urocitellus_parryii ENSUPAG00010004261
ictidomys_tridecemlineatus ENSSTOG00000020873
marmota_marmota_marmota ENSMMMG00000006874
spermophilus_dauricus ENSSDAG00000020962
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016170
mus_spicilegus ENSMSIG00000013086
mus_musculus ENSMUSG00000020099
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015359
mus_pahari MGP_PahariEiJ_G0030775
rattus_norvegicus ENSRNOG00000000567
meriones_unguiculatus ENSMUGG00000010818
cricetulus_griseus_crigri ENSCGRG00000015254
cricetulus_griseus_chok1gshd ENSCGRG00001011420
cricetulus_griseus_crigri-picr ENSCGRG00015006784
mesocricetus_auratus ENSMAUG00000011675
microtus_ochrogaster ENSMOCG00000002975
peromyscus_maniculatus_bairdii ENSPEMG00000000250
nannospalax_galili ENSNGAG00000022063
jaculus_jaculus ENSJJAG00000017897
castor_canadensis ENSCCNG00000030906
dipodomys_ordii ENSDORG00000002369
oryctolagus_cuniculus ENSOCUG00000006943
ochotona_princeps ENSOPRG00000006165
pan_paniscus ENSPPAG00000035322
pan_troglodytes ENSPTRG00000002600
homo_sapiens ENSG00000107731
gorilla_gorilla ENSGGOG00000011623
pongo_abelii ENSPPYG00000002362
nomascus_leucogenys ENSNLEG00000016277
theropithecus_gelada ENSTGEG00000028828
papio_anubis ENSPANG00000022279
mandrillus_leucophaeus ENSMLEG00000036840
cercocebus_atys ENSCATG00000041425
macaca_mulatta ENSMMUG00000005998
macaca_fascicularis ENSMFAG00000043834
macaca_nemestrina ENSMNEG00000041658
chlorocebus_sabaeus ENSCSAG00000008417
rhinopithecus_roxellana ENSRROG00000029872
rhinopithecus_bieti ENSRBIG00000037372
colobus_angolensis_palliatus ENSCANG00000042583
piliocolobus_tephrosceles ENSPTEG00000032945
saimiri_boliviensis_boliviensis ENSSBOG00000026794
callithrix_jacchus ENSCJAG00000007027
cebus_capucinus ENSCCAG00000037321
aotus_nancymaae ENSANAG00000024842
carlito_syrichta ENSTSYG00000013855
prolemur_simus ENSPSMG00000007197
microcebus_murinus ENSMICG00000017152
propithecus_coquereli ENSPCOG00000014506
otolemur_garnettii ENSOGAG00000000567
tupaia_belangeri ENSTBEG00000017136
ursus_americanus ENSUAMG00000002112
ursus_maritimus ENSUMAG00000008182
ailuropoda_melanoleuca ENSAMEG00000017743
mustela_putorius_furo ENSMPUG00000004167
neovison_vison ENSNVIG00000010694
canis_lupus_familiaris ENSCAFG00000014319
canis_lupus_dingo ENSCAFG00020025469
vulpes_vulpes ENSVVUG00000021663
panthera_pardus ENSPPRG00000008828
panthera_tigris_altaica ENSPTIG00000009579
felis_catus ENSFCAG00000013047
equus_caballus ENSECAG00000009792
equus_asinus_asinus ENSEASG00005016091
myotis_lucifugus ENSMLUG00000012885
pteropus_vampyrus ENSPVAG00000013476
bos_taurus ENSBTAG00000014270
bos_mutus ENSBMUG00000026703
bison_bison_bison ENSBBBG00000021557
capra_hircus ENSCHIG00000012534
ovis_aries ENSOARG00000006382
tursiops_truncatus ENSTTRG00000017013
sus_scrofa ENSSSCG00000010276
erinaceus_europaeus ENSEEUG00000000706
loxodonta_africana ENSLAFG00000005324
procavia_capensis ENSPCAG00000014252
dasypus_novemcinctus ENSDNOG00000046472
ornithorhynchus_anatinus ENSOANG00000004338
xenopus_tropicalis ENSXETG00000019901
latimeria_chalumnae ENSLACG00000008791
tetraodon_nigroviridis ENSTNIG00000016621
takifugu_rubripes ENSTRUG00000010960
mola_mola ENSMMOG00000003355
labrus_bergylta ENSLBEG00000021658
gasterosteus_aculeatus ENSGACG00000005079
amphiprion_ocellaris ENSAOCG00000003452
amphiprion_percula ENSAPEG00000015806
acanthochromis_polyacanthus ENSAPOG00000001798
stegastes_partitus ENSSPAG00000010635
haplochromis_burtoni ENSHBUG00000010627
astatotilapia_calliptera ENSACLG00000025833
pundamilia_nyererei ENSPNYG00000017709
maylandia_zebra ENSMZEG00005008372
neolamprologus_brichardi ENSNBRG00000015842
oreochromis_niloticus ENSONIG00000009929
amphilophus_citrinellus ENSACIG00000009223
xiphophorus_couchianus ENSXCOG00000010878
xiphophorus_maculatus ENSXMAG00000005624
gambusia_affinis ENSGAFG00000006481
poecilia_formosa ENSPFOG00000016404
poecilia_latipinna ENSPLAG00000003797
poecilia_mexicana ENSPMEG00000019952
poecilia_reticulata ENSPREG00000003540
fundulus_heteroclitus ENSFHEG00000005363
cyprinodon_variegatus ENSCVAG00000016764
kryptolebias_marmoratus ENSKMAG00000015631
oryzias_latipes_asm223469v1 ENSORLG00015001390
oryzias_latipes ENSORLG00020016491
oryzias_latipes ENSORLG00000011553
oryzias_melastigma ENSOMEG00000022126
mastacembelus_armatus ENSMAMG00000019840
monopterus_albus ENSMALG00000002667
anabas_testudineus ENSATEG00000017402
seriola_dumerili ENSSDUG00000001118
seriola_lalandi_dorsalis ENSSLDG00000001368
scophthalmus_maximus ENSSMAG00000008919
cynoglossus_semilaevis ENSCSEG00000011877
hippocampus_comes ENSHCOG00000012144
periophthalmus_magnuspinnatus ENSPMGG00000000967
gadus_morhua ENSGMOG00000017158
esox_lucius ENSELUG00000001142
astyanax_mexicanus ENSAMXG00000038405
pygocentrus_nattereri ENSPNAG00000008315
ictalurus_punctatus ENSIPUG00000024476
danio_rerio ENSDARG00000033327
paramormyrops_kingsleyae ENSPKIG00000006277
scleropages_formosus ENSSFOG00015003500
lepisosteus_oculatus ENSLOCG00000008838
crocodylus_porosus ENSCPRG00005011514
sphenodon_punctatus ENSSPUG00000010858
latimeria_chalumnae ENSLACG00000016048
phascolarctos_cinereus ENSPCIG00000005932
notamacropus_eugenii ENSMEUG00000001549
monodelphis_domestica ENSMODG00000013098
sarcophilus_harrisii ENSSHAG00000017706
chinchilla_lanigera ENSCLAG00000010169
octodon_degus ENSODEG00000016082
cavia_aperea ENSCAPG00000017218
cavia_porcellus ENSCPOG00000011138
heterocephalus_glaber_male ENSHGLG00100015827
heterocephalus_glaber_female ENSHGLG00000017127
fukomys_damarensis ENSFDAG00000018563
jaculus_jaculus ENSJJAG00000012134
castor_canadensis ENSCCNG00000021530
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022641
mus_spicilegus ENSMSIG00000007440
mus_musculus ENSMUSG00000043592
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021729
mus_pahari MGP_PahariEiJ_G0020718
rattus_norvegicus ENSRNOG00000046601
meriones_unguiculatus ENSMUGG00000018063
