astyanax_mexicanus ENSAMXG00000032270
ictalurus_punctatus ENSIPUG00000012034
pygocentrus_nattereri ENSPNAG00000010240
danio_rerio ENSDARG00000097267
maylandia_zebra ENSMZEG00005012066
astatotilapia_calliptera ENSACLG00000003420
amphilophus_citrinellus ENSACIG00000009850
xiphophorus_couchianus ENSXCOG00000014680
poecilia_mexicana ENSPMEG00000022403
poecilia_reticulata ENSPREG00000009490
xiphophorus_maculatus ENSXMAG00000026650
gambusia_affinis ENSGAFG00000016972
cyprinodon_variegatus ENSCVAG00000011827
amphiprion_percula ENSAPEG00000015118
stegastes_partitus ENSSPAG00000016198
acanthochromis_polyacanthus ENSAPOG00000022387
hippocampus_comes ENSHCOG00000012578
periophthalmus_magnuspinnatus ENSPMGG00000010810
labrus_bergylta ENSLBEG00000028375
anabas_testudineus ENSATEG00000009907
seriola_dumerili ENSSDUG00000009361
seriola_lalandi_dorsalis ENSSLDG00000007590
scophthalmus_maximus ENSSMAG00000018142
esox_lucius ENSELUG00000015310
