anas_platyrhynchos_platyrhynchos ENSAPLG00000026897
numida_meleagris ENSNMEG00000018281
lonchura_striata_domestica ENSLSDG00000009410
notechis_scutatus ENSNSUG00000012641
equus_asinus_asinus ENSEASG00005017355
neovison_vison ENSNVIG00000010714
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028763
mus_spicilegus ENSMSIG00000006153
meriones_unguiculatus ENSMUGG00000019399
mesocricetus_auratus ENSMAUG00000001815
jaculus_jaculus ENSJJAG00000012591
aotus_nancymaae ENSANAG00000020415
rhinopithecus_bieti ENSRBIG00000034108
saimiri_boliviensis_boliviensis ENSSBOG00000033140
macaca_nemestrina ENSMNEG00000000150
capra_hircus ENSCHIG00000000471
vulpes_vulpes ENSVVUG00000000428
piliocolobus_tephrosceles ENSPTEG00000035788
macaca_fascicularis ENSMFAG00000041207
pan_troglodytes ENSPTRG00000032648
aotus_nancymaae ENSANAG00000012925
otolemur_garnettii ENSOGAG00000028625
spermophilus_dauricus ENSSDAG00000008414
spermophilus_dauricus ENSSDAG00000002414
spermophilus_dauricus ENSSDAG00000022716
octodon_degus ENSODEG00000010565
spermophilus_dauricus ENSSDAG00000001892
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019920
chlorocebus_sabaeus ENSCSAG00000008809
microcebus_murinus ENSMICG00000007173
cricetulus_griseus_crigri_1.0 ENSCGRG00000000805
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002941
cricetulus_griseus_crigri-picr ENSCGRG00015016624
mus_spicilegus ENSMSIG00000015150
nannospalax_galili ENSNGAG00000020673
pan_paniscus ENSPPAG00000027450
pan_troglodytes ENSPTRG00000018999
gorilla_gorilla ENSGGOG00000041142
gorilla_gorilla ENSGGOG00000040151
pan_paniscus ENSPPAG00000009775
nomascus_leucogenys ENSNLEG00000028168
papio_anubis ENSPANG00000033424
mandrillus_leucophaeus ENSMLEG00000032696
cercocebus_atys ENSCATG00000011087
macaca_fascicularis ENSMFAG00000040131
macaca_nemestrina ENSMNEG00000028907
macaca_mulatta ENSMMUG00000046010
rhinopithecus_roxellana ENSRROG00000029925
rhinopithecus_bieti ENSRBIG00000029012
piliocolobus_tephrosceles ENSPTEG00000004534
colobus_angolensis_palliatus ENSCANG00000014659
saimiri_boliviensis_boliviensis ENSSBOG00000029654
neovison_vison ENSNVIG00000021790
ursus_maritimus ENSUMAG00000007365
vulpes_vulpes ENSVVUG00000029985
panthera_tigris_altaica ENSPTIG00000006335
dasypus_novemcinctus ENSDNOG00000034369
monopterus_albus ENSMALG00000006289
anabas_testudineus ENSATEG00000005472
mola_mola ENSMMOG00000010103
periophthalmus_magnuspinnatus ENSPMGG00000018275
scophthalmus_maximus ENSSMAG00000006823
poecilia_formosa ENSPFOG00000021668
poecilia_reticulata ENSPREG00000014293
xiphophorus_couchianus ENSXCOG00000005721
maylandia_zebra ENSMZEG00005000385
neolamprologus_brichardi ENSNBRG00000015528
poecilia_mexicana ENSPMEG00000017532
poecilia_latipinna ENSPLAG00000019503
gambusia_affinis ENSGAFG00000013806
acanthochromis_polyacanthus ENSAPOG00000002636
amphiprion_percula ENSAPEG00000015663
amphilophus_citrinellus ENSACIG00000011336
stegastes_partitus ENSSPAG00000000633
periophthalmus_magnuspinnatus ENSPMGG00000018274
seriola_lalandi_dorsalis ENSSLDG00000006165
amphilophus_citrinellus ENSACIG00000011068
mastacembelus_armatus ENSMAMG00000006742
neolamprologus_brichardi ENSNBRG00000008296
pygocentrus_nattereri ENSPNAG00000028038
scleropages_formosus ENSSFOG00015010317
