gasterosteus_aculeatus ENSGACG00000003920
kryptolebias_marmoratus ENSKMAG00000012773
amphiprion_ocellaris ENSAOCG00000023641
oreochromis_niloticus ENSONIG00000006885
monopterus_albus ENSMALG00000001890
saimiri_boliviensis_boliviensis ENSSBOG00000022284
aotus_nancymaae ENSANAG00000020425
cercocebus_atys ENSCATG00000029902
theropithecus_gelada ENSTGEG00000007287
chlorocebus_sabaeus ENSCSAG00000006438
macaca_nemestrina ENSMNEG00000043106
macaca_fascicularis ENSMFAG00000012538
panthera_pardus ENSPPRG00000019502
sus_scrofa ENSSSCG00000016411
dasypus_novemcinctus ENSDNOG00000039421
pogona_vitticeps ENSPVIG00000003176
