,ENSPCIT00000020365_ENSPCIG00000012701,ENSVURT00010011123_ENSVURG00010007562,ENSVURT00010011142_ENSVURG00010007562,ENSMEUT00000007128_ENSMEUG00000007088,ENSSHAT00000021585_ENSSHAG00000018145,ENSMODT00000080394_ENSMODG00000045526,ENSOANT00000040987_ENSOANG00000029573
ENSPCIT00000020365_ENSPCIG00000012701,1.0,0.91,0.92,0.9,0.93,0.73,0.62
ENSVURT00010011123_ENSVURG00010007562,0.91,1.0,0.98,0.85,0.87,0.72,1e-18
ENSVURT00010011142_ENSVURG00010007562,0.92,0.98,1.0,0.86,0.88,0.73,1e-18
ENSMEUT00000007128_ENSMEUG00000007088,0.9,0.85,0.86,1.0,0.88,0.71,0.6
ENSSHAT00000021585_ENSSHAG00000018145,0.93,0.87,0.88,0.88,1.0,0.72,0.67
ENSMODT00000080394_ENSMODG00000045526,0.73,0.72,0.73,0.71,0.72,1.0,1e-18
ENSOANT00000040987_ENSOANG00000029573,0.62,1e-18,1e-18,0.6,0.67,1e-18,1.0
