ENSSCAP00000022063	ENSSCAG00000015849	Serinus_canaria
ENSCANP00000030135	ENSCANG00000038619	Colobus_angolensis_palliatus
ENSETEP00000013613	ENSETEG00000016770	Echinops_telfairi
ENSMUGP00000026329	ENSMUGG00000021696	Meriones_unguiculatus
ENSAPLP00000008748	ENSAPLG00000008944	Anas_platyrhynchos_platyrhynchos
ENSMAUP00000004766	ENSMAUG00000006304	Mesocricetus_auratus
ENSCGRP00015018611	ENSCGRG00015014325	Cricetulus_griseus_CriGri-PICR
ENSLOCP00000002197	ENSLOCG00000001836	Lepisosteus_oculatus
ENSNGAP00000015103	ENSNGAG00000016221	Nannospalax_galili
ENSPCIP00000039116	ENSPCIG00000028663	Phascolarctos_cinereus
ENSFALP00000004282	ENSFALG00000004080	Ficedula_albicollis
ENSCMIP00000003198	ENSCMIG00000001889	Callorhinchus_milii
ENSPPAP00000040784	ENSPPAG00000042971	Pan_paniscus
ENSPVAP00000000859	ENSPVAG00000000905	Pteropus_vampyrus
ENSGMOP00000013726	ENSGMOG00000012819	Gadus_morhua
ENSELUP00000031341	ENSELUG00000008871	Esox_lucius
ENSMMOP00000004679	ENSMMOG00000003731	Mola_mola
ENSAMEP00000015628	ENSAMEG00000014758	Ailuropoda_melanoleuca
ENSDARP00000106559	ENSDARG00000045308	Danio_rerio
ENSCCEP00000010663	ENSCCEG00000010537	Cyanistes_caeruleus
ENSOGAP00000012725	ENSOGAG00000014195	Otolemur_garnettii
ENSGWIP00000025934	ENSGWIG00000013428	Gouania_willdenowi
ENSLBEP00000022457	ENSLBEG00000017168	Labrus_bergylta
ENSBIXP00005019455	ENSBIXG00005022900	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTSYP00000005388	ENSTSYG00000005895	Carlito_syrichta
MGP_SPRETEiJ_P0095866	MGP_SPRETEiJ_G0034396	Mus_spretus_strain_SPRET/EiJ
ENSEEUP00000009679	ENSEEUG00000010504	Erinaceus_europaeus
ENSOMEP00000011186	ENSOMEG00000012492	Oryzias_melastigma
ENSRNOP00000018147	ENSRNOG00000013322	Rattus_norvegicus
ENSCHOP00000005408	ENSCHOG00000006091	Choloepus_hoffmanni
ENSTGUP00000007360	ENSTGUG00000007103	Taeniopygia_guttata
ENSPPRP00000017057	ENSPPRG00000009229	Panthera_pardus
ENSBSLP00000025169	ENSBSLG00000010914	Betta_splendens
ENSBMUP00000021592	ENSBMUG00000016239	Bos_mutus
ENSCSAVP00000001303	ENSCSAVG00000000726	Ciona_savignyi
ENSZALP00000023500	ENSZALG00000018179	Zonotrichia_albicollis
ENSLCRP00005035389	ENSLCRG00005012874	Larimichthys_crocea
ENSACLP00000033936	ENSACLG00000022898	Astatotilapia_calliptera
ENSSPUP00000000330	ENSSPUG00000000303	Sphenodon_punctatus
ENSGALP00000067767	ENSGALG00000016312	Gallus_gallus
MGP_PahariEiJ_P0089723	MGP_PahariEiJ_G0031771	Mus_pahari_strain_PAHARI_EIJ
ENSXCOP00000008872	ENSXCOG00000006763	Xiphophorus_couchianus
ENSACIP00000002494	ENSACIG00000001954	Amphilophus_citrinellus
ENSCGOP00000038043	ENSCGOG00000016475	Cottoperca_gobio
ENSCGRP00001012230	ENSCGRG00001013675	Cricetulus_griseus_CHOK1GS_HDv1
ENSCSEP00000017380	ENSCSEG00000010976	Cynoglossus_semilaevis
ENSXETP00000010313	ENSXETG00000010856	Xenopus_tropicalis
ENSACAP00000008086	ENSACAG00000008221	Anolis_carolinensis
ENSARWP00000010754	ENSARWG00000007463	Apteryx_rowi
ENSNVIP00000014101	ENSNVIG00000010984	Neovison_vison
ENSCHIP00000016749	ENSCHIG00000016890	Capra_hircus
MGP_CAROLIEiJ_P0092097	MGP_CAROLIEiJ_G0033229	Mus_caroli_strain_CAROLI_EIJ
ENSATEP00000020664	ENSATEG00000014357	Anabas_testudineus
ENSCABP00000026768	ENSCABG00000019649	Chelonoidis_abingdonii
ENSFDAP00000010561	ENSFDAG00000018316	Fukomys_damarensis
ENSPCAP00000001012	ENSPCAG00000000973	Procavia_capensis
ENSODEP00000017654	ENSODEG00000013021	Octodon_degus
ENSNLEP00000041791	ENSNLEG00000010066	Nomascus_leucogenys
ENSVPAP00000007749	ENSVPAG00000008319	Vicugna_pacos
ENSCINP00000032299	ENSCING00000022114	Ciona_intestinalis
ENSTBEP00000007267	ENSTBEG00000008329	Tupaia_belangeri
ENSSSCP00000072012	ENSSSCG00000022240	Sus_scrofa_strain_reference
ENSMPUP00000000093	ENSMPUG00000000097	Mustela_putorius_furo
ENSTGUP00000016451	ENSTGUG00000016138	Taeniopygia_guttata
ENSHHUP00000023093	ENSHHUG00000014472	Hucho_hucho
ENSPLAP00000021320	ENSPLAG00000005018	Poecilia_latipinna
ENSMVIP00005019918	ENSMVIG00005014092	Manacus_vitellinus
ENSHBUP00000034226	ENSHBUG00000000672	Haplochromis_burtoni
ENSPRNP00000052660	ENSPRNG00000024853	Parambassis_ranga
ENSHGLP00000011947	ENSHGLG00000008558	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005687	ENSHGLG00100004312	Heterocephalus_glaber_HetGla_1.0
ENSMMMP00000009696	ENSMMMG00000008608	Marmota_marmota_marmota
ENSPVIP00000012618	ENSPVIG00000009852	Pogona_vitticeps
ENSMUNP00000005966	ENSMUNG00000004843	Melopsittacus_undulatus
ENSFCAP00000001978	ENSFCAG00000002138	Felis_catus
ENSPREP00000021442	ENSPREG00000014453	Poecilia_reticulata
ENSGACP00000003398	ENSGACG00000002594	Gasterosteus_aculeatus
ENSCPGP00000008610	ENSCPGG00000006116	Calidris_pygmaea
ENSONIP00000018072	ENSONIG00000014373	Oreochromis_niloticus
ENSGAGP00000009559	ENSGAGG00000007556	Gopherus_agassizii
ENSAOCP00000000125	ENSAOCG00000002950	Amphiprion_ocellaris
ENSVURP00010014551	ENSVURG00010011074	Vombatus_ursinus
ENSTNIP00000010984	ENSTNIG00000008158	Tetraodon_nigroviridis
ENSEBUP00000027881	ENSEBUG00000017046	Eptatretus_burgeri
ENSCPBP00000007742	ENSCPBG00000006090	Chrysemys_picta_bellii
ENSCJAP00000070998	ENSCJAG00000004743	Callithrix_jacchus
ENSAPEP00000032514	ENSAPEG00000023055	Amphiprion_percula
ENSJHYP00000012511	ENSJHYG00000009751	Junco_hyemalis
ENSMMUP00000042374	ENSMMUG00000018433	Macaca_mulatta
ENSCMIP00000013115	ENSCMIG00000006396	Callorhinchus_milii
ENSOARP00000018870	ENSOARG00000017574	Ovis_aries
ENSLCAP00010011831	ENSLCAG00010005105	Lates_calcarifer
ENSSDAP00000010023	ENSSDAG00000009114	Spermophilus_dauricus
ENSPKIP00000010323	ENSPKIG00000025070	Paramormyrops_kingsleyae
ENSFHEP00000003558	ENSFHEG00000004573	Fundulus_heteroclitus
ENSCLAP00000005007	ENSCLAG00000003553	Chinchilla_lanigera
ENSDNOP00000008237	ENSDNOG00000010588	Dasypus_novemcinctus
ENSLACP00000010311	ENSLACG00000009082	Latimeria_chalumnae
ENSSHAP00000015511	ENSSHAG00000013218	Sarcophilus_harrisii
ENSCPOP00000001937	ENSCPOG00000002139	Cavia_porcellus
ENSTNIP00000008676	ENSTNIG00000005941	Tetraodon_nigroviridis
ENSMLUP00000004138	ENSMLUG00000004537	Myotis_lucifugus
ENSAMXP00005037080	ENSAMXG00005017449	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGAFP00000013742	ENSGAFG00000009268	Gambusia_affinis
ENSUMAP00000017387	ENSUMAG00000011852	Ursus_maritimus
ENSMLEP00000027581	ENSMLEG00000037959	Mandrillus_leucophaeus
ENSSLDP00000011034	ENSSLDG00000008626	Seriola_lalandi_dorsalis
ENSPTEP00000002319	ENSPTEG00000002618	Piliocolobus_tephrosceles
ENSMUSP00000006856	ENSMUSG00000006678	Mus_musculus_strain_reference_(CL57BL6)
ENSKMAP00000020098	ENSKMAG00000014882	Kryptolebias_marmoratus
ENSMNEP00000016343	ENSMNEG00000031890	Macaca_nemestrina
ENSDCDP00000002377	ENSDCDG00000000866	Denticeps_clupeoides	ENSDCDT00000002639
ENSCINP00000003220	ENSCING00000001608	Ciona_intestinalis
ENSTTRP00000004988	ENSTTRG00000005283	Tursiops_truncatus
ENSHCOP00000023742	ENSHCOG00000012594	Hippocampus_comes
YNL102W_mRNA	YNL102W	Saccharomyces_cerevisiae_strain_S288C
ENSCVAP00000011955	ENSCVAG00000014504	Cyprinodon_variegatus
ENSORLP00000044837	ENSORLG00000007489	Oryzias_latipes_ASM223467v1
ENSCAFP00020007578	ENSCAFG00020005674	Canis_lupus_dingo
ENSCAFP00000019931	ENSCAFG00000013521	Canis_lupus_familiaris
Y47D3A.29b.1	WBGene00012936	Caenorhabditis_elegans_strain_N2	Y47D3A.29b.1
ENSCATP00000032922	ENSCATG00000039397	Cercocebus_atys
ENSECRP00000008713	ENSECRG00000005843	Erpetoichthys_calabaricus
ENSDORP00000010219	ENSDORG00000010871	Dipodomys_ordii
