eptatretus_burgeri ENSEBUG00000012286
petromyzon_marinus ENSPMAG00000007543
notamacropus_eugenii ENSMEUG00000003028
sarcophilus_harrisii ENSSHAG00000006903
sarcophilus_harrisii ENSSHAG00000006028
monodelphis_domestica ENSMODG00000024032
sarcophilus_harrisii ENSSHAG00000005164
bison_bison_bison ENSBBBG00000000811
myotis_lucifugus ENSMLUG00000005621
erinaceus_europaeus ENSEEUG00000007576
neovison_vison ENSNVIG00000022340
mustela_putorius_furo ENSMPUG00000001548
equus_asinus_asinus ENSEASG00005012904
equus_caballus ENSECAG00000022495
ursus_americanus ENSUAMG00000028368
ursus_maritimus ENSUMAG00000002134
ailuropoda_melanoleuca ENSAMEG00000000152
canis_lupus_familiaris ENSCAFG00000018411
canis_lupus_dingo ENSCAFG00020004162
vulpes_vulpes ENSVVUG00000011528
panthera_tigris_altaica ENSPTIG00000015381
panthera_pardus ENSPPRG00000023645
felis_catus ENSFCAG00000008742
sus_scrofa ENSSSCG00000012620
vicugna_pacos ENSVPAG00000000648
capra_hircus ENSCHIG00000008436
ovis_aries ENSOARG00000016167
bos_mutus ENSBMUG00000010434
bos_taurus ENSBTAG00000045744
tursiops_truncatus ENSTTRG00000013108
pteropus_vampyrus ENSPVAG00000003266
castor_canadensis ENSCCNG00000019739
dipodomys_ordii ENSDORG00000024123
mus_musculus ENSMUSG00000044149
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034148
mus_spicilegus ENSMSIG00000011023
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032995
mus_pahari MGP_PahariEiJ_G0031539
rattus_norvegicus ENSRNOG00000061989
rattus_norvegicus ENSRNOG00000052347
meriones_unguiculatus ENSMUGG00000009282
cricetulus_griseus_chok1gshd ENSCGRG00001001105
cricetulus_griseus_crigri-picr ENSCGRG00015017383
cricetulus_griseus_crigri ENSCGRG00000011374
mesocricetus_auratus ENSMAUG00000021303
microtus_ochrogaster ENSMOCG00000000942
peromyscus_maniculatus_bairdii ENSPEMG00000025364
nannospalax_galili ENSNGAG00000023851
jaculus_jaculus ENSJJAG00000020550
chinchilla_lanigera ENSCLAG00000002890
octodon_degus ENSODEG00000003502
cavia_porcellus ENSCPOG00000011912
cavia_aperea ENSCAPG00000011069
heterocephalus_glaber_male ENSHGLG00100004379
heterocephalus_glaber_female ENSHGLG00000013935
fukomys_damarensis ENSFDAG00000014857
ictidomys_tridecemlineatus ENSSTOG00000020483
marmota_marmota_marmota ENSMMMG00000007091
urocitellus_parryii ENSUPAG00010001420
spermophilus_dauricus ENSSDAG00000002327
oryctolagus_cuniculus ENSOCUG00000016741
ochotona_princeps ENSOPRG00000016532
