,ENSOART00000007004_ENSOARG00000006449,ENSCHIT00000029645_ENSCHIG00000020001,ENSBMUT00000029069_ENSBMUG00000018946
ENSOART00000007004_ENSOARG00000006449,1.0,0.98,0.89
ENSCHIT00000029645_ENSCHIG00000020001,0.98,1.0,0.89
ENSBMUT00000029069_ENSBMUG00000018946,0.89,0.89,1.0
