tupaia_belangeri ENSTBEG00000001015
pongo_abelii ENSPPYG00000013664
vicugna_pacos ENSVPAG00000005073
ovis_aries ENSOARG00000005090
tursiops_truncatus ENSTTRG00000007558
pteropus_vampyrus ENSPVAG00000012620
canis_lupus_familiaris ENSCAFG00000005151
ailuropoda_melanoleuca ENSAMEG00000016048
erinaceus_europaeus ENSEEUG00000004454
choloepus_hoffmanni ENSCHOG00000005122
procavia_capensis ENSPCAG00000002666
monodelphis_domestica ENSMODG00000005448
chelonoidis_abingdonii ENSCABG00000002884
esox_lucius ENSELUG00000022445
