monopterus_albus ENSMALG00000019039
mastacembelus_armatus ENSMAMG00000012087
anabas_testudineus ENSATEG00000018072
scophthalmus_maximus ENSSMAG00000016041
cynoglossus_semilaevis ENSCSEG00000019530
seriola_dumerili ENSSDUG00000023267
seriola_lalandi_dorsalis ENSSLDG00000010497
labrus_bergylta ENSLBEG00000024826
mola_mola ENSMMOG00000001679
amphiprion_percula ENSAPEG00000009957
amphiprion_ocellaris ENSAOCG00000022172
acanthochromis_polyacanthus ENSAPOG00000019896
stegastes_partitus ENSSPAG00000006110
haplochromis_burtoni ENSHBUG00000019136
pundamilia_nyererei ENSPNYG00000014400
maylandia_zebra ENSMZEG00005012635
astatotilapia_calliptera ENSACLG00000006338
oreochromis_niloticus ENSONIG00000020073
amphilophus_citrinellus ENSACIG00000017563
cyprinodon_variegatus ENSCVAG00000005830
fundulus_heteroclitus ENSFHEG00000000081
poecilia_mexicana ENSPMEG00000000478
poecilia_formosa ENSPFOG00000003219
poecilia_latipinna ENSPLAG00000004374
xiphophorus_maculatus ENSXMAG00000005958
gambusia_affinis ENSGAFG00000014237
kryptolebias_marmoratus ENSKMAG00000015825
oryzias_latipes_asm223467v1 ENSORLG00000027886
oryzias_latipes_asm223471v1 ENSORLG00020014437
oryzias_latipes_asm223469v1 ENSORLG00015012846
oryzias_melastigma ENSOMEG00000018905
hippocampus_comes ENSHCOG00000019086
esox_lucius ENSELUG00000004176
astyanax_mexicanus ENSAMXG00000021209
pygocentrus_nattereri ENSPNAG00000022122
ictalurus_punctatus ENSIPUG00000016399
