chrysemys_picta_bellii ENSCPBG00000023860
sphenodon_punctatus ENSSPUG00000001048
gopherus_agassizii ENSGAGG00000016438
chelonoidis_abingdonii ENSCABG00000010196
pogona_vitticeps ENSPVIG00000013326
pogona_vitticeps ENSPVIG00000013325
anolis_carolinensis ENSACAG00000003807
salvator_merianae ENSSMRG00000004371
tursiops_truncatus ENSTTRG00000006387
sus_scrofa ENSSSCG00000013752
ovis_aries ENSOARG00000009237
capra_hircus ENSCHIG00000018262
bos_taurus ENSBTAG00000016352
bos_mutus ENSBMUG00000015238
bison_bison_bison ENSBBBG00000005006
equus_asinus_asinus ENSEASG00005004032
equus_caballus ENSECAG00000013775
neovison_vison ENSNVIG00000004211
mustela_putorius_furo ENSMPUG00000004133
ailuropoda_melanoleuca ENSAMEG00000012641
canis_lupus_familiaris ENSCAFG00000017045
canis_lupus_dingo ENSCAFG00020005909
panthera_pardus ENSPPRG00000014043
panthera_tigris_altaica ENSPTIG00000008273
felis_catus ENSFCAG00000000484
carlito_syrichta ENSTSYG00000026271
propithecus_coquereli ENSPCOG00000027677
microcebus_murinus ENSMICG00000000814
prolemur_simus ENSPSMG00000004413
otolemur_garnettii ENSOGAG00000025310
pan_troglodytes ENSPTRG00000010559
pan_paniscus ENSPPAG00000042146
gorilla_gorilla ENSGGOG00000009480
homo_sapiens ENSG00000104915
pongo_abelii ENSPPYG00000009624
nomascus_leucogenys ENSNLEG00000013030
cercocebus_atys ENSCATG00000030837
mandrillus_leucophaeus ENSMLEG00000043432
macaca_fascicularis ENSMFAG00000039740
macaca_nemestrina ENSMNEG00000039402
macaca_mulatta ENSMMUG00000011427
papio_anubis ENSPANG00000012122
theropithecus_gelada ENSTGEG00000002831
chlorocebus_sabaeus ENSCSAG00000006490
piliocolobus_tephrosceles ENSPTEG00000005754
colobus_angolensis_palliatus ENSCANG00000016996
rhinopithecus_bieti ENSRBIG00000035960
rhinopithecus_roxellana ENSRROG00000040598
cebus_capucinus_imitator ENSCCAG00000035795
saimiri_boliviensis_boliviensis ENSSBOG00000028486
callithrix_jacchus ENSCJAG00000004519
aotus_nancymaae ENSANAG00000037876
tupaia_belangeri ENSTBEG00000011088
spermophilus_dauricus ENSSDAG00000009226
ictidomys_tridecemlineatus ENSSTOG00000007880
marmota_marmota_marmota ENSMMMG00000021518
urocitellus_parryii ENSUPAG00010008362
jaculus_jaculus ENSJJAG00000012119
castor_canadensis ENSCCNG00000018354
ochotona_princeps ENSOPRG00000003956
oryctolagus_cuniculus ENSOCUG00000027932
pteropus_vampyrus ENSPVAG00000015078
loxodonta_africana ENSLAFG00000029308
procavia_capensis ENSPCAG00000003862
echinops_telfairi ENSETEG00000003975
xenopus_tropicalis ENSXETG00000005589
latimeria_chalumnae ENSLACG00000014101
ursus_americanus ENSUAMG00000015432
ursus_maritimus ENSUMAG00000006021
canis_lupus_dingo ENSCAFG00020005912
vulpes_vulpes ENSVVUG00000024185
notechis_scutatus ENSNSUG00000010590
notechis_scutatus ENSNSUG00000003439
hippocampus_comes ENSHCOG00000020421
takifugu_rubripes ENSTRUG00000023941
